LoanApproval|AnnualSalary|AccountBalance|Gender
-1.0|77796.35|19409.34|1
1.0|120000.0|39864.2|0
-1.0|49296.35|17969.55|1
1.0|140000.0|43258.34|0
-1.0|90000.0|24047.1|0
1.0|150000.0|43752.13|0
1.0|100000.0|33457.19|0
1.0|130000.0|40490.75|0
-1.0|70000.0|17281.61|0
1.0|110000.0|36942.32|0
1.0|90000.0|28586.05|0
1.0|160000.0|48164.78|0
1.0|90796.35|33045.99|1
1.0|140796.35|42272.1|1
1.0|120000.0|36316.39|0
1.0|149796.35|43581.5|1
1.0|140000.0|45479.31|0
1.0|100796.35|31247.09|1
-1.0|80000.0|20680.57|0
-1.0|80000.0|20641.44|0
-1.0|29296.35|13174.75|1
1.0|120000.0|38255.4|0
1.0|110000.0|31610.3|0
-1.0|50000.0|13752.41|0
-1.0|67796.35|21729.98|1
1.0|130000.0|35905.98|0
1.0|140000.0|41729.31|0
1.0|100000.0|25710.12|0
1.0|160000.0|48079.42|0
1.0|130000.0|41272.86|0
1.0|110000.0|29359.06|0
-1.0|80000.0|20914.19|0
1.0|150000.0|46363.2|0
1.0|135296.35|36653.09|1
1.0|110000.0|32366.14|0
-1.0|100000.0|23929.83|0
1.0|100000.0|31247.75|0
1.0|130000.0|42905.2|0
1.0|120000.0|35427.69|0
1.0|170000.0|51468.3|0
1.0|129296.35|42266.13|1
-1.0|82296.35|20590.99|1
1.0|150000.0|47221.91|0
1.0|127796.35|40338.06|1
1.0|107296.35|29520.04|1
1.0|128296.35|36942.79|1
1.0|100000.0|29278.05|0
-1.0|90000.0|23114.01|0
1.0|140000.0|43121.5|0
-1.0|47296.35|14517.14|1
-1.0|80000.0|27609.72|0
1.0|190000.0|54669.94|0
-1.0|80000.0|21229.94|0
1.0|100000.0|28930.47|0
-1.0|77796.35|24058.18|1
-1.0|60000.0|18912.07|0
-1.0|80000.0|25559.99|0
1.0|107796.35|30066.74|1
-1.0|90000.0|26192.65|0
1.0|110000.0|32230.54|0
1.0|140000.0|40153.59|0
-1.0|80000.0|27691.23|0
-1.0|80000.0|19711.25|0
1.0|120000.0|31941.47|0
1.0|99296.35|30973.14|1
-1.0|90000.0|23600.47|0
-1.0|90000.0|22801.73|0
-1.0|42296.35|13269.62|1
1.0|110000.0|34683.57|0
1.0|110000.0|34935.42|0
1.0|102296.35|33724.28|1
-1.0|60000.0|25296.96|0
1.0|110000.0|34304.5|0
1.0|93796.35|27213.6|1
1.0|120000.0|31940.33|0
1.0|90000.0|29434.67|0
-1.0|60000.0|20387.45|0
-1.0|90000.0|24605.67|0
1.0|100000.0|26263.23|0
-1.0|60000.0|18627.95|0
-1.0|80000.0|18453.97|0
-1.0|53296.35|12079.16|1
-1.0|70000.0|19403.81|0
1.0|106796.35|29414.98|1
-1.0|82296.35|20826.57|1
1.0|110000.0|33575.09|0
-1.0|40000.0|11212.61|0
-1.0|70000.0|25940.26|0
1.0|100000.0|25914.14|0
1.0|120000.0|34657.7|0
1.0|110000.0|31818.97|0
1.0|110000.0|33651.44|0
1.0|96296.35|27413.96|1
1.0|130000.0|39444.53|0
1.0|170000.0|52848.03|0
1.0|130000.0|40255.2|0
-1.0|60000.0|15462.12|0
1.0|199296.35|58423.58|1
1.0|150000.0|50452.99|0
1.0|100000.0|28815.3|0
1.0|96296.35|26540.72|1
1.0|143796.35|43017.53|1
1.0|110000.0|30714.68|0
-1.0|80000.0|22396.42|0
1.0|112296.35|32207.26|1
1.0|120000.0|38153.59|0
-1.0|80000.0|23902.87|0
1.0|117796.35|38643.04|1
1.0|140000.0|39110.39|0
1.0|100000.0|29420.59|0
1.0|100796.35|30074.26|1
-1.0|70000.0|21883.94|0
1.0|118796.35|37208.21|1
-1.0|40000.0|16441.52|0
1.0|153796.35|46833.8|1
1.0|120000.0|34956.46|0
1.0|90000.0|27955.27|0
-1.0|70796.35|20014.07|1
1.0|130000.0|38901.69|0
-1.0|70000.0|18963.5|0
1.0|140000.0|44422.4|0
1.0|110000.0|28274.79|0
1.0|140000.0|40254.17|0
-1.0|90000.0|26288.16|0
-1.0|80000.0|22165.01|0
-1.0|59796.35|16090.93|1
1.0|100796.35|26859.75|1
-1.0|49296.35|12833.14|1
1.0|110000.0|34730.42|0
1.0|160000.0|44007.69|0
1.0|96296.35|30212.11|1
-1.0|80796.35|24528.34|1
1.0|94796.35|32823.68|1
1.0|120000.0|37127.9|0
-1.0|70000.0|17709.93|0
1.0|100000.0|32059.45|0
-1.0|80000.0|26667.88|0
1.0|97796.35|28097.96|1
-1.0|90000.0|24257.5|0
-1.0|70000.0|21711.91|0
-1.0|89296.35|22960.61|1
1.0|106296.35|32740.93|1
-1.0|80000.0|23756.36|0
1.0|210000.0|62382.19|0
-1.0|59296.35|19803.19|1
1.0|110000.0|28864.56|0
1.0|120000.0|34756.32|0
1.0|180000.0|56768.39|0
1.0|135296.35|41272.22|1
1.0|100000.0|26550.16|0
-1.0|90000.0|25383.01|0
-1.0|84796.35|26629.76|1
-1.0|53796.35|14676.7|1
1.0|120000.0|33587.97|0
1.0|120000.0|35780.66|0
1.0|107796.35|32012.73|1
1.0|105296.35|30883.33|1
1.0|100000.0|32059.79|0
-1.0|60000.0|22000.62|0
-1.0|80796.35|25264.81|1
-1.0|75296.35|28406.56|1
1.0|90000.0|31225.23|0
1.0|100000.0|33212.73|0
-1.0|82296.35|24564.67|1
1.0|90000.0|28254.2|0
1.0|110796.35|27794.15|1
1.0|123796.35|36960.01|1
-1.0|30000.0|5349.46|0
1.0|92296.35|29184.64|1
1.0|110000.0|38071.43|0
-1.0|75296.35|19332.76|1
-1.0|72296.35|18597.24|1
1.0|230000.0|73395.95|0
-1.0|60796.35|15043.88|1
-1.0|80000.0|24740.18|0
-1.0|59296.35|23852.8|1
1.0|95296.35|26318.41|1
-1.0|47796.35|16521.09|1
1.0|142296.35|42708.22|1
-1.0|60000.0|15442.67|0
1.0|130000.0|39888.87|0
1.0|130796.35|35147.42|1
1.0|120000.0|38285.75|0
1.0|100000.0|30948.96|0
1.0|90000.0|31525.86|0
1.0|100796.35|30986.82|1
-1.0|59296.35|14609.1|1
1.0|101296.35|34006.97|1
1.0|110000.0|28411.6|0
-1.0|80000.0|28839.39|0
-1.0|77796.35|21371.79|1
1.0|120000.0|36859.63|0
-1.0|60000.0|15961.3|0
-1.0|86296.35|26458.56|1
-1.0|69296.35|21119.96|1
1.0|123796.35|36941.96|1
1.0|130000.0|38694.81|0
1.0|110000.0|31202.19|0
-1.0|90000.0|25661.4|0
1.0|158296.35|47401.85|1
-1.0|60000.0|18275.15|0
1.0|119296.35|37213.69|1
-1.0|52296.35|13085.98|1
-1.0|75296.35|25348.21|1
-1.0|80000.0|28722.8|0
1.0|130000.0|33750.25|0
-1.0|80000.0|26496.52|0
-1.0|49296.35|18237.28|1
1.0|160000.0|44148.06|0
-1.0|70000.0|22387.27|0
1.0|117796.35|37688.98|1
-1.0|80000.0|23480.46|0
-1.0|80000.0|22493.47|0
1.0|120000.0|38837.82|0
-1.0|40000.0|8685.62|0
1.0|90000.0|28120.16|0
-1.0|80000.0|22514.18|0
-1.0|73796.35|21464.1|1
1.0|100000.0|32441.56|0
1.0|100000.0|31302.26|0
-1.0|73796.35|25303.64|1
1.0|113796.35|35091.3|1
1.0|99296.35|30761.86|1
-1.0|70000.0|23089.46|0
1.0|120000.0|36718.93|0
1.0|97796.35|31072.51|1
1.0|150000.0|44805.15|0
-1.0|80000.0|25480.18|0
1.0|130000.0|39103.57|0
1.0|172296.35|48312.05|1
-1.0|43296.35|9051.26|1
-1.0|60000.0|16196.34|0
-1.0|66296.35|17676.98|1
-1.0|80000.0|24807.04|0
1.0|120000.0|32290.89|0
-1.0|90000.0|23283.02|0
1.0|126796.35|42076.09|1
1.0|126796.35|35157.45|1
1.0|96796.35|29149.3|1
-1.0|80000.0|28259.36|0
1.0|100000.0|30139.47|0
-1.0|80000.0|23798.05|0
-1.0|60000.0|17669.97|0
-1.0|85296.35|24984.52|1
-1.0|80000.0|23719.0|0
1.0|110000.0|33180.28|0
-1.0|76296.35|17210.42|1
1.0|159796.35|43480.28|1
-1.0|60796.35|15669.25|1
-1.0|91796.35|25290.18|1
1.0|100000.0|25149.16|0
1.0|100000.0|31095.77|0
-1.0|76796.35|26954.69|1
1.0|92296.35|29237.92|1
1.0|140000.0|41129.95|0
1.0|92296.35|26965.64|1
1.0|160000.0|43294.26|0
1.0|100000.0|29658.95|0
-1.0|80000.0|23362.05|0
1.0|100796.35|32236.25|1
1.0|100000.0|28835.04|0
-1.0|70000.0|23207.66|0
-1.0|70000.0|28061.08|0
1.0|150000.0|40641.04|0
1.0|100000.0|29582.03|0
1.0|143796.35|39583.19|1
1.0|140000.0|43740.41|0
1.0|107796.35|29391.3|1
1.0|100000.0|28058.27|0
-1.0|49296.35|15555.93|1
-1.0|90000.0|24211.88|0
1.0|120000.0|34348.72|0
1.0|180000.0|55730.5|0
1.0|90000.0|29507.87|0
1.0|120796.35|39564.52|1
1.0|127296.35|34500.98|1
1.0|130000.0|40315.22|0
1.0|100000.0|30579.52|0
1.0|110000.0|34624.8|0
1.0|100000.0|29691.57|0
-1.0|90000.0|25394.25|0
1.0|120000.0|32123.2|0
1.0|134796.35|42946.17|1
-1.0|80000.0|24156.78|0
1.0|140000.0|43384.11|0
1.0|110000.0|34682.89|0
1.0|90000.0|29444.76|0
-1.0|70000.0|19508.71|0
-1.0|85296.35|22698.35|1
1.0|130000.0|36922.5|0
1.0|100000.0|30711.3|0
1.0|160000.0|49820.05|0
-1.0|50796.35|16894.02|1
1.0|150000.0|43190.8|0
1.0|100000.0|29707.71|0
1.0|130000.0|34455.24|0
1.0|100000.0|28058.21|0
1.0|96796.35|26799.89|1
1.0|110000.0|34018.22|0
1.0|140000.0|42737.05|0
-1.0|70000.0|26164.61|0
-1.0|70000.0|15186.2|0
1.0|165296.35|49145.9|1
1.0|122296.35|38311.4|1
1.0|127796.35|40899.93|1
-1.0|71296.35|13334.49|1
1.0|150000.0|45835.72|0
1.0|140000.0|45779.45|0
-1.0|70000.0|23211.98|0
-1.0|90000.0|24438.02|0
1.0|130796.35|33547.99|1
1.0|130000.0|36789.33|0
1.0|112296.35|27892.13|1
1.0|103796.35|30271.82|1
-1.0|59296.35|14634.39|1
1.0|140796.35|41944.87|1
-1.0|70000.0|20981.87|0
-1.0|75296.35|24845.03|1
1.0|140000.0|40502.82|0
1.0|100000.0|27107.41|0
-1.0|80000.0|25672.69|0
-1.0|90000.0|24792.26|0
-1.0|53296.35|16282.19|1
1.0|110000.0|30438.07|0
1.0|110000.0|35949.77|0
1.0|130000.0|38692.43|0
1.0|130000.0|40048.63|0
1.0|123796.35|37602.58|1
1.0|150000.0|47916.52|0
1.0|180000.0|52244.99|0
1.0|100000.0|32373.6|0
1.0|130000.0|33822.53|0
-1.0|57796.35|13215.26|1
1.0|110000.0|30112.39|0
-1.0|76296.35|19138.81|1
-1.0|86796.35|27365.39|1
1.0|140000.0|41249.25|0
1.0|100000.0|28635.87|0
-1.0|35296.35|10848.17|1
-1.0|90000.0|26824.67|0
-1.0|59296.35|17272.31|1
-1.0|80000.0|24408.83|0
1.0|84796.35|28509.5|1
1.0|100796.35|35982.58|1
1.0|120000.0|36498.78|0
1.0|120000.0|36135.09|0
1.0|90000.0|27435.61|0
1.0|129296.35|36904.93|1
1.0|90000.0|31663.67|0
-1.0|80000.0|28499.12|0
1.0|140000.0|40872.25|0
1.0|129296.35|40982.2|1
1.0|110000.0|31928.0|0
-1.0|90000.0|23983.22|0
-1.0|80000.0|23072.96|0
1.0|130000.0|36238.37|0
1.0|136796.35|42366.6|1
1.0|130000.0|39197.99|0
1.0|97796.35|35477.68|1
-1.0|59296.35|17535.16|1
1.0|123796.35|36758.71|1
1.0|150000.0|39899.5|0
1.0|140000.0|41695.77|0
1.0|100000.0|30196.46|0
1.0|92296.35|29184.24|1
1.0|105296.35|34539.41|1
-1.0|80000.0|25426.75|0
-1.0|90000.0|24456.48|0
1.0|180000.0|51621.48|0
1.0|130000.0|41265.29|0
1.0|140000.0|42626.41|0
1.0|130000.0|39683.63|0
1.0|90000.0|29993.9|0
1.0|100000.0|30842.72|0
-1.0|50000.0|14254.99|0
1.0|120000.0|39559.0|0
-1.0|70000.0|22532.57|0
1.0|120000.0|35374.65|0
1.0|109296.35|36599.25|1
-1.0|83796.35|22718.38|1
-1.0|70000.0|18760.28|0
1.0|112296.35|34324.6|1
1.0|120000.0|37460.26|0
1.0|143796.35|43459.18|1
1.0|106296.35|35005.5|1
1.0|137796.35|38563.88|1
1.0|160000.0|44098.6|0
1.0|90000.0|27500.42|0
1.0|109296.35|32056.05|1
1.0|129296.35|37206.39|1
-1.0|70000.0|17984.19|0
-1.0|50000.0|13615.01|0
1.0|152296.35|47612.8|1
-1.0|50000.0|11579.84|0
1.0|110000.0|34938.8|0
1.0|120796.35|36217.49|1
-1.0|65296.35|22463.05|1
-1.0|70000.0|19740.05|0
-1.0|80000.0|25569.68|0
-1.0|90000.0|25134.01|0
-1.0|93796.35|26048.62|1
-1.0|70000.0|22602.99|0
1.0|150000.0|44189.17|0
-1.0|60000.0|18519.07|0
-1.0|100000.0|23866.06|0
1.0|166296.35|49549.84|1
1.0|100000.0|30499.78|0
1.0|109296.35|32298.21|1
1.0|160000.0|45158.19|0
-1.0|70000.0|17690.68|0
1.0|113296.35|36302.19|1
1.0|160000.0|45271.52|0
-1.0|90000.0|22639.26|0
-1.0|50000.0|18669.17|0
1.0|130000.0|40373.06|0
-1.0|80000.0|24968.11|0
-1.0|70000.0|25153.89|0
-1.0|60000.0|15433.33|0
-1.0|94796.35|24906.63|1
1.0|110000.0|29657.83|0
1.0|110000.0|36288.01|0
1.0|150000.0|40010.59|0
-1.0|40000.0|12598.5|0
-1.0|80000.0|20875.54|0
1.0|120000.0|38800.55|0
1.0|112296.35|30493.89|1
-1.0|60000.0|20064.84|0
-1.0|57796.35|17254.54|1
1.0|110000.0|36616.86|0
1.0|120000.0|35454.02|0
-1.0|50000.0|20936.38|0
1.0|98296.35|29736.93|1
1.0|160000.0|47099.7|0
-1.0|84796.35|23440.32|1
-1.0|57296.35|16504.21|1
1.0|100000.0|33983.04|0
1.0|89296.35|28515.43|1
1.0|100000.0|28107.04|0
1.0|100000.0|30977.56|0
-1.0|60000.0|13798.94|0
-1.0|74796.35|23402.82|1
1.0|130000.0|36895.34|0
1.0|110000.0|32306.39|0
1.0|100000.0|31085.11|0
1.0|100000.0|25157.26|0
1.0|92296.35|31289.48|1
-1.0|70000.0|24799.01|0
1.0|140796.35|38767.0|1
1.0|80000.0|30360.78|0
-1.0|50000.0|12779.08|0
-1.0|80000.0|24770.28|0
1.0|100000.0|27345.93|0
-1.0|72296.35|24753.18|1
1.0|100000.0|35761.89|0
1.0|110000.0|32263.07|0
1.0|110000.0|28159.06|0
-1.0|62296.35|17739.03|1
1.0|110000.0|29016.72|0
-1.0|90000.0|24630.24|0
1.0|100000.0|25738.36|0
1.0|120000.0|39283.94|0
1.0|140796.35|39965.72|1
-1.0|70000.0|16862.3|0
-1.0|70000.0|22333.52|0
-1.0|53296.35|14529.76|1
-1.0|90000.0|20858.69|0
-1.0|80000.0|28336.12|0
-1.0|90000.0|22753.81|0
1.0|150000.0|47784.98|0
1.0|113296.35|36567.75|1
-1.0|30000.0|9925.32|0
1.0|120000.0|38369.57|0
1.0|91296.35|27749.07|1
-1.0|90000.0|26623.68|0
1.0|157296.35|46453.25|1
-1.0|90000.0|22971.32|0
-1.0|50000.0|14523.23|0
-1.0|70000.0|20911.79|0
-1.0|50000.0|12975.02|0
1.0|110000.0|30640.26|0
1.0|111796.35|34540.49|1
1.0|102296.35|29121.11|1
1.0|130000.0|39455.41|0
1.0|120000.0|40109.05|0
-1.0|60000.0|18173.44|0
-1.0|80796.35|20250.97|1
1.0|130000.0|40198.9|0
1.0|100000.0|28625.35|0
1.0|100000.0|32295.2|0
1.0|150000.0|46159.63|0
1.0|100000.0|29843.8|0
1.0|100000.0|26950.25|0
1.0|90000.0|30530.32|0
-1.0|60000.0|15417.59|0
1.0|150000.0|48543.45|0
1.0|110000.0|30762.61|0
1.0|110000.0|36697.17|0
-1.0|55296.35|18607.73|1
1.0|130796.35|40048.28|1
-1.0|93796.35|23409.97|1
-1.0|70000.0|19381.02|0
-1.0|80000.0|22151.51|0
1.0|140000.0|45001.78|0
-1.0|38796.35|12367.23|1
1.0|116796.35|36832.67|1
1.0|160000.0|49625.34|0
1.0|100000.0|31092.44|0
1.0|99796.35|30714.61|1
-1.0|80000.0|25130.57|0
1.0|96796.35|29469.3|1
1.0|130000.0|43941.11|0
1.0|130000.0|34988.41|0
1.0|130000.0|40866.06|0
1.0|110796.35|37065.65|1
1.0|100000.0|30595.5|0
1.0|100000.0|29244.87|0
1.0|99796.35|32000.41|1
-1.0|30000.0|8509.25|0
1.0|140000.0|42688.33|0
1.0|91796.35|30587.59|1
1.0|144796.35|46809.12|1
1.0|99796.35|33739.74|1
-1.0|70000.0|27115.63|0
1.0|130000.0|42520.86|0
1.0|110000.0|37520.9|0
1.0|145296.35|50545.88|1
-1.0|80000.0|24759.92|0
1.0|97796.35|29731.43|1
-1.0|67796.35|20710.84|1
1.0|90000.0|27956.07|0
1.0|110000.0|34856.78|0
1.0|152296.35|50669.14|1
1.0|176296.35|52482.02|1
-1.0|27796.35|6512.79|1
1.0|100000.0|30058.65|0
-1.0|92296.35|25547.62|1
1.0|110000.0|32074.08|0
-1.0|80000.0|26822.24|0
-1.0|53296.35|16240.94|1
-1.0|90000.0|26996.06|0
-1.0|80000.0|26153.62|0
1.0|100000.0|33947.81|0
-1.0|32296.35|8320.02|1
1.0|93296.35|27668.61|1
-1.0|70000.0|21479.75|0
1.0|130000.0|40689.47|0
1.0|90000.0|28440.34|0
1.0|149296.35|44892.82|1
1.0|100000.0|33096.86|0
-1.0|50000.0|16934.25|0
1.0|124796.35|35120.64|1
1.0|130000.0|38692.02|0
1.0|115296.35|40199.83|1
-1.0|56296.35|14494.73|1
-1.0|60000.0|13781.91|0
1.0|180000.0|49942.77|0
-1.0|72296.35|25748.34|1
-1.0|40000.0|15560.07|0
1.0|110000.0|34411.79|0
-1.0|79296.35|20021.13|1
1.0|143796.35|42644.84|1
1.0|140000.0|45641.18|0
-1.0|90000.0|23124.03|0
1.0|131296.35|43587.59|1
1.0|110000.0|31685.58|0
1.0|132296.35|40355.41|1
-1.0|80796.35|27436.88|1
-1.0|97796.35|24930.3|1
1.0|143796.35|40864.03|1
1.0|120000.0|39160.86|0
1.0|100000.0|25618.37|0
1.0|126296.35|34569.48|1
1.0|127796.35|34661.34|1
1.0|155296.35|47059.53|1
1.0|90000.0|28310.84|0
-1.0|90000.0|25493.65|0
1.0|110000.0|31253.39|0
1.0|120000.0|39206.96|0
1.0|100000.0|27887.87|0
1.0|140000.0|38711.15|0
1.0|140000.0|43453.58|0
-1.0|59296.35|17495.75|1
1.0|130000.0|34768.94|0
1.0|130000.0|37001.67|0
1.0|160000.0|49570.53|0
-1.0|68296.35|24711.88|1
1.0|110000.0|30425.0|0
-1.0|70000.0|22029.34|0
-1.0|75296.35|24203.2|1
-1.0|76296.35|24446.57|1
1.0|110000.0|34090.31|0
1.0|120000.0|35533.52|0
-1.0|80000.0|26355.05|0
-1.0|53296.35|16164.31|1
-1.0|90296.35|23935.27|1
-1.0|92296.35|25902.25|1
-1.0|62296.35|16853.59|1
1.0|94796.35|32937.0|1
1.0|160000.0|49376.09|0
-1.0|90000.0|26722.26|0
1.0|91296.35|27634.99|1
1.0|110000.0|30103.32|0
1.0|148296.35|43212.32|1
-1.0|77796.35|23767.95|1
1.0|140000.0|39556.76|0
-1.0|82296.35|22297.96|1
1.0|90000.0|28983.92|0
1.0|130000.0|39547.23|0
1.0|130000.0|39352.17|0
-1.0|70000.0|21285.82|0
1.0|110000.0|33598.77|0
-1.0|70000.0|23826.96|0
-1.0|70000.0|18530.47|0
-1.0|50000.0|16313.5|0
1.0|130000.0|36220.7|0
1.0|110000.0|33457.67|0
1.0|120796.35|36343.54|1
1.0|150000.0|45379.8|0
1.0|100000.0|26353.23|0
-1.0|90000.0|25672.31|0
1.0|99296.35|28302.23|1
1.0|110000.0|31396.36|0
1.0|110000.0|33068.45|0
-1.0|50000.0|13811.83|0
-1.0|70000.0|20741.61|0
1.0|190000.0|58046.93|0
1.0|110000.0|37060.01|0
-1.0|60000.0|16737.97|0
1.0|90000.0|27365.23|0
1.0|176296.35|51701.17|1
-1.0|80000.0|25291.34|0
1.0|126296.35|35559.77|1
-1.0|50000.0|12240.7|0
-1.0|87796.35|26144.45|1
-1.0|83796.35|23081.25|1
1.0|120000.0|34863.64|0
1.0|100000.0|31831.19|0
1.0|132296.35|35598.65|1
1.0|120000.0|37771.66|0
1.0|140000.0|45189.41|0
-1.0|73796.35|27485.56|1
1.0|140000.0|42457.82|0
1.0|94796.35|27018.4|1
1.0|100000.0|33461.7|0
1.0|123796.35|40245.52|1
-1.0|57796.35|16924.32|1
-1.0|70000.0|20918.15|0
1.0|90000.0|33109.88|0
1.0|99296.35|28504.04|1
-1.0|80000.0|23510.65|0
-1.0|90000.0|23757.45|0
1.0|160000.0|43287.65|0
1.0|120000.0|37292.27|0
-1.0|60000.0|19070.42|0
1.0|120000.0|40689.45|0
1.0|90000.0|29455.06|0
-1.0|80796.35|22623.31|1
1.0|100000.0|33936.03|0
1.0|160000.0|51091.9|0
-1.0|80000.0|25776.25|0
-1.0|24796.35|11687.22|1
1.0|110000.0|27871.54|0
-1.0|30000.0|9747.24|0
-1.0|90000.0|22926.05|0
1.0|160000.0|44814.83|0
1.0|150000.0|44892.46|0
1.0|122296.35|38489.42|1
-1.0|90000.0|24463.18|0
1.0|190000.0|58885.36|0
1.0|160000.0|47615.58|0
-1.0|80000.0|23934.88|0
1.0|100000.0|32727.7|0
1.0|190796.35|56226.72|1
1.0|93796.35|30211.62|1
1.0|117796.35|32884.02|1
1.0|180000.0|50963.31|0
1.0|90000.0|28736.97|0
-1.0|45296.35|14394.94|1
1.0|116796.35|36432.5|1
1.0|110000.0|32153.54|0
1.0|136296.35|40385.93|1
1.0|110000.0|33846.74|0
1.0|163796.35|48935.74|1
-1.0|90000.0|23818.6|0
1.0|130000.0|36856.58|0
1.0|114796.35|32724.68|1
-1.0|60000.0|15090.02|0
1.0|113796.35|37015.04|1
-1.0|70000.0|23636.12|0
-1.0|80000.0|25457.95|0
1.0|113796.35|37235.9|1
1.0|101296.35|32373.86|1
1.0|110000.0|35100.04|0
1.0|140000.0|44204.96|0
1.0|140000.0|46414.29|0
1.0|100000.0|25080.93|0
1.0|100000.0|30249.81|0
1.0|100000.0|29954.29|0
-1.0|20000.0|6500.34|0
-1.0|90000.0|24110.03|0
-1.0|70000.0|23936.39|0
1.0|150000.0|41673.89|0
1.0|130000.0|40199.95|0
-1.0|67796.35|25142.4|1
-1.0|42296.35|8959.6|1
-1.0|80000.0|24364.72|0
1.0|100000.0|28025.26|0
-1.0|80000.0|21500.79|0
-1.0|80000.0|25652.63|0
1.0|103296.35|26320.67|1
1.0|129296.35|35569.08|1
1.0|93796.35|30920.51|1
1.0|120000.0|34788.9|0
-1.0|80000.0|23655.12|0
-1.0|80000.0|24551.53|0
1.0|140000.0|42386.19|0
1.0|110000.0|31931.52|0
1.0|119296.35|39204.36|1
-1.0|30000.0|5586.44|0
-1.0|93796.35|25467.6|1
-1.0|80000.0|22674.07|0
1.0|112296.35|30800.49|1
1.0|118296.35|33461.88|1
1.0|90000.0|28899.09|0
-1.0|76796.35|24567.86|1
1.0|100000.0|30075.87|0
-1.0|83796.35|25052.03|1
1.0|99296.35|28557.62|1
1.0|110000.0|30391.46|0
1.0|100000.0|30567.7|0
-1.0|79296.35|25424.62|1
-1.0|60000.0|18127.91|0
1.0|110000.0|30699.82|0
1.0|160000.0|51034.45|0
-1.0|90000.0|24038.89|0
1.0|100000.0|28706.01|0
1.0|110000.0|33350.22|0
1.0|107796.35|32173.78|1
-1.0|90796.35|26742.8|1
1.0|130000.0|36691.39|0
1.0|90000.0|30253.76|0
1.0|134796.35|44825.8|1
-1.0|80000.0|19796.1|0
1.0|150000.0|47322.05|0
-1.0|70000.0|28344.3|0
1.0|110000.0|35919.07|0
-1.0|60000.0|19726.84|0
-1.0|73796.35|22892.99|1
1.0|90000.0|28164.64|0
1.0|140000.0|41177.98|0
1.0|130000.0|33129.85|0
1.0|90000.0|29624.04|0
-1.0|70000.0|20777.83|0
1.0|110000.0|31143.01|0
1.0|120000.0|37527.92|0
-1.0|60000.0|17308.36|0
1.0|100000.0|26558.12|0
-1.0|40000.0|12929.52|0
1.0|90000.0|27903.22|0
1.0|120000.0|39220.38|0
-1.0|70000.0|23155.54|0
1.0|150000.0|44588.55|0
1.0|112296.35|35899.7|1
-1.0|70000.0|22244.56|0
1.0|120000.0|38511.43|0
1.0|110000.0|31928.02|0
-1.0|80000.0|24199.49|0
1.0|90000.0|29724.45|0
1.0|92296.35|32923.28|1
-1.0|49296.35|18842.15|1
-1.0|60000.0|19062.4|0
1.0|100000.0|25673.24|0
1.0|100000.0|29370.01|0
-1.0|80000.0|24475.22|0
