"sex"|"race_nonwhite"|"U"|"UGPA"|"pr_UGPA"|"scf_UGPA"|"LSAT"|"pr_LSAT"|"scf_LSAT"
"102"|"Female"|"White"|-1.29977751828303|2.7|2.88482419579826|2.88482419579826|42|35.5984113273559|35.5984113273559
"103"|"Female"|"White"|0.766068900673216|3.7|3.59848940901418|3.59848940901418|40|38.0868129236104|38.0868129236104
"104"|"Female"|"White"|0.390096430600334|3.5|3.46860633999424|3.46860633999424|38|37.6213335970909|37.6213335970909
"108"|"Female"|"White"|0.538332816463184|3.6|3.51981593183632|3.51981593183632|38|37.8041770594574|37.8041770594574
"109"|"Male"|"White"|-0.440164682902657|3|3.04827209914215|3.04827209914215|36|37.2132692695156|37.2132692695156
"112"|"Male"|"White"|-1.13716842198721|2.7|2.80748589281933|2.80748589281933|32|36.3745255156659|36.3745255156659
"115"|"Female"|"White"|-0.124344492364745|3.3|3.29088809937093|3.29088809937093|36|36.9936245717565|36.9936245717565
"117"|"Female"|"White"|0.781079147281353|3.7|3.60367483361676|3.60367483361676|39|38.1055157083713|38.1055157083713
"118"|"Female"|"White"|1.02319179659732|3.8|3.68731482442675|3.68731482442675|37|38.4084602913459|38.4084602913459
"121"|"Male"|"White"|0.257051928171111|3.3|3.28913184400694|3.28913184400694|40|38.0716183036644|38.0716183036644
"122"|"Female"|"White"|-0.0274962596805251|3.3|3.32434519182173|3.32434519182173|45|37.1109909776957|37.1109909776957
"124"|"Female"|"White"|0.56824706024479|3.6|3.53015007621932|3.53015007621932|37|37.8411826634114|37.8411826634114
"129"|"Male"|"White"|1.22866060419733|3.8|3.62478279394011|3.62478279394011|38|39.3008924243223|39.3008924243223
"131"|"Male"|"White"|-0.642736061686222|2.9|2.97829199563375|2.97829199563375|34|36.9675296328383|36.9675296328383
"134"|"Female"|"White"|-0.316299722935804|3.2|3.22457543968028|3.22457543968028|40|36.7620976730305|36.7620976730305
"136"|"Female"|"White"|0.148054802957488|3.4|3.38499088425957|3.38499088425957|41|37.324684132833|37.324684132833
"140"|"Male"|"White"|0.575416146987635|3.5|3.39911362484853|3.39911362484853|38|38.4701160190068|38.4701160190068
"143"|"Female"|"NonWhite"|-0.61207153655115|2.8|2.89638728138312|3.12239840827554|32|31.7270495486662|36.408185627485
"144"|"Female"|"White"|0.608498986753907|3.6|3.54405546601543|3.54405546601543|39|37.8910337335628|37.8910337335628
"145"|"Female"|"White"|-1.13985235581652|2.8|2.94007178057657|2.94007178057657|32|35.7851012755924|35.7851012755924
"146"|"Male"|"White"|-0.174752225511491|3.1|3.13996121806994|3.13996121806994|41|37.5377154787613|37.5377154787613
"149"|"Male"|"White"|0.194312827641043|3.3|3.26745805783102|3.26745805783102|34|37.9935757766167|37.9935757766167
"150"|"Male"|"White"|0.82558317472471|3.6|3.48553607307669|3.48553607307669|38|38.786175420008|38.786175420008
"152"|"Female"|"White"|0.789080126630133|3.7|3.60643884384545|3.60643884384545|35|38.1154886901266|38.1154886901266
"155"|"Male"|"White"|0.0676646081233867|3.2|3.2237062920869|3.2237062920869|40|37.8365223934887|37.8365223934887
"159"|"Female"|"White"|0.114728491715474|3.4|3.37347801050478|3.37347801050478|38|37.2840225832694|37.2840225832694
"160"|"Male"|"White"|0.402736568489697|3.4|3.33945991241572|3.33945991241572|40|38.253457456175|38.253457456175
"162"|"Male"|"White"|1.00304627018659|3.7|3.54684229443885|3.54684229443885|36|39.011954240455|39.011954240455
"166"|"Female"|"NonWhite"|0.603775851835461|3.4|3.31641268971399|3.5424238166064|31|33.0141419854656|37.885180842147
"169"|"Female"|"White"|-0.352270143344746|3.2|3.21214913464857|3.21214913464857|28|36.7188734136255|36.7188734136255
"170"|"Male"|"White"|-1.65649590682033|2.4|2.62807954547838|2.62807954547838|39|35.7619033372724|35.7619033372724
"171"|"Female"|"White"|1.20988786598195|3.9|3.75181065961632|3.75181065961632|41|38.6437082705065|38.6437082705065
"172"|"Male"|"White"|0.602864664412758|3.5|3.40859596189978|3.40859596189978|29|38.5046681273349|38.5046681273349
"173"|"Male"|"White"|-0.186226770406322|3.1|3.13599723340304|3.13599723340304|36|37.5236304083667|37.5236304083667
"175"|"Male"|"White"|-0.426337703622272|3|3.05304875341118|3.05304875341118|36|37.2301022317367|37.2301022317367
"176"|"Male"|"White"|-0.594290745868419|2.9|2.99502786540857|2.99502786540857|36|37.0261506756204|37.0261506756204
"180"|"Male"|"White"|-0.298665744960136|3.1|3.0971541790441|3.0971541790441|32|37.38589023829|37.38589023829
"183"|"Female"|"NonWhite"|1.20416536923815|3.7|3.52382264479007|3.74983377168248|32|33.6688405251418|38.6364762289435
"184"|"Female"|"White"|-0.755359026543282|3|3.07289845699258|3.07289845699258|31|36.2379590913604|36.2379590913604
"186"|"Male"|"White"|-0.0249927306298187|3.2|3.19169698161225|3.19169698161225|35|37.7220316597494|37.7220316597494
"188"|"Male"|"White"|-0.478695931074698|3|3.03496113314301|3.03496113314301|33|37.1664014788|37.1664014788
"197"|"Female"|"NonWhite"|-0.0562855285576874|3.1|3.08838855323831|3.31439968013073|29|32.3090559644712|37.0760636030438
"199"|"Female"|"White"|-1.41144683270982|2.7|2.84624702744789|2.84624702744789|34|35.4686310139206|35.4686310139206
"200"|"Female"|"White"|-0.74556484645386|3|3.07628194453437|3.07628194453437|30|36.2495692614816|36.2495692614816
"202"|"Male"|"White"|-0.720623058852399|2.9|2.95138523241588|2.95138523241588|34|36.8734773056143|36.8734773056143
"204"|"Female"|"White"|-1.98304842870685|2.4|2.64878211856668|2.64878211856668|38|34.8116969626723|34.8116969626723
"209"|"Female"|"White"|0.0320058043034135|3.4|3.34490071462838|3.34490071462838|29|37.1832836786248|37.1832836786248
"211"|"Female"|"White"|-0.561310295119775|3.1|3.13993433536906|3.13993433536906|32|36.4686819593754|36.4686819593754
"215"|"Female"|"White"|-0.666094931617324|3|3.10373554088871|3.10373554088871|38|36.3439117517138|36.3439117517138
"217"|"Male"|"White"|-1.34379966749557|2.6|2.73610327186084|2.73610327186084|34|36.1295267868746|36.1295267868746
"218"|"Female"|"White"|-0.752577327857484|3|3.07385941980544|3.07385941980544|31|36.2412561811759|36.2412561811759
"220"|"Female"|"White"|-1.34121578160405|2.7|2.87050897528771|2.87050897528771|35|35.5501971123892|35.5501971123892
"222"|"Female"|"White"|-1.53720358955198|2.6|2.80280322549748|2.80280322549748|36|35.323044844181|35.323044844181
"223"|"Male"|"White"|0.415794542129834|3.4|3.34397090677452|3.34397090677452|37|38.2697983734272|38.2697983734272
"224"|"Female"|"White"|-0.305280093378311|3.2|3.22838226975513|3.22838226975513|33|36.7753497134372|36.7753497134372
"225"|"Female"|"White"|-0.927586466594304|2.9|3.01340093985007|3.01340093985007|37|36.0344046105087|36.0344046105087
"226"|"Male"|"White"|-0.911458958348251|2.8|2.88545925570568|2.88545925570568|26|36.6440438576719|36.6440438576719
"227"|"Male"|"White"|-1.23988404582932|2.6|2.77200185735704|2.77200185735704|38|36.2525305945358|36.2525305945358
"231"|"Female"|"White"|-0.722693037149069|3|3.08418321663009|3.08418321663009|41|36.2766963401868|36.2766963401868
"232"|"Male"|"White"|0.00614505655553656|3.2|3.20245381006126|3.20245381006126|35|37.7604679259044|37.7604679259044
"237"|"Male"|"White"|0.565836574530206|3.5|3.3958042754421|3.3958042754421|32|38.4580645831239|38.4580645831239
"238"|"Female"|"White"|0.735228153016783|3.7|3.58783519554022|3.58783519554022|35|38.0484141177773|38.0484141177773
"240"|"Male"|"White"|-0.252262832508066|3.1|3.11318448221915|3.11318448221915|39|37.4426734267953|37.4426734267953
"242"|"Female"|"White"|-1.50658181057059|2.6|2.81338179427456|2.81338179427456|40|35.3584399533005|35.3584399533005
"243"|"Male"|"White"|1.28054201655771|3.8|3.64270569414913|3.64270569414913|40|39.3676376078378|39.3676376078378
"245"|"Male"|"White"|0.139343790504966|3.3|3.24846850989172|3.24846850989172|32|37.92533009693|37.92533009693
"246"|"Male"|"White"|0.25267082545893|3.3|3.28761835269776|3.28761835269776|39|38.0661633525415|38.0661633525415
"247"|"Female"|"White"|-1.31319348588956|2.7|2.88018952920612|2.88018952920612|39|35.5827944375963|35.5827944375963
"252"|"Male"|"White"|-0.461403296756305|3|3.04093502909416|3.04093502909416|33|37.1874282068905|37.1874282068905
"253"|"Male"|"White"|-0.00821014422698122|3.2|3.19749467692667|3.19749467692667|40|37.7427431033819|37.7427431033819
"254"|"Male"|"NonWhite"|0.716375631061762|3.3|3.22179821867062|3.44780934556304|42|33.6787826150355|38.6478852146362
"258"|"Male"|"White"|-0.226559097964751|3.1|3.1220640683418|3.1220640683418|36|37.4741641655115|37.4741641655115
"261"|"Female"|"White"|0.821539676785934|3.7|3.61765228719257|3.61765228719257|41|38.1559753313287|38.1559753313287
"262"|"Female"|"White"|1.2514017235726|3.9|3.76615199484676|3.76615199484676|36|38.6962136696184|38.6962136696184
"264"|"Female"|"White"|0.34722199964707|3.5|3.45379498246688|3.45379498246688|42|37.5686148239518|37.5686148239518
"265"|"Male"|"White"|0.254260551645472|3.3|3.28816753789732|3.28816753789732|46|38.068142644825|38.068142644825
"266"|"Male"|"White"|-2.08886491894258|2.2|2.47871378411647|2.47871378411647|40|35.25973971472|35.25973971472
"267"|"Female"|"White"|1.06855772946329|3.8|3.70298689368342|3.70298689368342|41|38.4654919741125|38.4654919741125
"268"|"Female"|"NonWhite"|0.696675678899876|3.4|3.34850576995523|3.57451689684765|41|33.1146063598804|38.0004681331078
"269"|"Male"|"NonWhite"|-0.415403884711137|2.8|2.83081481253457|3.05682593942699|32|32.4548933768821|37.2434184519194
"272"|"Female"|"White"|0.749734572692598|3.7|3.59284656860065|3.59284656860065|36|38.0664707617279|38.0664707617279
"274"|"Male"|"White"|-0.651159718383363|2.9|2.97538196771606|2.97538196771606|36|36.957346099966|36.957346099966
"276"|"Female"|"White"|-2.08308684816464|2.3|2.61422294742161|2.61422294742161|48|34.6979816565496|34.6979816565496
"277"|"Female"|"White"|-0.499434099236761|3.1|3.16131002337889|3.16131002337889|37|36.5425608573821|36.5425608573821
"279"|"Male"|"NonWhite"|0.468895738629783|3.2|3.13630406548553|3.36231519237795|34|33.407278104745|38.3363218404815
"280"|"Female"|"White"|1.23032291938419|3.9|3.75887013248399|3.75887013248399|47|38.6695449631702|38.6695449631702
"281"|"Female"|"White"|-1.06082598261759|2.8|2.96737215148565|2.96737215148565|41|35.8777144750517|35.8777144750517
"283"|"Male"|"White"|0.426044955695736|3.4|3.34751200427137|3.34751200427137|44|38.2826307640189|38.2826307640189
"287"|"Male"|"White"|-1.44345680616065|2.5|2.70167581759256|2.70167581759256|46|36.0119557624272|36.0119557624272
"289"|"Male"|"NonWhite"|-0.379834568761031|2.8|2.84310255242586|3.06911367931827|34|32.4926719499149|37.2867710270654
"290"|"Male"|"White"|1.04021003507119|3.7|3.55968085104543|3.55968085104543|34|39.0594023142242|39.0594023142242
"291"|"Male"|"White"|0.188973131740941|3.3|3.26561341188924|3.26561341188924|38|37.9869410050245|37.9869410050245
"293"|"Male"|"White"|0.154576950372891|3.3|3.25373094188344|3.25373094188344|38|37.9442302259292|37.9442302259292
"295"|"Male"|"White"|1.06859992525705|3.7|3.56948839377792|3.56948839377792|37|39.0956874002939|39.0956874002939
"296"|"Male"|"NonWhite"|-0.289812851762173|2.8|2.87420136367655|3.10021249056897|40|32.58848163901|37.3967168617746
"298"|"Male"|"White"|0.0340813478665676|3.2|3.2121046529855|3.2121046529855|41|37.7949856177756|37.7949856177756
"301"|"Male"|"NonWhite"|0.959151238210094|3.4|3.30566723422245|3.53167836111487|38|33.9472700809213|38.95598639756
"303"|"Male"|"White"|0.639507265569345|3.5|3.42125447781231|3.42125447781231|41|38.5508420907071|38.5508420907071
"304"|"Male"|"White"|0.64591163285804|3.5|3.42346692405452|3.42346692405452|40|38.5589180252696|38.5589180252696
"305"|"Female"|"White"|0.148431757543397|3.4|3.38512110660934|3.38512110660934|41|37.3251443099886|37.3251443099886
"311"|"Female"|"White"|1.01237653707634|3.8|3.68357859581789|3.68357859581789|40|38.394876398752|38.394876398752
"312"|"Female"|"White"|0.789950045105181|3.7|3.60673936500146|3.60673936500146|36|38.1165731748305|38.1165731748305
"315"|"Female"|"NonWhite"|-0.716172651663033|2.8|2.86042461550892|3.08643574240134|23|31.6192087390953|36.2844335525544
"316"|"Male"|"White"|0.374801205707277|3.4|3.32980939026003|3.32980939026003|38|38.2185222083205|38.2185222083205
"318"|"Female"|"White"|0.126183587175683|3.4|3.37743527618969|3.37743527618969|39|37.2979939869025|37.2979939869025
"320"|"Male"|"White"|-0.679855176440216|2.9|2.9654688638161|2.9654688638161|33|36.9226766173753|36.9226766173753
"321"|"Male"|"White"|1.23161038996636|3.8|3.62580182394664|3.62580182394664|38|39.3046842734078|39.3046842734078
"322"|"Male"|"White"|1.24952134212469|3.8|3.63198932335302|3.63198932335302|43|39.3277160481683|39.3277160481683
"325"|"Female"|"White"|-0.0456210213665322|3.3|3.31808382999229|3.31808382999229|39|37.0889980349621|37.0889980349621
"329"|"Male"|"NonWhite"|-0.393138182732077|2.8|2.83850669940693|3.06451782629935|35|32.4785368857239|37.2705504188386
"331"|"Female"|"White"|-0.319994487077241|3.2|3.22329905019915|3.22329905019915|38|36.757655474441|36.757655474441
"340"|"Female"|"White"|0.783843205872699|3.7|3.60462970250045|3.60462970250045|35|38.1089607297809|38.1089607297809
"342"|"Female"|"White"|0.148814983797768|3.4|3.38525349556334|3.38525349556334|37|37.3256121492631|37.3256121492631
"345"|"Female"|"White"|-0.716974514465254|3|3.08615873168919|3.08615873168919|38|36.2834819580488|36.2834819580488
"348"|"Male"|"White"|-0.867289408288642|2.8|2.90071802376883|2.90071802376883|38|36.6970196319722|36.6970196319722
"350"|"Female"|"NonWhite"|0.0155011681430929|3.1|3.11318791283103|3.33919903972345|34|32.3850037972652|37.1632170835503
"351"|"Male"|"White"|0.424998980147575|3.4|3.34715066261705|3.34715066261705|34|38.2813211205426|38.2813211205426
"352"|"Female"|"NonWhite"|-1.33734310970728|2.5|2.64583569770953|2.87184682460194|29|30.9832999861108|35.5547002729033
"353"|"Male"|"White"|-0.0255902818714685|3.2|3.19149055216504|3.19149055216504|40|37.7212944294256|37.7212944294256
"354"|"Male"|"White"|-1.13238175019111|2.7|2.8091394916138|2.8091394916138|30|36.3802206266202|36.3802206266202
"356"|"Male"|"White"|1.19687970375377|3.8|3.61380379623577|3.61380379623577|33|39.2600623545676|39.2600623545676
"357"|"Male"|"White"|-1.86767363178795|2.3|2.55512630232703|2.55512630232703|36|35.515749290887|35.515749290887
"359"|"Female"|"White"|-0.959392204289602|2.9|3.00241336189388|3.00241336189388|30|35.9969388839528|35.9969388839528
"360"|"Male"|"White"|-1.12688233028275|2.7|2.81103931564982|2.81103931564982|27|36.3867648554131|36.3867648554131
"365"|"Male"|"White"|-1.64173078737609|2.4|2.633180288699|2.633180288699|41|35.77917760571|35.77917760571
"366"|"Male"|"NonWhite"|-1.39881934678203|2.3|2.49108510224311|2.71709622913553|33|31.4276135630742|36.0645696561902
"368"|"Male"|"White"|0.352443704505691|3.4|3.32208579052116|3.32208579052116|33|38.1905854776076|38.1905854776076
"370"|"Female"|"White"|0.7727598048761|3.7|3.60080084200878|3.60080084200878|40|38.0951486638266|38.0951486638266
"371"|"Female"|"White"|-0.426693290692427|3.1|3.18643898948351|3.18643898948351|36|36.6296032918952|36.6296032918952
"375"|"Male"|"White"|0.156439973607948|3.3|3.25437454000481|3.25437454000481|36|37.9465423676777|37.9465423676777
"376"|"Female"|"White"|0.172656415607838|3.4|3.39348973246845|3.39348973246845|42|37.3547290948976|37.3547290948976
"377"|"Male"|"White"|0.890049121275991|3.6|3.5078064137315|3.5078064137315|40|38.8680412098019|38.8680412098019
"379"|"Male"|"White"|1.18866920844639|3.8|3.61096740683606|3.61096740683606|37|39.2495209316595|39.2495209316595
"380"|"Male"|"White"|0.870221327935704|3.6|3.50095672431028|3.50095672431028|45|38.8428433629988|38.8428433629988
"381"|"Male"|"NonWhite"|0.393838116458692|3.2|3.11037473529008|3.33638586218249|23|33.32536749919|38.2423258158171
"382"|"Male"|"White"|-1.78405336238277|2.4|2.5840136759704|2.5840136759704|30|35.6130158989596|35.6130158989596
"383"|"Female"|"White"|-0.70626636238123|3|3.08985795907127|3.08985795907127|38|36.2961917004247|36.2961917004247
"385"|"Female"|"White"|-0.732787229455364|3|3.08069608717148|3.08069608717148|35|36.264721635247|36.264721635247
"388"|"Male"|"White"|0.0148641249844482|3.2|3.20546589061684|3.20546589061684|38|37.7712376997889|37.7712376997889
"389"|"Female"|"NonWhite"|-0.774490939789503|2.8|2.84027803871199|3.06628916560441|20|31.5589557148994|36.2152905556243
"391"|"Male"|"White"|-0.765966219510802|2.9|2.93572103002299|2.93572103002299|29|36.818833480205|36.818833480205
"392"|"Male"|"White"|-1.25319042904143|2.6|2.7674050476789|2.7674050476789|45|36.2367566227639|36.2367566227639
"393"|"Male"|"White"|-0.861084315074631|2.8|2.90286162899087|2.90286162899087|36|36.7044679871921|36.7044679871921
"395"|"Male"|"NonWhite"|-1.7380997718012|2.2|2.37387762997437|2.59988875686679|28|31.0807968545877|35.6665822202038
"396"|"Male"|"White"|0.188746479839867|3.3|3.26553511295287|3.26553511295287|35|37.986659407207|37.986659407207
"397"|"Male"|"White"|-0.20541131449274|3.1|3.12936976021807|3.12936976021807|36|37.5000930731024|37.5000930731024
"398"|"Male"|"White"|0.408657890076289|3.4|3.34150548617853|3.34150548617853|37|38.2608666098566|38.2608666098566
"401"|"Male"|"White"|0.00384476006017929|3.2|3.20165915196191|3.20165915196191|36|37.7576271167812|37.7576271167812
"403"|"Male"|"NonWhite"|-0.609027942023085|2.7|2.76392564164689|2.98993676853931|30|32.2500120952531|37.0083081646643
"412"|"Male"|"NonWhite"|-0.771369863990168|2.6|2.70784316557732|2.93385429246974|34|32.0792288349929|36.8123268575439
"413"|"Female"|"White"|-0.192095503489272|3.3|3.26748290363319|3.26748290363319|22|36.9117406224238|36.9117406224238
"415"|"Male"|"NonWhite"|0.295810228831746|3.1|3.0765101204366|3.30252124732901|33|33.2186917327086|38.1199106791038
"417"|"Male"|"White"|0.69144219855845|3.5|3.43919586720356|3.43919586720356|40|38.6163810519598|38.6163810519598
"421"|"Male"|"White"|-0.767407459128644|2.8|2.93522314084317|2.93522314084317|47|36.8170979459637|36.8170979459637
"422"|"Male"|"White"|-1.46303118535264|2.5|2.69491367236655|2.69491367236655|38|35.9889077808735|35.9889077808735
"425"|"Female"|"White"|0.0731827230357266|3.4|3.3591256513018|3.3591256513018|34|37.2333944709529|37.2333944709529
"428"|"Male"|"White"|-0.902798621892001|2.8|2.88845104677343|2.88845104677343|35|36.654424802278|36.654424802278
"430"|"Male"|"White"|-1.72388797627167|2.4|2.6047983493678|2.6047983493678|38|35.6831646661257|35.6831646661257
"434"|"Female"|"White"|0.139821928166782|3.4|3.38214676366621|3.38214676366621|42|37.3146350508932|37.3146350508932
"436"|"Female"|"White"|0.415039825880555|3.5|3.47722326008455|3.47722326008455|43|37.6520382452844|37.6520382452844
"437"|"Male"|"White"|-0.371510217046016|3|3.07198940143734|3.07198940143734|43|37.2969241939701|37.2969241939701
"438"|"Male"|"White"|1.1221984855143|3.7|3.5880044981616|3.5880044981616|41|39.1642835762174|39.1642835762174
"439"|"Female"|"White"|1.2546195925333|3.9|3.76726363660137|3.76726363660137|42|38.7002865052825|38.7002865052825
"442"|"Male"|"White"|0.293148136985596|3.3|3.30160160377393|3.30160160377393|46|38.1165917864266|38.1165917864266
"445"|"Male"|"White"|0.818169910511285|3.6|3.48297509432388|3.48297509432388|42|38.7767723213484|38.7767723213484
"448"|"Female"|"NonWhite"|0.746589767798482|3.4|3.36574904059212|3.59176016748453|45|33.1687109981553|38.0625555866102
"449"|"Male"|"White"|0.489763841062389|3.4|3.36952426592539|3.36952426592539|44|38.3624963664665|38.3624963664665
"451"|"Male"|"White"|0.921154820792553|3.6|3.51855215720692|3.51855215720692|41|38.9076043513329|38.9076043513329
"453"|"Male"|"NonWhite"|-0.557228030037464|2.7|2.78182038681893|3.00783151371134|34|32.3046965710877|37.0710610072845
"467"|"Female"|"White"|0.621283756073827|3.6|3.54847207948625|3.54847207948625|39|37.9068811094356|37.9068811094356
"468"|"Female"|"White"|-0.0649437035809986|3.3|3.31140863574941|3.31140863574941|43|37.0655658658872|37.0655658658872
"469"|"Female"|"White"|0.591190247908375|3.6|3.53807600661063|3.53807600661063|42|37.869589221894|37.869589221894
"470"|"Female"|"White"|0.883377615951673|3.7|3.63901475907557|3.63901475907557|48|38.2332245385139|38.2332245385139
"471"|"Male"|"White"|-1.50404454028709|2.5|2.68074524027721|2.68074524027721|33|35.9406641576175|35.9406641576175
"473"|"Female"|"White"|0.119284610390668|3.4|3.37505196265143|3.37505196265143|38|37.2895789046138|37.2895789046138
"474"|"Female"|"White"|0.632050218961505|3.6|3.55219145085956|3.55219145085956|40|37.9202318320977|37.9202318320977
"479"|"Male"|"White"|0.431541956566065|3.4|3.34941099262897|3.34941099262897|43|38.2895141770154|38.2895141770154
"480"|"Female"|"White"|0.632299826211849|3.6|3.55227767992766|3.55227767992766|42|37.9205414080079|37.9205414080079
"484"|"Female"|"White"|0.427804188553374|3.5|3.48163282389572|3.48163282389572|42|37.6677605239735|37.6677605239735
"485"|"Female"|"NonWhite"|0.103084575683541|3.1|3.14344438816384|3.36945551505626|46|32.4779058216288|37.2698262450171
"486"|"Male"|"White"|0.868116340896902|3.6|3.50022953761814|3.50022953761814|42|38.8401692318947|38.8401692318947
"487"|"Male"|"White"|0.266162869295268|3.3|3.29227930050725|3.29227930050725|45|38.082964923203|38.082964923203
"491"|"Male"|"White"|0.0440994938946997|3.2|3.21556551157382|3.21556551157382|43|37.8073715842655|37.8073715842655
"499"|"Female"|"White"|0.0338714158823338|3.3|3.3455452069164|3.3455452069164|46|37.1855525998837|37.1855525998837
"501"|"Female"|"White"|0.425329531301342|3.5|3.48077793130583|3.48077793130583|37|37.6647118955988|37.6647118955988
"503"|"Female"|"White"|1.21094023625738|3.9|3.75217421038665|3.75217421038665|39|38.6450383942553|38.6450383942553
"506"|"Male"|"White"|0.895934317891702|3.6|3.50983950779843|3.50983950779843|44|38.8755234670444|38.8755234670444
