u_AnnualSalary|u_AccountBalance|AnnualSalary|AccountBalance|LoanApproval|Gender
-30655.29|-8.49|70000.0|21035.69|-1.0|0
4641.06|-2390.88|105296.35|29203.42|1.0|1
-30655.29|2904.31|70000.0|23948.49|-1.0|0
-50655.29|3631.38|50000.0|18697.53|-1.0|0
-30655.29|-1785.4|70000.0|19258.78|-1.0|0
20141.06|114.05|120796.35|36341.32|1.0|1
8641.06|-1149.66|109296.35|31640.25|1.0|1
-60655.29|-2714.5|40000.0|9362.64|-1.0|0
-10655.29|672.07|90000.0|27694.27|1.0|0
19344.71|1942.23|120000.0|37931.47|1.0|0
-20655.29|5027.34|80000.0|29060.53|1.0|0
9344.71|-65.57|110000.0|32934.66|1.0|0
-11358.94|-208.26|89296.35|26603.62|-1.0|1
-56858.94|960.42|43796.35|14172.29|-1.0|1
-655.29|2166.69|100000.0|32177.9|1.0|0
-49858.94|501.64|50796.35|15805.82|-1.0|1
-30655.29|949.0|70000.0|21993.18|-1.0|0
49344.71|634.82|150000.0|45591.1|1.0|0
24641.06|1361.42|125296.35|38933.75|1.0|1
19344.71|-1160.1|120000.0|34829.14|1.0|0
68641.06|-5591.89|169296.35|45132.09|1.0|1
-30655.29|1669.76|70000.0|22713.94|-1.0|0
-30655.29|-1036.72|70000.0|20007.46|-1.0|0
29344.71|-3176.02|130000.0|35802.23|1.0|0
-40655.29|1779.22|60000.0|19834.38|-1.0|0
53141.06|-4835.67|153796.35|41255.34|1.0|1
21641.06|-1009.43|122296.35|35666.19|1.0|1
-21358.94|-1618.74|79296.35|22204.13|-1.0|1
-22858.94|-3965.17|77796.35|19409.34|-1.0|1
19344.71|3874.96|120000.0|39864.2|1.0|0
-51358.94|3113.72|49296.35|17969.55|-1.0|1
39344.71|1291.07|140000.0|43258.34|1.0|0
-10655.29|-2975.1|90000.0|24047.1|-1.0|0
49344.71|-1204.15|150000.0|43752.13|1.0|0
-655.29|3445.98|100000.0|33457.19|1.0|0
29344.71|1512.5|130000.0|40490.75|1.0|0
-30655.29|-3762.57|70000.0|17281.61|-1.0|0
9344.71|3942.09|110000.0|36942.32|1.0|0
-10655.29|1563.85|90000.0|28586.05|1.0|0
59344.71|219.49|160000.0|48164.78|1.0|0
-9858.94|5785.76|90796.35|33045.99|1.0|1
40141.06|66.8|140796.35|42272.1|1.0|1
19344.71|327.15|120000.0|36316.39|1.0|0
49141.06|-1313.91|149796.35|43581.5|1.0|1
39344.71|3512.04|140000.0|45479.31|1.0|0
141.06|997.85|100796.35|31247.09|1.0|1
-20655.29|-3352.62|80000.0|20680.57|-1.0|0
-20655.29|-3391.75|80000.0|20641.44|-1.0|0
-71358.94|4296.95|29296.35|13174.75|-1.0|1
19344.71|2266.16|120000.0|38255.4|1.0|0
9344.71|-1389.93|110000.0|31610.3|1.0|0
-50655.29|-1313.74|50000.0|13752.41|-1.0|0
-32858.94|1344.48|67796.35|21729.98|-1.0|1
29344.71|-3072.27|130000.0|35905.98|1.0|0
39344.71|-237.96|140000.0|41729.31|1.0|0
-655.29|-4301.09|100000.0|25710.12|1.0|0
59344.71|134.13|160000.0|48079.42|1.0|0
29344.71|2294.61|130000.0|41272.86|1.0|0
9344.71|-3641.17|110000.0|29359.06|1.0|0
-20655.29|-3119.0|80000.0|20914.19|-1.0|0
49344.71|1406.92|150000.0|46363.2|1.0|0
34641.06|-3908.25|135296.35|36653.09|1.0|1
9344.71|-634.09|110000.0|32366.14|1.0|0
-655.29|-6081.38|100000.0|23929.83|-1.0|0
-655.29|1236.54|100000.0|31247.75|1.0|0
29344.71|3926.95|130000.0|42905.2|1.0|0
19344.71|-561.55|120000.0|35427.69|1.0|0
69344.71|534.0|170000.0|51468.3|1.0|0
28641.06|3498.2|129296.35|42266.13|1.0|1
-18358.94|-4128.58|82296.35|20590.99|-1.0|1
49344.71|2265.63|150000.0|47221.91|1.0|0
27141.06|2018.48|127796.35|40338.06|1.0|1
6641.06|-2672.06|107296.35|29520.04|1.0|1
27641.06|-1526.24|128296.35|36942.79|1.0|1
-655.29|-733.16|100000.0|29278.05|1.0|0
-10655.29|-3908.19|90000.0|23114.01|-1.0|0
39344.71|1154.23|140000.0|43121.5|1.0|0
-53358.94|259.11|47296.35|14517.14|-1.0|1
-20655.29|3576.53|80000.0|27609.72|-1.0|0
89344.71|-2242.39|190000.0|54669.94|1.0|0
-20655.29|-2803.25|80000.0|21229.94|-1.0|0
-655.29|-1080.74|100000.0|28930.47|1.0|0
-22858.94|683.67|77796.35|24058.18|-1.0|1
-40655.29|856.91|60000.0|18912.07|-1.0|0
-20655.29|1526.8|80000.0|25559.99|-1.0|0
7141.06|-2274.81|107796.35|30066.74|1.0|1
-10655.29|-829.55|90000.0|26192.65|-1.0|0
9344.71|-769.69|110000.0|32230.54|1.0|0
39344.71|-1813.68|140000.0|40153.59|1.0|0
-20655.29|3658.04|80000.0|27691.23|-1.0|0
-20655.29|-4321.94|80000.0|19711.25|-1.0|0
19344.71|-4047.77|120000.0|31941.47|1.0|0
-1358.94|1172.25|99296.35|30973.14|1.0|1
-10655.29|-3421.73|90000.0|23600.47|-1.0|0
-10655.29|-4220.47|90000.0|22801.73|-1.0|0
-58358.94|506.1|42296.35|13269.62|-1.0|1
9344.71|1683.34|110000.0|34683.57|1.0|0
9344.71|1935.19|110000.0|34935.42|1.0|0
1641.06|3026.68|102296.35|33724.28|1.0|1
-40655.29|7241.8|60000.0|25296.96|-1.0|0
9344.71|1304.27|110000.0|34304.5|1.0|0
-6858.94|-943.34|93796.35|27213.6|1.0|1
19344.71|-4048.91|120000.0|31940.33|1.0|0
-10655.29|2412.47|90000.0|29434.67|1.0|0
-40655.29|2332.29|60000.0|20387.45|-1.0|0
-10655.29|-2416.53|90000.0|24605.67|-1.0|0
-655.29|-3747.98|100000.0|26263.23|1.0|0
-40655.29|572.79|60000.0|18627.95|-1.0|0
-20655.29|-5579.22|80000.0|18453.97|-1.0|0
-47358.94|-3972.27|53296.35|12079.16|-1.0|1
-30655.29|-1640.37|70000.0|19403.81|-1.0|0
6141.06|-2627.67|106796.35|29414.98|1.0|1
-18358.94|-3893.0|82296.35|20826.57|-1.0|1
9344.71|574.86|110000.0|33575.09|1.0|0
-60655.29|-864.53|40000.0|11212.61|-1.0|0
-30655.29|4896.08|70000.0|25940.26|-1.0|0
-655.29|-4097.07|100000.0|25914.14|1.0|0
19344.71|-1331.54|120000.0|34657.7|1.0|0
9344.71|-1181.26|110000.0|31818.97|1.0|0
9344.71|651.21|110000.0|33651.44|1.0|0
-4358.94|-1490.23|96296.35|27413.96|1.0|1
29344.71|466.28|130000.0|39444.53|1.0|0
69344.71|1913.73|170000.0|52848.03|1.0|0
29344.71|1276.95|130000.0|40255.2|1.0|0
-40655.29|-2593.04|60000.0|15462.12|-1.0|0
98641.06|-1267.44|199296.35|58423.58|1.0|1
49344.71|5496.71|150000.0|50452.99|1.0|0
-655.29|-1195.91|100000.0|28815.3|1.0|0
-4358.94|-2363.47|96296.35|26540.72|1.0|1
43141.06|-84.47|143796.35|43017.53|1.0|1
9344.71|-2285.55|110000.0|30714.68|1.0|0
-20655.29|-1636.77|80000.0|22396.42|-1.0|0
11641.06|-1479.35|112296.35|32207.26|1.0|1
19344.71|2164.35|120000.0|38153.59|1.0|0
-20655.29|-130.32|80000.0|23902.87|-1.0|0
17141.06|3312.47|117796.35|38643.04|1.0|1
39344.71|-2856.88|140000.0|39110.39|1.0|0
-655.29|-590.62|100000.0|29420.59|1.0|0
141.06|-174.98|100796.35|30074.26|1.0|1
-30655.29|839.76|70000.0|21883.94|-1.0|0
18141.06|1578.74|118796.35|37208.21|1.0|1
-60655.29|4364.38|40000.0|16441.52|-1.0|0
53141.06|742.79|153796.35|46833.8|1.0|1
19344.71|-1032.78|120000.0|34956.46|1.0|0
-10655.29|933.07|90000.0|27955.27|1.0|0
-29858.94|-1268.14|70796.35|20014.07|-1.0|1
29344.71|-76.56|130000.0|38901.69|1.0|0
-30655.29|-2080.68|70000.0|18963.5|-1.0|0
39344.71|2455.13|140000.0|44422.4|1.0|0
9344.71|-4725.44|110000.0|28274.79|1.0|0
39344.71|-1713.1|140000.0|40254.17|1.0|0
-10655.29|-734.04|90000.0|26288.16|-1.0|0
-20655.29|-1868.18|80000.0|22165.01|-1.0|0
-40858.94|-1903.36|59796.35|16090.93|-1.0|1
141.06|-3389.49|100796.35|26859.75|1.0|1
-51358.94|-2022.69|49296.35|12833.14|-1.0|1
9344.71|1730.19|110000.0|34730.42|1.0|0
59344.71|-3937.6|160000.0|44007.69|1.0|0
-4358.94|1307.92|96296.35|30212.11|1.0|1
-19858.94|257.12|80796.35|24528.34|-1.0|1
-5858.94|4367.84|94796.35|32823.68|1.0|1
19344.71|1138.66|120000.0|37127.9|1.0|0
-30655.29|-3334.25|70000.0|17709.93|-1.0|0
-655.29|2048.24|100000.0|32059.45|1.0|0
-20655.29|2634.69|80000.0|26667.88|-1.0|0
-2858.94|-1254.58|97796.35|28097.96|1.0|1
-10655.29|-2764.7|90000.0|24257.5|-1.0|0
-30655.29|667.73|70000.0|21711.91|-1.0|0
-11358.94|-3851.27|89296.35|22960.61|-1.0|1
5641.06|847.73|106296.35|32740.93|1.0|1
-20655.29|-276.83|80000.0|23756.36|-1.0|0
109344.71|-508.17|210000.0|62382.19|1.0|0
-41358.94|1958.35|59296.35|19803.19|-1.0|1
9344.71|-4135.67|110000.0|28864.56|1.0|0
19344.71|-1232.92|120000.0|34756.32|1.0|0
79344.71|2845.07|180000.0|56768.39|1.0|0
34641.06|710.88|135296.35|41272.22|1.0|1
-655.29|-3461.05|100000.0|26550.16|1.0|0
-10655.29|-1639.19|90000.0|25383.01|-1.0|0
-15858.94|1162.94|84796.35|26629.76|-1.0|1
-46858.94|-1524.18|53796.35|14676.7|-1.0|1
19344.71|-2401.27|120000.0|33587.97|1.0|0
19344.71|-208.58|120000.0|35780.66|1.0|0
7141.06|-328.82|107796.35|32012.73|1.0|1
4641.06|-710.97|105296.35|30883.33|1.0|1
-655.29|2048.58|100000.0|32059.79|1.0|0
-40655.29|3945.46|60000.0|22000.62|-1.0|0
-19858.94|993.59|80796.35|25264.81|-1.0|1
-25358.94|5779.3|75296.35|28406.56|-1.0|1
-10655.29|4203.03|90000.0|31225.23|1.0|0
-655.29|3201.52|100000.0|33212.73|1.0|0
-18358.94|-154.9|82296.35|24564.67|-1.0|1
-10655.29|1232.0|90000.0|28254.2|1.0|0
10141.06|-5444.11|110796.35|27794.15|1.0|1
23141.06|-163.96|123796.35|36960.01|1.0|1
-70655.29|-3738.66|30000.0|5349.46|-1.0|0
-8358.94|1476.06|92296.35|29184.64|1.0|1
9344.71|5071.2|110000.0|38071.43|1.0|0
-25358.94|-3294.5|75296.35|19332.76|-1.0|1
-28358.94|-3133.32|72296.35|18597.24|-1.0|1
129344.71|4527.57|230000.0|73395.95|1.0|0
-39858.94|-3249.31|60796.35|15043.88|-1.0|1
-20655.29|706.99|80000.0|24740.18|-1.0|0
-41358.94|6007.96|59296.35|23852.8|-1.0|1
-5358.94|-2286.88|95296.35|26318.41|1.0|1
-52858.94|2113.61|47796.35|16521.09|-1.0|1
41641.06|54.57|142296.35|42708.22|1.0|1
-40655.29|-2612.49|60000.0|15442.67|-1.0|0
29344.71|910.62|130000.0|39888.87|1.0|0
30141.06|-4068.86|130796.35|35147.42|1.0|1
19344.71|2296.51|120000.0|38285.75|1.0|0
-655.29|937.75|100000.0|30948.96|1.0|0
-10655.29|4503.66|90000.0|31525.86|1.0|0
141.06|737.58|100796.35|30986.82|1.0|1
-41358.94|-3235.74|59296.35|14609.1|-1.0|1
641.06|3608.27|101296.35|34006.97|1.0|1
9344.71|-4588.63|110000.0|28411.6|1.0|0
-20655.29|4806.2|80000.0|28839.39|-1.0|0
-22858.94|-2002.72|77796.35|21371.79|-1.0|1
19344.71|870.39|120000.0|36859.63|1.0|0
-40655.29|-2093.86|60000.0|15961.3|-1.0|0
-14358.94|543.38|86296.35|26458.56|-1.0|1
-31358.94|286.11|69296.35|21119.96|-1.0|1
23141.06|-182.01|123796.35|36941.96|1.0|1
29344.71|-283.44|130000.0|38694.81|1.0|0
9344.71|-1798.04|110000.0|31202.19|1.0|0
-10655.29|-1360.8|90000.0|25661.4|-1.0|0
57641.06|-34.22|158296.35|47401.85|1.0|1
-40655.29|219.99|60000.0|18275.15|-1.0|0
18641.06|1434.77|119296.35|37213.69|1.0|1
-48358.94|-2666.55|52296.35|13085.98|-1.0|1
-25358.94|2720.95|75296.35|25348.21|-1.0|1
-20655.29|4689.61|80000.0|28722.8|-1.0|0
29344.71|-5228.0|130000.0|33750.25|1.0|0
-20655.29|2463.33|80000.0|26496.52|-1.0|0
-51358.94|3381.45|49296.35|18237.28|-1.0|1
59344.71|-3797.23|160000.0|44148.06|1.0|0
-30655.29|1343.09|70000.0|22387.27|-1.0|0
17141.06|2358.41|117796.35|37688.98|1.0|1
-20655.29|-552.73|80000.0|23480.46|-1.0|0
-20655.29|-1539.72|80000.0|22493.47|-1.0|0
19344.71|2848.58|120000.0|38837.82|1.0|0
-60655.29|-3391.52|40000.0|8685.62|-1.0|0
-10655.29|1097.96|90000.0|28120.16|1.0|0
-20655.29|-1519.01|80000.0|22514.18|-1.0|0
-26858.94|-714.81|73796.35|21464.1|-1.0|1
-655.29|2430.35|100000.0|32441.56|1.0|0
-655.29|1291.05|100000.0|31302.26|1.0|0
-26858.94|3124.73|73796.35|25303.64|-1.0|1
13141.06|956.34|113796.35|35091.3|1.0|1
-1358.94|960.97|99296.35|30761.86|1.0|1
-30655.29|2045.28|70000.0|23089.46|-1.0|0
19344.71|729.69|120000.0|36718.93|1.0|0
-2858.94|1719.97|97796.35|31072.51|1.0|1
49344.71|-151.13|150000.0|44805.15|1.0|0
-20655.29|1446.99|80000.0|25480.18|-1.0|0
29344.71|125.32|130000.0|39103.57|1.0|0
71641.06|-3308.64|172296.35|48312.05|1.0|1
-57358.94|-4011.16|43296.35|9051.26|-1.0|1
-40655.29|-1858.82|60000.0|16196.34|-1.0|0
-34358.94|-2260.17|66296.35|17676.98|-1.0|1
-20655.29|773.85|80000.0|24807.04|-1.0|0
19344.71|-3698.35|120000.0|32290.89|1.0|0
-10655.29|-3739.18|90000.0|23283.02|-1.0|0
26141.06|4055.41|126796.35|42076.09|1.0|1
26141.06|-2863.23|126796.35|35157.45|1.0|1
-3858.94|95.66|96796.35|29149.3|1.0|1
-20655.29|4226.17|80000.0|28259.36|-1.0|0
-655.29|128.26|100000.0|30139.47|1.0|0
-20655.29|-235.14|80000.0|23798.05|-1.0|0
-40655.29|-385.19|60000.0|17669.97|-1.0|0
-15358.94|-631.75|85296.35|24984.52|-1.0|1
-20655.29|-314.19|80000.0|23719.0|-1.0|0
9344.71|180.05|110000.0|33180.28|1.0|0
-24358.94|-5715.74|76296.35|17210.42|-1.0|1
59141.06|-4404.14|159796.35|43480.28|1.0|1
-39858.94|-2623.94|60796.35|15669.25|-1.0|1
-8858.94|-2268.95|91796.35|25290.18|-1.0|1
-655.29|-4862.05|100000.0|25149.16|1.0|0
-655.29|1084.56|100000.0|31095.77|1.0|0
-23858.94|3879.08|76796.35|26954.69|-1.0|1
-8358.94|1529.34|92296.35|29237.92|1.0|1
39344.71|-837.32|140000.0|41129.95|1.0|0
-8358.94|-742.94|92296.35|26965.64|1.0|1
59344.71|-4651.03|160000.0|43294.26|1.0|0
-655.29|-352.26|100000.0|29658.95|1.0|0
-20655.29|-671.14|80000.0|23362.05|-1.0|0
141.06|1987.01|100796.35|32236.25|1.0|1
-655.29|-1176.17|100000.0|28835.04|1.0|0
-30655.29|2163.48|70000.0|23207.66|-1.0|0
-30655.29|7016.9|70000.0|28061.08|-1.0|0
49344.71|-4315.24|150000.0|40641.04|1.0|0
-655.29|-429.18|100000.0|29582.03|1.0|0
43141.06|-3518.81|143796.35|39583.19|1.0|1
39344.71|1773.14|140000.0|43740.41|1.0|0
7141.06|-2950.25|107796.35|29391.3|1.0|1
-655.29|-1952.94|100000.0|28058.27|1.0|0
-51358.94|700.1|49296.35|15555.93|-1.0|1
-10655.29|-2810.32|90000.0|24211.88|-1.0|0
19344.71|-1640.52|120000.0|34348.72|1.0|0
79344.71|1807.18|180000.0|55730.5|1.0|0
-10655.29|2485.67|90000.0|29507.87|1.0|0
20141.06|3337.25|120796.35|39564.52|1.0|1
26641.06|-3669.15|127296.35|34500.98|1.0|1
29344.71|1336.97|130000.0|40315.22|1.0|0
-655.29|568.31|100000.0|30579.52|1.0|0
9344.71|1624.57|110000.0|34624.8|1.0|0
-655.29|-319.64|100000.0|29691.57|1.0|0
-10655.29|-1627.95|90000.0|25394.25|-1.0|0
19344.71|-3866.04|120000.0|32123.2|1.0|0
34141.06|2534.28|134796.35|42946.17|1.0|1
-20655.29|123.59|80000.0|24156.78|-1.0|0
39344.71|1416.84|140000.0|43384.11|1.0|0
9344.71|1682.66|110000.0|34682.89|1.0|0
-10655.29|2422.56|90000.0|29444.76|1.0|0
-30655.29|-1535.47|70000.0|19508.71|-1.0|0
-15358.94|-2917.92|85296.35|22698.35|-1.0|1
29344.71|-2055.75|130000.0|36922.5|1.0|0
-655.29|700.09|100000.0|30711.3|1.0|0
59344.71|1874.76|160000.0|49820.05|1.0|0
-49858.94|1589.84|50796.35|16894.02|-1.0|1
49344.71|-1765.48|150000.0|43190.8|1.0|0
-655.29|-303.5|100000.0|29707.71|1.0|0
29344.71|-4523.01|130000.0|34455.24|1.0|0
-655.29|-1953.0|100000.0|28058.21|1.0|0
-3858.94|-2253.75|96796.35|26799.89|1.0|1
9344.71|1017.99|110000.0|34018.22|1.0|0
39344.71|769.78|140000.0|42737.05|1.0|0
-30655.29|5120.43|70000.0|26164.61|-1.0|0
-30655.29|-5857.98|70000.0|15186.2|-1.0|0
64641.06|-382.48|165296.35|49145.9|1.0|1
21641.06|1635.78|122296.35|38311.4|1.0|1
27141.06|2580.35|127796.35|40899.93|1.0|1
-29358.94|-8097.17|71296.35|13334.49|-1.0|1
49344.71|879.44|150000.0|45835.72|1.0|0
39344.71|3812.18|140000.0|45779.45|1.0|0
-30655.29|2167.8|70000.0|23211.98|-1.0|0
-10655.29|-2584.18|90000.0|24438.02|-1.0|0
30141.06|-5668.29|130796.35|33547.99|1.0|1
29344.71|-2188.92|130000.0|36789.33|1.0|0
11641.06|-5794.48|112296.35|27892.13|1.0|1
3141.06|-874.13|103796.35|30271.82|1.0|1
-41358.94|-3210.45|59296.35|14634.39|-1.0|1
40141.06|-260.43|140796.35|41944.87|1.0|1
-30655.29|-62.31|70000.0|20981.87|-1.0|0
-25358.94|2217.77|75296.35|24845.03|-1.0|1
39344.71|-1464.45|140000.0|40502.82|1.0|0
-655.29|-2903.8|100000.0|27107.41|1.0|0
-20655.29|1639.5|80000.0|25672.69|-1.0|0
-10655.29|-2229.94|90000.0|24792.26|-1.0|0
-47358.94|230.76|53296.35|16282.19|-1.0|1
9344.71|-2562.16|110000.0|30438.07|1.0|0
9344.71|2949.54|110000.0|35949.77|1.0|0
29344.71|-285.82|130000.0|38692.43|1.0|0
29344.71|1070.38|130000.0|40048.63|1.0|0
23141.06|478.61|123796.35|37602.58|1.0|1
49344.71|2960.24|150000.0|47916.52|1.0|0
79344.71|-1678.33|180000.0|52244.99|1.0|0
-655.29|2362.39|100000.0|32373.6|1.0|0
29344.71|-5155.72|130000.0|33822.53|1.0|0
-42858.94|-4181.23|57796.35|13215.26|-1.0|1
9344.71|-2887.84|110000.0|30112.39|1.0|0
-24358.94|-3787.35|76296.35|19138.81|-1.0|1
-13858.94|1300.76|86796.35|27365.39|-1.0|1
39344.71|-718.02|140000.0|41249.25|1.0|0
-655.29|-1375.34|100000.0|28635.87|1.0|0
-65358.94|176.96|35296.35|10848.17|-1.0|1
-10655.29|-197.53|90000.0|26824.67|-1.0|0
-41358.94|-572.53|59296.35|17272.31|-1.0|1
-20655.29|375.64|80000.0|24408.83|-1.0|0
-15858.94|3042.68|84796.35|28509.5|1.0|1
141.06|5733.34|100796.35|35982.58|1.0|1
19344.71|509.54|120000.0|36498.78|1.0|0
19344.71|145.85|120000.0|36135.09|1.0|0
-10655.29|413.41|90000.0|27435.61|1.0|0
28641.06|-1863.0|129296.35|36904.93|1.0|1
-10655.29|4641.47|90000.0|31663.67|1.0|0
-20655.29|4465.93|80000.0|28499.12|-1.0|0
39344.71|-1095.02|140000.0|40872.25|1.0|0
28641.06|2214.27|129296.35|40982.2|1.0|1
9344.71|-1072.23|110000.0|31928.0|1.0|0
-10655.29|-3038.98|90000.0|23983.22|-1.0|0
-20655.29|-960.23|80000.0|23072.96|-1.0|0
29344.71|-2739.88|130000.0|36238.37|1.0|0
36141.06|1356.91|136796.35|42366.6|1.0|1
29344.71|219.74|130000.0|39197.99|1.0|0
-2858.94|6125.14|97796.35|35477.68|1.0|1
-41358.94|-309.68|59296.35|17535.16|-1.0|1
23141.06|-365.26|123796.35|36758.71|1.0|1
49344.71|-5056.78|150000.0|39899.5|1.0|0
39344.71|-271.5|140000.0|41695.77|1.0|0
-655.29|185.25|100000.0|30196.46|1.0|0
-8358.94|1475.66|92296.35|29184.24|1.0|1
4641.06|2945.11|105296.35|34539.41|1.0|1
-20655.29|1393.56|80000.0|25426.75|-1.0|0
-10655.29|-2565.72|90000.0|24456.48|-1.0|0
79344.71|-2301.84|180000.0|51621.48|1.0|0
29344.71|2287.04|130000.0|41265.29|1.0|0
39344.71|659.14|140000.0|42626.41|1.0|0
29344.71|705.38|130000.0|39683.63|1.0|0
-10655.29|2971.7|90000.0|29993.9|1.0|0
-655.29|831.51|100000.0|30842.72|1.0|0
-50655.29|-811.16|50000.0|14254.99|-1.0|0
19344.71|3569.76|120000.0|39559.0|1.0|0
-30655.29|1488.39|70000.0|22532.57|-1.0|0
19344.71|-614.59|120000.0|35374.65|1.0|0
8641.06|3809.34|109296.35|36599.25|1.0|1
-16858.94|-2449.54|83796.35|22718.38|-1.0|1
-30655.29|-2283.9|70000.0|18760.28|-1.0|0
11641.06|637.99|112296.35|34324.6|1.0|1
19344.71|1471.02|120000.0|37460.26|1.0|0
43141.06|357.18|143796.35|43459.18|1.0|1
5641.06|3112.3|106296.35|35005.5|1.0|1
37141.06|-2744.71|137796.35|38563.88|1.0|1
59344.71|-3846.69|160000.0|44098.6|1.0|0
-10655.29|478.22|90000.0|27500.42|1.0|0
8641.06|-733.86|109296.35|32056.05|1.0|1
28641.06|-1561.54|129296.35|37206.39|1.0|1
-30655.29|-3059.99|70000.0|17984.19|-1.0|0
-50655.29|-1451.14|50000.0|13615.01|-1.0|0
51641.06|1970.14|152296.35|47612.8|1.0|1
-50655.29|-3486.31|50000.0|11579.84|-1.0|0
9344.71|1938.57|110000.0|34938.8|1.0|0
20141.06|-9.78|120796.35|36217.49|1.0|1
-35358.94|2824.8|65296.35|22463.05|-1.0|1
-30655.29|-1304.13|70000.0|19740.05|-1.0|0
-20655.29|1536.49|80000.0|25569.68|-1.0|0
-10655.29|-1888.19|90000.0|25134.01|-1.0|0
-6858.94|-2108.32|93796.35|26048.62|-1.0|1
-30655.29|1558.81|70000.0|22602.99|-1.0|0
49344.71|-767.11|150000.0|44189.17|1.0|0
-40655.29|463.91|60000.0|18519.07|-1.0|0
-655.29|-6145.15|100000.0|23866.06|-1.0|0
65641.06|-277.44|166296.35|49549.84|1.0|1
-655.29|488.57|100000.0|30499.78|1.0|0
8641.06|-491.7|109296.35|32298.21|1.0|1
59344.71|-2787.1|160000.0|45158.19|1.0|0
-30655.29|-3353.5|70000.0|17690.68|-1.0|0
12641.06|2316.68|113296.35|36302.19|1.0|1
59344.71|-2673.77|160000.0|45271.52|1.0|0
-10655.29|-4382.94|90000.0|22639.26|-1.0|0
-50655.29|3603.02|50000.0|18669.17|-1.0|0
29344.71|1394.81|130000.0|40373.06|1.0|0
-20655.29|934.92|80000.0|24968.11|-1.0|0
-30655.29|4109.71|70000.0|25153.89|-1.0|0
-40655.29|-2621.83|60000.0|15433.33|-1.0|0
-5858.94|-3549.21|94796.35|24906.63|-1.0|1
9344.71|-3342.4|110000.0|29657.83|1.0|0
9344.71|3287.78|110000.0|36288.01|1.0|0
49344.71|-4945.69|150000.0|40010.59|1.0|0
-60655.29|521.36|40000.0|12598.5|-1.0|0
-20655.29|-3157.65|80000.0|20875.54|-1.0|0
19344.71|2811.31|120000.0|38800.55|1.0|0
11641.06|-3192.72|112296.35|30493.89|1.0|1
-40655.29|2009.68|60000.0|20064.84|-1.0|0
-42858.94|-141.95|57796.35|17254.54|-1.0|1
9344.71|3616.63|110000.0|36616.86|1.0|0
19344.71|-535.22|120000.0|35454.02|1.0|0
-50655.29|5870.23|50000.0|20936.38|-1.0|0
-2358.94|234.94|98296.35|29736.93|1.0|1
59344.71|-845.59|160000.0|47099.7|1.0|0
-15858.94|-2026.5|84796.35|23440.32|-1.0|1
-43358.94|-742.83|57296.35|16504.21|-1.0|1
-655.29|3971.83|100000.0|33983.04|1.0|0
-11358.94|1703.55|89296.35|28515.43|1.0|1
