LSAT|UGPA|female|male|white|nonwhite|U|org_female|org_male|scf_UGPA|scf_LSAT
42|2.5|0|1|1|0|-1.7298276969019|1|0|2.5941588659005244|35.677030970414584
42|2.7|0|1|1|0|-1.3129727800320201|1|0|2.740168134320737|36.1666190126483
40|3.7|0|1|1|0|0.7486254973400459|1|0|3.462271782553406|38.68850465739865
38|3.5|0|1|1|0|0.372102079528541|1|0|3.3303891861082344|38.215138040591604
38|3.6|0|1|1|0|0.545668869559781|1|0|3.391183383343088|38.43262295959885
36|3.0|0|1|1|0|-0.44892777161699|0|1|3.0428119906248123|37.20292379770038
32|2.7|0|1|1|0|-1.1078887835395101|0|1|2.8120016741945437|36.40994627169167
36|3.3|0|1|1|0|-0.0811075414195914|1|0|3.171646173809079|37.65303619008551
39|3.7|0|1|1|0|0.848002537589196|1|0|3.4970799816589806|38.81441689967835
37|3.8|0|1|1|0|0.9779689618420211|1|0|3.542602540603078|38.97970496941235
40|3.3|0|1|1|0|0.233689988912232|0|1|3.281908414325212|38.042585510401345
45|3.3|0|1|1|0|-0.0202512986663414|1|0|3.1929619245022116|37.72803104725247
37|3.6|0|1|1|0|0.526965910727382|1|0|3.3846324102685297|38.40912815887659
38|3.8|0|1|1|0|1.28920589031541|0|1|3.6516176304885084|39.3783950937924
34|2.9|0|1|1|0|-0.714238357900809|0|1|2.9498832448196377|36.881599508960484
40|3.2|0|1|1|0|-0.258094390266365|1|0|3.1096540531111656|37.43577646271703
41|3.4|0|1|1|0|0.150090170775068|1|0|3.252626408062874|37.9387427673093
38|3.5|0|1|1|0|0.658211654552994|0|1|3.4306030687967723|38.57430381421352
32|2.8|0|1|0|1|-0.623909930731605|1|0|2.755791095422259|32.23829874874565
39|3.6|0|1|1|0|0.6041919758159471|1|0|3.4116819203264206|38.50623301918769
32|2.8|0|1|1|0|-1.17100266764447|1|0|2.789895153022815|36.334889284370625
41|3.1|0|1|1|0|-0.17082373636038697|0|1|3.140221820974014|37.54274819633016
34|3.3|0|1|1|0|0.146196525831268|0|1|3.2512626044306625|37.93391322649076
38|3.6|0|1|1|0|0.871801632941087|0|1|3.5054159478687232|38.84463148928399
35|3.7|0|1|1|0|0.747840709298707|1|0|3.461996899559003|38.68751194612775
40|3.2|0|1|1|0|0.0421459932096584|0|1|3.2148174492172075|37.80508007657875
38|3.4|0|1|1|0|0.15731340750157|1|0|3.255156447813831|37.947703845601254
40|3.4|0|1|1|0|0.457879077335358|0|1|3.360433780018986|38.3224651971273
36|3.7|0|1|1|0|1.05315567696953|0|1|3.568937739796886|39.075646752484666
31|3.4|0|1|0|1|0.6195312880261121|1|0|3.191323783959608|33.57597100915751
28|3.2|0|1|1|0|-0.35524455793603493|1|0|3.0756258472911124|37.31705341532037
39|2.4|0|1|1|0|-1.6886576680954701|0|1|2.608579244654848|35.72508794355875
41|3.9|0|1|1|0|1.23623822121054|1|0|3.633064963114454|39.310257456523416
29|3.5|0|1|1|0|0.584266788498365|0|1|3.404702844620126|38.48115540634161
36|3.1|0|1|1|0|-0.206910078305507|0|1|3.127582074687866|37.49847845928056
36|3.0|0|1|1|0|-0.444684338658285|0|1|3.044298312404445|37.208085806608786
36|2.9|0|1|1|0|-0.6942794181362409|0|1|2.9568741427928464|36.90567544227968
32|3.1|0|1|1|0|-0.25202757604465303|0|1|3.111779039695959|37.443202973558776
32|3.7|0|1|0|1|1.28926925978869|1|0|3.4259088813948755|34.31931770708961
31|3.0|0|1|1|0|-0.744219500942266|1|0|2.9393819298903208|36.845463574163254
35|3.2|0|1|1|0|-0.0363545900192904|0|1|3.1873215213440655|37.708171988100055
33|3.0|0|1|1|0|-0.47467105280408295|0|1|3.033795046117866|37.17162321543743
29|3.1|0|1|0|1|-0.0885169332471737|1|0|2.9433199854902816|32.80760474132936
34|2.7|0|1|1|0|-1.3784999629436498|1|0|2.7172163214684226|36.08921589329565
30|3.0|0|1|1|0|-0.7552367609474699|1|0|2.935522980389535|36.832193492082
34|2.9|0|1|1|0|-0.670130772032672|0|1|2.965332544045245|36.93482631838832
38|2.4|0|1|1|0|-1.98520488736646|1|0|2.504709430996584|35.38037496908185
29|3.4|0|1|1|0|0.0378514437039913|1|0|3.213313223151637|37.79977206954993
32|3.1|0|1|1|0|-0.5913683246278921|1|0|2.9929201935106993|37.030063994191025
38|3.0|0|1|1|0|-0.7235734583393821|1|0|2.946613495248492|36.870344219453585
34|2.6|0|1|1|0|-1.27961505511153|0|1|2.7518521443076547|36.206086128820424
31|3.0|0|1|1|0|-0.7477386142169179|1|0|2.938149311216711|36.84122434894353
35|2.7|0|1|1|0|-1.32233442712448|1|0|2.7368890864125532|36.15555053439965
36|2.6|0|1|1|0|-1.58638201716038|1|0|2.644402722718548|35.84475265713082
37|3.4|0|1|1|0|0.437095919206623|0|1|3.3531541880289852|38.29643295137477
33|3.2|0|1|1|0|-0.29134053485768197|1|0|3.0980091256960813|37.395105325353875
37|2.9|0|1|1|0|-0.9297489229704592|1|0|2.8743976533843125|36.6226331652716
26|2.8|0|1|1|0|-0.8969004227819599|0|1|2.88590330028237|36.661987498233394
38|2.6|0|1|1|0|-1.2798422467251698|0|1|2.7517725672654842|36.20581718196728
41|3.0|0|1|1|0|-0.6764416608300211|1|0|2.963122066924569|36.927205949644254
35|3.2|0|1|1|0|-0.0439395519690729|0|1|3.1846647822713954|37.698821608581994
32|3.5|0|1|1|0|0.5854724596710921|0|1|3.4051251478214586|38.48267238595516
35|3.7|0|1|1|0|0.742424194914192|1|0|3.4600996895929814|38.6806610647273
39|3.1|0|1|1|0|-0.163547798669988|0|1|3.142770319975113|37.55168044683953
40|2.6|0|1|1|0|-1.53200823545904|1|0|2.663447900707731|35.9085342606118
40|3.8|0|1|1|0|1.26220316784545|0|1|3.642159549046654|39.343644032871666
32|3.3|0|1|1|0|0.18653878983223002|0|1|3.265393046977498|37.9839821866934
39|3.3|0|1|1|0|0.204488552827795|0|1|3.2716802026694065|38.006280954364925
39|2.7|0|1|1|0|-1.35728212444379|1|0|2.724648166341659|36.11426103201347
33|3.0|0|1|1|0|-0.47057400796534704|0|1|3.0352300934098126|37.1766029424532
40|3.2|0|1|1|0|0.0093482096893404|0|1|3.203329566541948|37.76456132807573
42|3.3|0|1|0|1|0.761677551780765|0|1|3.2411125021432103|33.732382206445806
36|3.1|0|1|1|0|-0.246983478631472|0|1|3.1135458054058827|37.44937867758327
41|3.7|0|1|1|0|0.7723167483536201|1|0|3.4705699747743974|38.718484707695
36|3.9|0|1|1|0|1.1972444473705801|1|0|3.6194068481183126|39.26017120382234
42|3.5|0|1|1|0|0.40215451457247103|1|0|3.3409154720591325|38.25270643965946
46|3.3|0|1|1|0|0.29292864354235804|0|1|3.302657582140455|38.116340272884294
40|2.2|0|1|1|0|-2.06811252427021|0|1|2.475669870898163|35.28459765056109
41|3.8|0|1|1|0|1.01416848677634|1|0|3.555281930815162|39.025867824227056
41|3.4|0|1|0|1|0.7288154215118771|1|0|3.2296020811187467|33.69615760347534
32|2.8|0|1|0|1|-0.381072212959086|0|1|2.84084840452884|32.49528371136458
36|3.7|0|1|1|0|0.786057574441944|1|0|3.4753828914114626|38.73588365450403
36|2.9|0|1|1|0|-0.6578781323178929|0|1|2.969624202578158|36.9496258142978
48|2.3|0|1|1|0|-2.1031215848480502|1|0|2.463407457487204|35.24423206141251
37|3.1|0|1|1|0|-0.51932334955459|1|0|3.018154954282608|37.11739409670251
34|3.2|0|1|0|1|0.485704249456605|0|1|3.144448990822703|33.429376788615805
47|3.9|0|1|1|0|1.2530332837779299|1|0|3.6389476688216336|39.331849858949084
41|2.8|0|1|1|0|-1.1005798043186599|1|0|2.8145617464540917|36.41864834750644
44|3.4|0|1|1|0|0.423414794501303|0|1|3.348362182636824|38.27930611299333
46|2.5|0|1|1|0|-1.4345243182348701|0|1|2.6975930069799947|36.023169240246716
34|2.8|0|1|0|1|-0.39392745999327294|0|1|2.836345674348957|32.48162833430576
34|3.7|0|1|1|0|1.01089282067162|0|1|3.554134582919807|39.02168833564203
38|3.3|0|1|1|0|0.193860335086978|0|1|3.267957520666277|37.99307607113743
38|3.3|0|1|1|0|0.192347787489862|0|1|3.2674277297026397|37.99119720009874
37|3.7|0|1|1|0|1.0582083215206899|0|1|3.570707499261502|39.08210262579491
40|2.8|0|1|0|1|-0.333278624300775|0|1|2.857588777816448|32.54610241115119
41|3.2|0|1|1|0|0.040383628660272|0|1|3.2142001563699076|37.80290172687042
38|3.4|0|1|0|1|0.9915506590434859|0|1|3.3216287749820594|33.986867369312066
41|3.5|0|1|1|0|0.658473946597405|0|1|3.4306949402560427|38.57463462470986
40|3.5|0|1|1|0|0.658466479116173|0|1|3.4306923246662353|38.57462520646209
41|3.4|0|1|1|0|0.151556445344012|1|0|3.2531399912508143|37.94056164229915
40|3.8|0|1|1|0|1.03896869991637|1|0|3.563968552540609|39.057525445250775
36|3.7|0|1|1|0|0.789436247440602|1|0|3.4765663189129765|38.74016300462925
23|2.8|0|1|0|1|-0.7122356221002181|1|0|2.724853785923121|32.14533226231633
38|3.4|0|1|1|0|0.43130553294565094|0|1|3.351126024205986|38.289183269439306
39|3.4|0|1|1|0|0.194390740480722|1|0|3.268143302578335|37.993734957257004
33|2.9|0|1|1|0|-0.729171538368797|0|1|2.944652689374376|36.86359628657729
38|3.8|0|1|1|0|1.300343275644|0|1|3.655518655564936|39.392737252942595
43|3.8|0|1|1|0|1.3138678154613401|0|1|3.6602558149087137|39.41016049160311
39|3.3|0|1|1|0|-0.0581118705019897|1|0|3.179700729366976|37.681356862874445
35|2.8|0|1|0|1|-0.318441801641624|0|1|2.86278558259066|32.561894494935906
38|3.2|0|1|1|0|-0.28453733561728006|1|0|3.1003920414392057|37.40342431257335
35|3.7|0|1|1|0|0.710429686045164|1|0|3.4488931651059764|38.640218712868176
37|3.4|0|1|1|0|0.123553856411506|1|0|3.243331692587557|37.9058402328841
38|3.0|0|1|1|0|-0.7087728861925731|1|0|2.9517976027734387|36.8881907987564
38|2.8|0|1|1|0|-0.8767308828861908|0|1|2.892967963898831|36.686172682932884
34|3.1|0|1|0|1|-0.0022389475887584303|1|0|2.973540057407263|32.90028376043573
34|3.4|0|1|1|0|0.37558367569578605|0|1|3.3316086638899316|38.21948847626095
29|2.5|0|1|0|1|-1.34709534010223|1|0|2.5024852849804518|31.484957770421005
40|3.2|0|1|1|0|0.0267907917540023|0|1|3.2094390750149304|37.7861046796265
30|2.7|0|1|1|0|-1.11305225859753|0|1|2.8101930947938527|36.40379988802577
33|3.8|0|1|1|0|1.2742546244720903|0|1|3.646380740387436|39.359149822738004
36|2.3|0|1|1|0|-1.9338623693326298|0|1|2.5226928664643995|35.4398176480573
30|2.9|0|1|1|0|-1.00231153282819|1|0|2.8489815837849806|36.535848781466065
27|2.7|0|1|1|0|-1.14661498608443|0|1|2.7984372797890873|36.36387351126117
41|2.4|0|1|1|0|-1.70964410894147|0|1|2.601228450048232|35.700582796675384
33|2.3|0|1|0|1|-1.4401929054622298|0|1|2.4698765598345767|31.38926594649259
33|3.4|0|1|1|0|0.398721369975196|0|1|3.3397129651178856|38.24841281484468
40|3.7|0|1|1|0|0.829281571021975|1|0|3.4905227011232864|38.79066585981161
36|3.1|0|1|1|0|-0.506723060051875|1|0|3.022568382019023|37.132688821552264
36|3.3|0|1|1|0|0.18704241473855604|0|1|3.2655694486490505|37.98460765523679
42|3.4|0|1|1|0|0.172745857079583|1|0|3.2605618792520326|37.96685628714809
40|3.6|0|1|1|0|0.875519928389633|0|1|3.506718332886247|38.84935424523673
37|3.8|0|1|1|0|1.2616927751606202|0|1|3.6419807768659664|39.342987480153916
45|3.6|0|1|1|0|0.9379785778365891|0|1|3.528595348949155|38.928771362581514
23|3.2|0|1|0|1|0.366484908288196|0|1|3.1026907481318227|33.2993229909783
30|2.4|0|1|1|0|-1.78418942215429|0|1|2.5751179108513127|35.61367460746449
38|3.0|0|1|1|0|-0.7110587557229829|1|0|2.950996944980206|36.88543392570064
35|3.0|0|1|1|0|-0.751552218512559|1|0|2.9368135429416675|36.836630922027325
38|3.2|0|1|1|0|-0.0100094068208938|0|1|3.1965492904539476|37.74066709469365
20|2.8|0|1|0|1|-0.72682148518418|1|0|2.7197448832522397|32.13000584303505
29|2.9|0|1|1|0|-0.6843707510785739|0|1|2.9603447920992596|36.917633838795275
45|2.6|0|1|1|0|-1.19431754912449|0|1|2.7817287894981537|36.30720165736865
36|2.8|0|1|1|0|-0.8411225880074119|0|1|2.905440267509837|36.728909347605864
28|2.2|0|1|0|1|-1.7120278182164699|0|1|2.3746625773767227|31.111517241523437
35|3.3|0|1|1|0|0.155290897806265|0|1|3.2544480354885024|37.94519452611534
36|3.1|0|1|1|0|-0.22486680786438898|0|1|3.12129247885966|37.47646908944527
37|3.4|0|1|1|0|0.41492994500793606|0|1|3.3453902453582987|38.26868812661315
36|3.2|0|1|1|0|-0.0391018757138453|0|1|3.1863592460819303|37.70478499741209
30|2.7|0|1|0|1|-0.613125698393016|0|1|2.759568423721645|32.24966800679247
34|2.6|0|1|0|1|-0.7930867497012891|0|1|2.6965345469883277|32.06046810550325
22|3.3|0|1|1|0|-0.20110902563624602|1|0|3.1296139745696427|37.50559150902087
33|3.1|0|1|0|1|0.243665252633954|0|1|3.059671444906725|33.16587077945924
40|3.5|0|1|1|0|0.581823292059294|0|1|3.4038469757961836|38.47808117412628
47|2.8|0|1|1|0|-0.7497929382485259|0|1|2.9374297554748585|36.83874987651105
38|2.5|0|1|1|0|-1.54203123492267|0|1|2.659937204876074|35.896768542766885
34|3.4|0|1|1|0|0.108248083539498|1|0|3.237970631438444|37.886875491185144
35|2.8|0|1|1|0|-0.8388491167395321|0|1|2.9062365826381074|36.73163963175291
38|2.4|0|1|1|0|-1.6955121834018|0|1|2.606178354741476|35.71708231205446
42|3.4|0|1|1|0|0.210675918535841|1|0|3.273847414099378|38.0139704754886
43|3.5|0|1|1|0|0.404343959849836|1|0|3.341682355908301|38.25544489719702
43|3.0|0|1|1|0|-0.37364511450761295|0|1|3.069180794840455|37.29460933195983
41|3.7|0|1|1|0|1.0657759778884|0|1|3.5733581768118636|39.09177397930941
42|3.9|0|1|1|0|1.2131793519766|1|0|3.624988271461814|39.280631362662824
46|3.3|0|1|1|0|0.320126036552147|0|1|3.312183849663253|38.15025011654764
42|3.6|0|1|1|0|0.879226587482097|0|1|3.5080166421072048|38.85406279289074
45|3.4|0|1|0|1|0.74154711182314|1|0|3.234061533827279|33.71018738948118
44|3.4|0|1|1|0|0.476464925455551|0|1|3.3669437334276573|38.34576015821542
41|3.6|0|1|1|0|0.869611034506471|0|1|3.5046486601100892|38.8418493912477
34|2.7|0|1|0|1|-0.604982431550569|0|1|2.7624207168963166|32.258255688418224
39|3.6|0|1|1|0|0.580092488506446|1|0|3.4032407376296097|38.47590374965286
43|3.3|0|1|1|0|-0.0407208143930917|1|0|3.185792190152858|37.7027892316058
42|3.6|0|1|1|0|0.6464162772151459|1|0|3.4264715728106587|38.55943006698725
48|3.7|0|1|1|0|0.857559703754162|1|0|3.5004275128585527|38.82654755500271
33|2.5|0|1|1|0|-1.53042576227968|0|1|2.664002184085142|35.91039223394046
38|3.4|0|1|1|0|0.186539219315336|1|0|3.265393197409966|37.98398272007838
40|3.6|0|1|1|0|0.599534338228694|1|0|3.4100505175789424|38.50036950658124
43|3.4|0|1|1|0|0.45588621637566795|0|1|3.3597357525782336|38.31996824340863
42|3.6|0|1|1|0|0.6105890712952751|1|0|3.413922592543902|38.5142877956135
42|3.5|0|1|1|0|0.369866301542351|1|0|3.329606073579384|38.21234458071001
46|3.1|0|1|0|1|0.0892646614144859|1|0|3.0055904770321398|32.99886218968662
42|3.6|0|1|1|0|0.8991229543145941|0|1|3.5149856230352623|38.879346787534246
45|3.3|0|1|1|0|0.259434130188095|0|1|3.290925660090286|38.07462056226068
43|3.2|0|1|1|0|0.0340875425554857|0|1|3.2119948640994616|37.79512054978102
46|3.3|0|1|1|0|-0.0118901084391395|1|0|3.19589054839218|37.73834644107818
37|3.5|0|1|1|0|0.360237550128567|1|0|3.3262334686445945|38.20031641222207
39|3.9|0|1|1|0|1.2146459183548401|1|0|3.6255019568600444|39.282514945827984
44|3.6|0|1|1|0|0.908741608763403|0|1|3.5183546913667647|38.8915759236562
37|2.5|0|1|0|1|-1.01119429038567|0|1|2.6201393284998797|31.83265057734784
39|3.7|0|1|1|0|1.09743446693758|0|1|3.584447005654449|39.132259017761015
44|3.2|0|1|1|0|0.0632482373573628|0|1|3.2222088055508857|37.83117300606569
42|3.7|0|1|1|0|0.793595032872582|1|0|3.478022991711752|38.74543107646691
40|3.7|0|1|1|0|1.10322468307905|0|1|3.586475109890712|39.139668110130756
46|3.5|0|1|1|0|0.447773621514755|1|0|3.356894202694342|38.30980525253715
37|3.0|0|1|1|0|-0.36102349813920503|0|1|3.0736016926100427|37.31000309709725
39|2.9|0|1|1|0|-0.597892140055546|0|1|2.9906351358579006|37.02216623269096
41|2.9|0|1|1|0|-0.668734102930491|0|1|2.9658217469443398|36.93651300231629
30|2.9|0|1|1|0|-0.68420450469547|0|1|2.960403022221521|36.917834508331794
39|2.9|0|1|1|0|-0.600178847715073|0|1|2.9898341844982155|37.01939833239826
29|3.2|0|1|1|0|-0.38465245167653295|1|0|3.065325320951945|37.281189583123286
35|3.2|0|1|1|0|-0.29956178510663|1|0|3.095129517741923|37.385054806923144
34|3.4|0|1|1|0|0.383949968835146|0|1|3.3345390751462975|38.22994462017538
37|2.5|0|1|1|0|-1.47474993679097|0|1|2.6835034211326483|35.9758221505561
34|2.8|0|1|1|0|-1.1476809531996102|1|0|2.7980639098890365|36.362606149553685
41|2.8|0|1|1|0|-1.0494845964850998|1|0|2.8324585580632147|36.479540456390126
34|2.8|0|1|1|0|-0.907892388686146|0|1|2.8820532103944507|36.64881380510972
38|2.7|0|1|1|0|-1.08360438854778|0|1|2.8205076233947945|36.43886731506124
35|3.5|0|1|1|0|0.364153051538582|1|0|3.3276049278099737|38.20520717218593
46|2.7|0|1|1|0|-1.28123815778508|1|0|2.7512836298813035|36.204164762147485
35|3.2|0|1|1|0|-0.0420560520974332|0|1|3.1853245044605747|37.70114328102493
28|3.3|0|1|1|0|-0.13541244612975|1|0|3.1526251209499745|37.586240604373224
35|2.9|0|1|1|0|-0.919631815531942|1|0|2.8779413118511927|36.63474951957668
32|3.8|0|1|1|0|0.9593613648160809|1|0|3.5360849693357976|38.955997186630555
40|3.3|0|1|1|0|0.193299462056542|0|1|3.267761067038081|37.99237934959926
31|3.9|0|1|1|0|1.16846554953509|1|0|3.6093266363975247|39.22324656628703
35|3.6|0|1|1|0|0.8358586179436021|0|1|3.4928264038518115|38.79900841475019
32|3.1|0|1|1|0|-0.539632516299284|1|0|3.011041384408266|37.09275529380651
29|2.5|0|1|0|1|-1.29157644778082|1|0|2.521931553989868|31.54216255395055
40|3.4|0|1|1|0|0.167781399745928|1|0|3.258823008594507|37.960694092983815
27|3.5|0|1|0|1|1.07279731077786|0|1|3.3500865517798095|34.07727139679079
31|1.9|0|1|0|1|-2.29723125483167|0|1|2.1696868839177648|30.521894755813825
32|2.9|0|1|0|1|-0.11801852524276299|0|1|2.932986640025984|32.77597433721609
31|3.1|0|1|0|1|0.196596885360932|0|1|3.0431850905586173|33.11486955456178
27|2.8|0|1|0|1|-0.690316596688782|1|0|2.732531231325083|32.16837791401527
32|2.1|0|1|0|1|-2.19831818244344|1|0|2.204332571786931|30.620764143014075
31|2.9|0|1|0|1|-0.44891070314278797|1|0|2.8170870239582806|32.423287580584194
31|2.9|0|1|0|1|-0.172604924119126|0|1|2.913866989895722|32.71752941808618
29|2.7|0|1|0|1|-0.630356802279426|0|1|2.753532988440183|32.23150406002654
40|1.7|0|1|1|0|-3.16894116564101|0|1|2.0900892334200663|34.03719452052037
34|3.3|0|1|0|1|0.41755575960882896|1|0|3.1205790285314294|33.35497301426053
30|3.4|0|1|0|1|0.927316212511491|0|1|3.299129761138254|33.91556280140114
35|2.3|0|1|1|0|-1.8884838967931599|0|1|2.5385873115324014|35.49243848790706
35|3.2|0|1|0|1|0.178631335077697|1|0|3.0368924051482624|33.09542355685185
30|2.8|0|1|0|1|-0.386719511767212|0|1|2.838870359088675|32.48928420925801
37|2.7|0|1|1|0|-1.36628005488446|1|0|2.7214965152808936|36.10363792183673
34|1.9|0|1|1|0|-2.8096191374749|0|1|2.2159468024125353|34.439434680799906
36|2.7|0|1|1|0|-1.09350838131192|0|1|2.8170386113251045|36.42706956824094
26|3.6|0|1|0|1|1.0408603961357399|1|0|3.3389002004767967|34.041706197455206
26|2.9|0|1|0|1|-0.475792615124705|1|0|2.8076712580805774|32.39480229593901
26|2.8|0|1|0|1|-0.6668964342982621|1|0|2.740734470962028|32.193020118554145
37|1.9|0|1|0|1|-2.2779304172330095|0|1|2.1764472723973793|30.54116196847123
20|2.7|0|1|0|1|-0.983860211372691|1|0|2.629713472208184|31.861112585149755
32|2.4|0|1|1|0|-1.73354357895567|0|1|2.592857326208296|35.67269667560473
32|2.0|0|1|0|1|-2.08833128381441|0|1|2.2428570222725313|30.731078568511204
23|3.5|0|1|0|1|1.0236559194427801|0|1|3.332874091742482|34.0225625429881
29|2.7|0|1|0|1|-0.8658397616669691|1|0|2.671051786386054|31.984295535549844
39|2.5|0|1|1|0|-1.49914450063979|0|1|2.674958883748414|35.94713913534978
33|3.0|0|1|1|0|-0.7477493076431608|1|0|2.9381455656945175|36.84121146807757
28|2.7|0|1|0|1|-0.93678915768687|1|0|2.64620076750997|31.910185663363333
30|2.5|0|1|1|0|-1.8018074581510801|1|0|2.568946947183166|35.593165658521926
32|3.4|0|1|0|1|0.634544143702062|1|0|3.196582246761494|33.59245615098203
29|2.6|0|1|0|1|-1.10618021761725|1|0|2.5868691781813036|31.733942643320624
30|3.6|0|1|0|1|1.03867477417947|1|0|3.338134655799348|34.03927362911398
36|2.9|0|1|0|1|-0.41480382933239707|1|0|2.8290334338280485|32.45946481319661
24|2.7|0|1|0|1|-0.917339117572648|1|0|2.653013416258714|31.930485013548846
39|3.4|0|1|0|1|0.667562166569933|1|0|3.2081472713504318|33.6287406783493
25|3.6|0|1|0|1|0.977845090321245|1|0|3.3168282077308833|33.97164069360366
32|3.0|0|1|0|1|-0.250296810472751|1|0|2.8866543194206846|32.63452544356167
34|2.9|0|1|0|1|-0.37997001722800605|1|0|2.841234464008621|32.49645477659554
28|3.0|0|1|0|1|-0.269335009177349|1|0|2.879985923889285|32.614217675261706
35|2.7|0|1|0|1|-0.835710793288302|1|0|2.6816048792085097|32.015818654695614
30|3.3|0|1|0|1|0.677904448650146|0|1|3.2117698003868322|33.64011419106222
24|3.6|0|1|0|1|1.01401953921665|1|0|3.3294988147094045|34.01184471611066
39|2.9|0|1|0|1|-0.118663362683123|0|1|2.9327607766881494|32.77528330947577
35|2.8|0|1|1|0|-1.14111345898148|1|0|2.8003642666494737|36.370415151551356
33|2.9|0|1|0|1|-0.398005908351819|1|0|2.8349171407344502|32.477297236331154
29|2.6|0|1|0|1|-0.8396740785430871|0|1|2.680216683082776|32.01167020327982
28|2.4|0|1|0|1|-1.2491023984468401|0|1|2.536808684183427|31.585996536491486
29|2.4|0|1|0|1|-1.5077698479120298|1|0|2.4462067900181155|31.31998812788361
32|3.2|0|1|0|1|0.22245989331198998|1|0|3.05224397104019|33.142883864027844
30|3.4|0|1|0|1|0.606455111907104|1|0|3.1867436702759155|33.56161906582654
40|3.7|0|1|1|0|1.11549043418208|0|1|3.5907713608708507|39.15536785438724
46|4.0|0|1|1|0|1.49693192639839|1|0|3.7243765817036|39.64675572569347
33|3.3|0|1|0|1|0.700440185448368|0|1|3.2196632575827464|33.664910294353916
47|3.7|0|1|1|0|1.11527242214022|0|1|3.590694999102162|39.155088751424415
