LoanApproval|AnnualSalary|AccountBalance|u1|u2
1.0|130000|34447.68062466732|130000|-4552.3193753326805
1.0|110000|31649.57593211924|110000|-1350.4240678807596
-1.0|40000|9384.28604855746|40000|-2615.713951442539
-1.0|80000|22725.923806630166|80000|-1274.0761933698343
-1.0|90000|24340.037362191135|90000|-2659.9626378088633
-1.0|50000|18927.77967460318|50000|3927.7796746031827
-1.0|70000|19786.406222577378|70000|-1213.5937774226234
1.0|100000|27983.43440340888|100000|-2016.5655965911194
-1.0|70000|21213.254107763943|70000|213.254107763942
-1.0|50000|15768.684758417436|50000|768.6847584174357
-1.0|70000|21977.186784297755|70000|977.1867842977559
1.0|120000|33856.92494529623|120000|-2143.075054703771
1.0|110000|28984.753558224947|110000|-4015.2464417750534
-1.0|40000|9683.471270704034|40000|-2316.5287292959665
-1.0|90000|26294.32211216405|90000|-705.6778878359502
1.0|120000|36838.91001409459|120000|838.9100140945898
-1.0|80000|23733.841710015866|80000|-266.1582899841347
1.0|110000|30876.234043403383|110000|-2123.765956596615
-1.0|90000|26264.647718535063|90000|-735.352281464937
-1.0|40000|11607.687814537288|40000|-392.3121854627123
1.0|100000|28748.971184028655|100000|-1251.0288159713461
-1.0|50000|12484.377835592175|50000|-2515.6221644078255
-1.0|70000|21063.602861479736|70000|63.6028614797352
1.0|150000|43808.830877841494|150000|-1191.1691221585081
1.0|120000|38658.98318040516|120000|2658.9831804051555
1.0|120000|34996.478097025356|120000|-1003.5219029746418
1.0|170000|52088.462931465496|170000|1088.4629314654953
-1.0|70000|20735.955538818678|70000|-264.0444611813232
-1.0|70000|22437.181287962798|70000|1437.181287962799
1.0|130000|39566.378294212096|130000|566.3782942120963
-1.0|60000|19683.631683984953|60000|1683.6316839849521
1.0|150000|44970.04828042808|150000|-29.951719571924095
1.0|120000|37259.90009927961|120000|1259.9000992796039
-1.0|80000|23173.06408134777|80000|-826.93591865223
-1.0|80000|22551.35566695203|80000|-1448.6443330479692
1.0|120000|33437.14745824991|120000|-2562.8525417500937
-1.0|50000|16379.020534584015|50000|1379.020534584015
1.0|140000|37983.76843723124|140000|-4016.231562768759
1.0|90000|30080.37326521758|90000|3080.3732652175795
1.0|150000|43340.10897746519|150000|-1659.8910225348095
1.0|100000|29095.655700365918|100000|-904.3442996340835
1.0|130000|38605.58362620665|130000|-394.41637379335185
-1.0|70000|21320.19593714259|70000|320.1959371425905
1.0|110000|33829.41525940508|110000|829.4152594050805
-1.0|90000|26311.999656941567|90000|-688.0003430584334
1.0|160000|44203.73415127999|160000|-3796.26584872001
1.0|90000|27906.49115100089|90000|906.4911510008895
1.0|140000|40865.490135672924|140000|-1134.5098643270733
1.0|120000|38176.74501287875|120000|2176.7450128787546
1.0|140000|41709.191461341965|140000|-290.8085386580385
1.0|140000|43007.921375562015|140000|1007.9213755620133
1.0|100000|34417.611606750754|100000|4417.61160675075
-1.0|80000|26271.749092276754|80000|2271.7490922767533
-1.0|80000|21169.378490662086|80000|-2830.621509337915
-1.0|30000|14030.624403748867|30000|5030.624403748867
1.0|120000|37408.221648666164|120000|1408.2216486661648
1.0|110000|34136.76394230119|110000|1136.7639423011938
-1.0|50000|12686.476219279337|50000|-2313.523780720663
-1.0|70000|18415.90320769469|70000|-2584.0967923053117
1.0|130000|39301.35948092098|130000|301.3594809209798
1.0|140000|40635.63414180429|140000|-1364.365858195714
1.0|100000|27665.66906663841|100000|-2334.330933361592
1.0|160000|53962.158254932234|160000|5962.158254932236
1.0|130000|44126.5824481618|130000|5126.582448161797
1.0|110000|33274.99756857137|110000|274.9975685713698
-1.0|80000|24676.228068580716|80000|676.2280685807161
1.0|150000|43155.491550109284|150000|-1844.5084498907154
1.0|130000|38769.07845250469|130000|-230.92154749531215
1.0|110000|33663.72677599011|110000|663.7267759901086
1.0|100000|29960.78100424623|100000|-39.21899575377176
1.0|100000|27967.52959840712|100000|-2032.470401592881
1.0|130000|40081.79525847717|130000|1081.7952584771706
1.0|120000|36214.41606713464|120000|214.41606713464196
1.0|170000|51687.99107567262|170000|687.9910756726189
1.0|130000|37313.77075854575|130000|-1686.2292414542503
-1.0|80000|21099.76029328637|80000|-2900.239706713629
1.0|150000|45592.52089201029|150000|592.5208920102916
1.0|130000|42683.596491966906|130000|3683.5964919669045
1.0|120000|30914.244845312536|120000|-5085.755154687464
1.0|120000|35921.74925839941|120000|-78.25074160059266
1.0|100000|31962.216091075406|100000|1962.2160910754073
-1.0|90000|26295.262750506063|90000|-704.7372494939375
1.0|140000|40954.80243636135|140000|-1045.1975636386508
-1.0|60000|17900.966591815002|60000|-99.03340818499743
-1.0|80000|24279.690648719767|80000|279.69064871976616
1.0|190000|57340.074144752754|190000|340.0741447527565
-1.0|80000|22352.898584926992|80000|-1647.1014150730093
1.0|100000|31273.512067478132|100000|1273.5120674781306
-1.0|80000|28198.06100935937|80000|4198.061009359371
-1.0|60000|17597.088463074357|60000|-402.9115369256442
-1.0|80000|23579.95403274361|80000|-420.0459672563888
1.0|110000|33905.797701916264|110000|905.7977019162631
1.0|90000|29156.990835473676|90000|2156.9908354736776
1.0|110000|31645.69617073029|110000|-1354.303829269711
1.0|140000|44851.23478332636|140000|2851.2347833263625
-1.0|80000|27383.237086155666|80000|3383.237086155666
-1.0|80000|21900.453579369932|80000|-2099.546420630069
1.0|120000|33804.757130562306|120000|-2195.242869437697
1.0|100000|34306.484576546005|100000|4306.484576546007
1.0|90000|31979.563365866907|90000|4979.563365866907
1.0|90000|27121.435837787238|90000|121.43583778723792
-1.0|40000|10963.992049288336|40000|-1036.0079507116634
1.0|110000|30693.406550649106|110000|-2306.5934493508926
1.0|110000|33711.16843786597|110000|711.1684378659704
1.0|100000|25791.35825061935|100000|-4208.641749380649
-1.0|60000|18800.74296394854|60000|800.7429639485404
1.0|110000|34455.55439219754|110000|1455.5543921975375
1.0|90000|27900.018568490857|90000|900.0185684908572
1.0|120000|33209.45141800643|120000|-2790.5485819935743
1.0|90000|27145.701944116743|90000|145.70194411674476
-1.0|60000|19758.902223730987|60000|1758.9022237309878
1.0|90000|29068.599888919554|90000|2068.5998889195557
1.0|100000|30666.36146021796|100000|666.3614602179603
-1.0|60000|19414.83929968932|60000|1414.8392996893185
-1.0|80000|23905.51864721934|80000|-94.48135278065784
-1.0|60000|21299.33321442499|60000|3299.3332144249907
-1.0|70000|20849.34659749754|70000|-150.6534025024577
1.0|100000|30561.47186208396|100000|561.4718620839589
-1.0|80000|23691.403680826195|80000|-308.5963191738038
1.0|110000|35127.31908110751|110000|2127.3190811075106
-1.0|40000|14378.826988082272|40000|2378.826988082272
-1.0|70000|20134.633955610178|70000|-865.3660443898242
1.0|100000|33047.5405045901|100000|3047.540504590098
1.0|120000|38020.53815833052|120000|2020.5381583305182
1.0|110000|38867.815505333354|110000|5867.815505333351
1.0|110000|34984.939317191885|110000|1984.9393171918841
1.0|100000|31770.12577678529|100000|1770.125776785292
1.0|130000|35111.56723551648|130000|-3888.4327644835203
1.0|170000|52514.67439219043|170000|1514.6743921904235
1.0|130000|40279.24823810364|130000|1279.2482381036368
-1.0|60000|16763.610391507005|60000|-1236.3896084929956
1.0|200000|60457.81977557415|200000|457.8197755741482
1.0|150000|45991.64910199878|150000|991.6491019987805
1.0|100000|29383.72499091371|100000|-616.2750090862907
1.0|100000|29496.278114671797|100000|-503.7218853282036
1.0|140000|41758.856446755126|140000|-241.14355324487758
1.0|110000|36132.901467903466|110000|3132.9014679034667
-1.0|80000|27081.05436336948|80000|3081.054363369481
1.0|110000|31482.75447517586|110000|-1517.2455248241367
1.0|120000|34380.706948051506|120000|-1619.2930519484944
-1.0|80000|21520.47197530327|80000|-2479.5280246967304
1.0|120000|31835.158882792075|120000|-4164.841117207925
1.0|140000|41872.14410355106|140000|-127.85589644894475
1.0|100000|30826.839724780548|100000|826.8397247805465
1.0|100000|28755.678681415986|100000|-1244.3213185840148
-1.0|70000|20015.628768165756|70000|-984.3712318342447
1.0|130000|36254.135095490725|130000|-2745.864904509273
-1.0|40000|6670.84990995612|40000|-5329.15009004388
1.0|150000|46973.08052109422|150000|1973.0805210942174
1.0|120000|36010.320993355526|120000|10.320993355525836
1.0|90000|27688.40509026305|90000|688.4050902630531
-1.0|70000|24758.669604061113|70000|3758.669604061115
1.0|130000|41942.768970039186|130000|2942.768970039187
-1.0|70000|22810.103577054724|70000|1810.1035770547228
1.0|140000|38673.75959094473|140000|-3326.2404090552736
1.0|110000|34392.34795218086|110000|1392.3479521808592
1.0|140000|43221.2305624736|140000|1221.2305624735998
-1.0|90000|24670.962518783865|90000|-2329.0374812161367
-1.0|80000|24105.259220955137|80000|105.25922095513809
-1.0|50000|12697.922483527043|50000|-2302.0775164729566
1.0|100000|28710.66457290083|100000|-1289.3354270991683
-1.0|50000|12224.503448555643|50000|-2775.496551444357
1.0|110000|32199.622948454147|110000|-800.3770515458532
1.0|160000|46472.98603406995|160000|-1527.0139659300476
1.0|100000|28309.16999687881|100000|-1690.8300031211918
-1.0|80000|24729.443369635184|80000|729.443369635185
1.0|100000|29967.999578495037|100000|-32.000421504962674
1.0|120000|35776.7910199645|120000|-223.20898003550408
-1.0|70000|21414.700247784513|70000|414.70024778451227
1.0|100000|26616.25945343655|100000|-3383.74054656345
-1.0|80000|27932.337848821157|80000|3932.3378488211556
1.0|100000|29206.68457915048|100000|-793.3154208495228
1.0|90000|29554.94460832939|90000|2554.944608329392
-1.0|70000|20344.189930733144|70000|-655.8100692668556
-1.0|90000|23539.761950383363|90000|-3460.2380496166384
1.0|110000|30690.62966818359|110000|-2309.370331816412
-1.0|80000|20255.282047107343|80000|-3744.7179528926567
1.0|210000|65415.864962512554|210000|2415.864962512554
-1.0|60000|22331.67706904817|60000|4331.677069048171
1.0|110000|38392.04380726152|110000|5392.04380726152
1.0|120000|33685.07991801254|120000|-2314.9200819874577
1.0|180000|52898.49192242438|180000|-1101.5080775756226
1.0|130000|42341.30877838013|130000|3341.3087783801275
1.0|100000|27400.217511080762|100000|-2599.7824889192393
1.0|90000|27228.995240794076|90000|228.9952407940778
1.0|90000|28784.48274047404|90000|1784.4827404740377
-1.0|50000|20472.1092555088|50000|5472.1092555088
1.0|120000|31574.310859483245|120000|-4425.6891405167535
1.0|120000|35175.63911879616|120000|-824.3608812038361
1.0|110000|33288.164816429846|110000|288.1648164298483
1.0|100000|28799.4902939883|100000|-1200.5097060117
1.0|100000|29083.09825133538|100000|-916.9017486646194
-1.0|60000|16454.380168443953|60000|-1545.6198315560466
-1.0|80000|25694.095469676362|80000|1694.0954696763633
-1.0|70000|19742.12866088244|70000|-1257.8713391175602
1.0|90000|28179.832787178882|90000|1179.832787178883
1.0|100000|28037.545069858188|100000|-1962.4549301418128
-1.0|80000|24337.597300108813|80000|337.597300108813
1.0|90000|27301.685467035335|90000|301.68546703533525
1.0|110000|32758.75566198576|110000|-241.24433801424007
1.0|120000|35632.224690453804|120000|-367.775309546196
-1.0|30000|10364.886637090329|30000|1364.8866370903295
-1.0|90000|25261.97555453425|90000|-1738.0244454657523
1.0|110000|33320.30794505217|110000|320.3079450521661
-1.0|70000|22319.941400721025|70000|1319.941400721024
-1.0|70000|22777.575011864137|70000|1777.5750118641363
1.0|230000|65844.7244692052|230000|-3155.2755307947978
-1.0|60000|16297.904341413008|60000|-1702.0956585869912
-1.0|80000|26212.593635332483|80000|2212.5936353324846
-1.0|60000|20777.07482884402|60000|2777.074828844019
1.0|90000|29864.331703128|90000|2864.331703127999
-1.0|50000|12056.942246801806|50000|-2943.057753198194
1.0|140000|42780.1389962648|140000|780.1389962647992
-1.0|60000|15891.95130017675|60000|-2108.04869982325
1.0|130000|40719.118931945195|130000|1719.1189319451921
1.0|130000|42007.967870183515|130000|3007.967870183513
1.0|120000|37101.08810967485|120000|1101.0881096748503
1.0|100000|30036.71747522828|100000|36.71747522828099
1.0|90000|28176.38826216317|90000|1176.388262163171
1.0|100000|29764.64720775055|100000|-235.3527922494494
-1.0|60000|21422.249148073013|60000|3422.2491480730146
1.0|90000|27229.45232055912|90000|229.4523205591217
1.0|110000|36442.583822152345|110000|3442.5838221523427
-1.0|80000|26254.883233630877|80000|2254.8832336308774
-1.0|80000|24077.01589197201|80000|77.0158919720097
1.0|120000|34373.30968710994|120000|-1626.690312890059
-1.0|60000|19575.37932720612|60000|1575.3793272061187
-1.0|90000|23044.897400629237|90000|-3955.1025993707613
-1.0|70000|20184.878417175798|70000|-815.1215828242022
1.0|120000|36384.2578626213|120000|384.2578626213024
1.0|130000|39143.04618939556|130000|143.04618939555633
1.0|110000|32801.944277256196|110000|-198.05572274380734
-1.0|90000|24357.92220150979|90000|-2642.0777984902084
1.0|150000|44488.29420002578|150000|-511.70579997421515
-1.0|60000|16661.252181932432|60000|-1338.7478180675669
1.0|120000|35693.06274240517|120000|-306.93725759483254
-1.0|50000|12805.524892467603|50000|-2194.475107532396
-1.0|70000|20696.99291882245|70000|-303.0070811775524
-1.0|80000|24008.54039595771|80000|8.540395957707831
1.0|130000|37287.33476247024|130000|-1712.6652375297654
-1.0|80000|20695.713831009438|80000|-3304.286168990562
-1.0|50000|11273.726243346266|50000|-3726.273756653735
1.0|160000|46270.97465670832|160000|-1729.0253432916804
-1.0|70000|18593.85627068503|70000|-2406.143729314967
1.0|120000|41780.044727884415|120000|5780.044727884414
-1.0|80000|18780.07490530829|80000|-5219.925094691708
-1.0|80000|26467.66805741491|80000|2467.6680574149113
1.0|120000|36139.961191463|120000|139.96119146300205
-1.0|40000|9938.618368756084|40000|-2061.3816312439167
-1.0|90000|24388.242409840506|90000|-2611.757590159495
-1.0|80000|23177.903728389632|80000|-822.0962716103668
-1.0|70000|19104.62758052015|70000|-1895.3724194798506
1.0|100000|27509.05204123265|100000|-2490.947958767348
1.0|100000|32721.89165740352|100000|2721.8916574035197
-1.0|70000|19091.908020189894|70000|-1908.0919798101042
1.0|110000|31568.306573500326|110000|-1431.6934264996744
1.0|100000|30928.525385683915|100000|928.5253856839171
-1.0|70000|17892.59891918884|70000|-3107.40108081116
1.0|120000|38041.60363557501|120000|2041.6036355750146
1.0|100000|30567.843769343028|100000|567.8437693430278
1.0|150000|45000.19822839359|150000|0.19822839358997144
-1.0|80000|26583.202007628286|80000|2583.2020076282847
1.0|130000|40065.588474740616|130000|1065.5884747406164
1.0|170000|54586.81643886745|170000|3586.81643886745
-1.0|50000|13449.73500294219|50000|-1550.2649970578095
-1.0|60000|16752.944489364447|60000|-1247.0555106355519
-1.0|70000|23383.09464521717|70000|2383.0946452171693
-1.0|80000|19869.118086300317|80000|-4130.8819136996835
1.0|120000|33847.67018074413|120000|-2152.3298192558736
-1.0|90000|25679.050468318892|90000|-1320.9495316811065
1.0|120000|38431.54002614487|120000|2431.5400261448667
1.0|120000|35430.75493824592|120000|-569.2450617540806
1.0|90000|29328.130009747496|90000|2328.1300097474978
-1.0|80000|24552.12411281408|80000|552.1241128140779
1.0|100000|31917.33826002783|100000|1917.3382600278308
-1.0|80000|24474.83077931185|80000|474.8307793118515
-1.0|60000|18707.05476360356|60000|707.0547636035589
-1.0|80000|21371.40742244083|80000|-2628.592577559172
-1.0|80000|22499.36718868555|80000|-1500.6328113144498
1.0|110000|35562.35454454098|110000|2562.3545445409814
-1.0|80000|23596.991488187916|80000|-403.0085118120835
1.0|150000|44770.9366762132|150000|-229.06332378679923
-1.0|60000|19461.283773910247|60000|1461.2837739102486
1.0|100000|29791.031543827863|100000|-208.96845617213518
1.0|100000|26755.445888299048|100000|-3244.554111700953
1.0|100000|28347.969769953263|100000|-1652.0302300467363
-1.0|70000|21863.452972201365|70000|863.4529722013652
-1.0|90000|23434.58225959612|90000|-3565.4177404038796
1.0|140000|47523.5699534739|140000|5523.569953473901
1.0|90000|28172.40389527074|90000|1172.4038952707415
1.0|160000|45719.31499745391|160000|-2280.685002546087
1.0|100000|30317.539227087993|100000|317.53922708799314
-1.0|80000|26895.50331500691|80000|2895.50331500691
1.0|100000|35123.26292835766|100000|5123.262928357661
1.0|100000|28377.066936104482|100000|-1622.933063895518
-1.0|70000|19943.421682514476|70000|-1056.5783174855223
-1.0|70000|22102.998317326055|70000|1102.9983173260548
1.0|150000|47467.030522435045|150000|2467.0305224350445
1.0|100000|27794.517536194162|100000|-2205.482463805837
1.0|140000|44649.752113150564|140000|2649.752113150562
1.0|140000|40604.26269132891|140000|-1395.7373086710852
1.0|110000|29631.849299850408|110000|-3368.1507001495925
1.0|100000|36013.87754879765|100000|6013.877548797654
-1.0|50000|10924.196344490681|50000|-4075.803655509318
-1.0|90000|26865.499600518455|90000|-134.50039948154358
1.0|120000|35361.16123772612|120000|-638.8387622738805
1.0|180000|51247.715708912736|180000|-2752.284291087266
-1.0|90000|25703.044041300436|90000|-1296.9559586995647
1.0|120000|34496.38843542748|120000|-1503.6115645725245
1.0|140000|41767.53521585369|140000|-232.46478414631076
1.0|130000|39338.36432379045|130000|338.36432379044487
1.0|100000|30669.701106488144|100000|669.7011064881463
1.0|110000|28888.1590788137|110000|-4111.840921186299
1.0|100000|30248.900151049722|100000|248.9001510497212
1.0|90000|29199.749710046257|90000|2199.7497100462583
1.0|120000|36592.980065185424|120000|592.9800651854256
1.0|140000|43381.782377728014|140000|1381.7823777280114
-1.0|80000|23606.42168920221|80000|-393.57831079779305
1.0|140000|41404.390728145125|140000|-595.6092718548789
1.0|110000|29854.8124840324|110000|-3145.1875159675997
1.0|90000|30327.821864642276|90000|3327.8218646422765
-1.0|70000|19646.316513243128|70000|-1353.683486756874
-1.0|80000|22323.044751609392|80000|-1676.955248390607
1.0|130000|39876.847541487725|130000|876.8475414877265
1.0|100000|29035.135768698932|100000|-964.8642313010672
1.0|160000|50137.66485588747|160000|2137.664855887472
-1.0|50000|15804.346302253954|50000|804.3463022539552
1.0|150000|44048.46974993604|150000|-951.530250063956
1.0|100000|31254.37003958161|100000|1254.3700395816093
1.0|130000|32207.66386319104|130000|-6792.336136808962
1.0|100000|28730.191045693955|100000|-1269.8089543060435
1.0|90000|31272.54290552276|90000|4272.542905522762
1.0|110000|36751.88126349236|110000|3751.881263492361
1.0|140000|43288.03612571974|140000|1288.0361257197342
-1.0|70000|18896.377942744508|70000|-2103.6220572554935
-1.0|70000|20664.654118244373|70000|-335.3458817556276
1.0|160000|47434.8258640553|160000|-565.1741359446955
1.0|120000|36260.08104666023|120000|260.0810466602281
1.0|130000|34941.15693328585|130000|-4058.8430667141547
-1.0|60000|22730.841896663023|60000|4730.841896663023
1.0|150000|41837.86888938944|150000|-3162.1311106105563
1.0|140000|43833.61924548814|140000|1833.6192454881418
-1.0|70000|20971.035867788018|70000|-28.964132211982
1.0|90000|27971.12251492847|90000|971.1225149284687
1.0|130000|38561.82083166236|130000|-438.1791683376426
1.0|130000|35962.47119679963|130000|-3037.5288032003646
1.0|110000|29828.857885784157|110000|-3171.142114215843
1.0|100000|26138.98157038257|100000|-3861.0184296174307
-1.0|60000|16572.48188257325|60000|-1427.5181174267498
1.0|140000|44906.444411030636|140000|2906.444411030632
-1.0|70000|23559.994458179153|70000|2559.994458179152
-1.0|70000|18468.14433429363|70000|-2531.8556657063723
1.0|140000|43880.54593915282|140000|1880.545939152817
1.0|100000|29942.83913087469|100000|-57.160869125309304
-1.0|80000|21624.652693257998|80000|-2375.347306742003
-1.0|90000|26985.976945416773|90000|-14.023054583228076
-1.0|60000|17200.76767992271|60000|-799.2323200772901
1.0|110000|34501.51814171456|110000|1501.5181417145543
1.0|110000|36690.414590527966|110000|3690.4145905279634
1.0|130000|41861.932120665326|130000|2861.932120665326
1.0|130000|39277.2233576608|130000|277.2233576607945
1.0|120000|32854.0465517914|120000|-3145.953448208605
1.0|150000|41232.871999802424|150000|-3767.1280001975756
1.0|180000|53391.490285862244|180000|-608.509714137759
1.0|100000|31174.090997913612|100000|1174.090997913612
1.0|130000|36880.56329461858|130000|-2119.436705381422
-1.0|60000|16850.068544064405|60000|-1149.9314559355937
1.0|110000|36435.09340902624|110000|3435.093409026237
-1.0|80000|24059.19761432674|80000|59.19761432673896
-1.0|80000|21921.738623788784|80000|-2078.2613762112155
1.0|140000|45566.72742754505|140000|3566.7274275450495
1.0|100000|29788.769287792395|100000|-211.2307122076059
-1.0|30000|11949.123277403001|30000|2949.1232774030013
1.0|90000|28921.90289690908|90000|1921.9028969090796
-1.0|60000|19836.65141721841|60000|1836.6514172184122
-1.0|80000|22301.139741267973|80000|-1698.8602587320277
-1.0|90000|23395.824987706357|90000|-3604.175012293641
1.0|100000|30871.745173858068|100000|871.7451738580681
1.0|120000|36288.22797637285|120000|288.22797637285356
1.0|120000|35694.092038312156|120000|-305.90796168784374
1.0|90000|28107.10430497428|90000|1107.10430497428
1.0|130000|38078.548042657036|130000|-921.4519573429625
1.0|90000|27550.40651552091|90000|550.4065155209094
-1.0|80000|22697.182294370967|80000|-1302.8177056290338
1.0|140000|46410.541514241224|140000|4410.54151424122
1.0|130000|42321.19156408183|130000|3321.1915640818324
1.0|110000|32844.222548478996|110000|-155.7774515210029
-1.0|90000|26910.00433284399|90000|-89.99566715601092
-1.0|80000|24774.35036502193|80000|774.3503650219308
1.0|130000|35802.92868570721|130000|-3197.0713142927902
1.0|130000|36374.49223752134|130000|-2625.5077624786577
1.0|130000|37915.37601976649|130000|-1084.6239802335078
1.0|100000|27858.891488928748|100000|-2141.10851107125
-1.0|60000|18396.99955190615|60000|396.99955190615015
1.0|120000|34130.28989495677|120000|-1869.7101050432348
1.0|150000|46285.065525688566|150000|1285.065525688567
1.0|140000|40361.68853246714|140000|-1638.311467532861
1.0|100000|31604.4707440768|100000|1604.4707440768013
1.0|90000|27900.23726731296|90000|900.2372673129595
1.0|100000|33995.90866887682|100000|3995.9086688768202
-1.0|80000|18694.71451959334|80000|-5305.285480406659
1.0|90000|30607.512562554202|90000|3607.5125625542014
1.0|180000|51858.94542885046|180000|-2141.0545711495406
1.0|130000|37437.053994700604|130000|-1562.9460052993973
1.0|140000|35396.2206919162|140000|-6603.779308083802
1.0|130000|38455.85429585415|130000|-544.1457041458463
1.0|90000|27160.17002044408|90000|160.17002044407687
1.0|100000|30335.70437689543|100000|335.704376895432
-1.0|50000|15474.70860152637|50000|474.70860152636976
1.0|120000|35737.12366600429|120000|-262.8763339957083
-1.0|70000|21939.17218959296|70000|939.1721895929594
1.0|120000|36214.40254659648|120000|214.40254659647945
1.0|110000|36450.76767643585|110000|3450.76767643585
-1.0|80000|28813.38465425525|80000|4813.384654255248
-1.0|70000|21786.61666015263|70000|786.6166601526322
1.0|110000|31360.009903804967|110000|-1639.9900961950325
1.0|120000|33401.93235031196|120000|-2598.0676496880437
1.0|140000|43117.98985720039|140000|1117.9898572003854
1.0|110000|33472.84369188088|110000|472.84369188088294
1.0|140000|45801.107860603275|140000|3801.107860603274
1.0|160000|52039.7992978549|160000|4039.7992978548973
1.0|90000|29620.48011003225|90000|2620.4801100322493
1.0|110000|27218.80273051274|110000|-5781.197269487259
1.0|130000|36806.522105661075|130000|-2193.477894338927
-1.0|70000|20038.889095520757|70000|-961.1109044792446
-1.0|50000|16573.623845846367|50000|1573.623845846366
1.0|150000|49530.257372109|150000|4530.257372109003
-1.0|50000|15381.159491511944|50000|381.1594915119437
1.0|110000|34198.02687294315|110000|1198.0268729431507
1.0|120000|36875.04446360522|120000|875.0444636052199
-1.0|60000|17989.22728823191|60000|-10.772711768093217
-1.0|70000|20383.456967493985|70000|-616.5430325060134
-1.0|80000|25477.029122323107|80000|1477.0291223231084
-1.0|90000|24297.62733743106|90000|-2702.372662568941
1.0|90000|28361.602554951583|90000|1361.6025549515816
-1.0|70000|15916.303958058354|70000|-5083.696041941646
1.0|150000|46570.20817406494|150000|1570.2081740649382
-1.0|60000|20280.092782531257|60000|2280.092782531256
1.0|100000|27863.354124247446|100000|-2136.645875752555
1.0|170000|53873.2194290794|170000|2873.2194290793996
1.0|100000|26016.934245403943|100000|-3983.0657545960553
1.0|110000|32220.72940243015|110000|-779.2705975698517
1.0|160000|46332.144094129224|160000|-1667.8559058707767
-1.0|70000|26494.442032832758|70000|5494.442032832757
1.0|120000|33857.62232783073|120000|-2142.377672169272
1.0|160000|49066.83912445107|160000|1066.8391244510683
1.0|90000|27295.348587887474|90000|295.34858788747306
-1.0|50000|12140.36602410454|50000|-2859.6339758954596
1.0|130000|43604.900999570375|130000|4604.900999570373
-1.0|80000|22192.808696927663|80000|-1807.191303072337
-1.0|70000|22890.63179104353|70000|1890.631791043529
-1.0|60000|16303.954010779787|60000|-1696.045989220212
1.0|100000|31953.839018484043|100000|1953.839018484042
1.0|110000|32265.64315945754|110000|-734.3568405424579
1.0|110000|31506.214250910256|110000|-1493.7857490897436
1.0|150000|43962.101817864896|150000|-1037.8981821351028
-1.0|40000|13749.119404434487|40000|1749.1194044344863
-1.0|80000|22934.069721287746|80000|-1065.9302787122542
1.0|120000|33570.365424195064|120000|-2429.6345758049365
1.0|110000|32216.999674368846|110000|-783.0003256311551
-1.0|60000|14053.605455579818|60000|-3946.3945444201827
-1.0|60000|21986.166311858073|60000|3986.1663118580727
1.0|110000|36585.086973719626|110000|3585.0869737196276
1.0|120000|35239.933826915796|120000|-760.0661730842018
-1.0|50000|17273.80565594654|50000|2273.80565594654
-1.0|90000|26058.006030400094|90000|-941.9939695999057
1.0|160000|46251.54055816686|160000|-1748.459441833139
-1.0|90000|25022.997194553922|90000|-1977.0028054460793
