race|sex|LSAT|UGPA|ZFYA|race_nonwhite|race_simpler
Asian|Female|27.0|2.9|-0.77|NonWhite|Asian
White|Male|29.0|3.3|-0.98|White|White
White|Female|33.0|3.3|1.27|White|White
White|Male|32.0|2.9|-0.62|White|White
White|Male|39.0|2.3|0.51|White|White
Asian|Male|23.0|3.7|-0.17|NonWhite|Asian
White|Female|39.0|3.4|-0.56|White|White
White|Female|39.0|3.0|-0.42|White|White
White|Female|32.0|3.8|-0.08|White|White
White|Male|29.0|3.3|-1.19|White|White
White|Male|31.0|3.0|-1.07|White|White
White|Female|36.0|3.3|-0.49|White|White
Black|Male|27.0|2.4|-1.66|NonWhite|Black
White|Male|30.0|3.5|1.39|White|White
White|Male|38.0|3.5|2.78|White|White
White|Female|34.0|2.8|-0.63|White|White
White|Male|37.0|3.7|1.32|White|White
Hispanic|Female|36.0|2.7|-1.28|NonWhite|Latino
White|Male|43.0|3.0|0.1|White|White
White|Male|42.0|2.9|-0.62|White|White
White|Male|33.5|3.4|0.69|White|White
White|Male|25.0|2.9|-0.9|White|White
White|Female|38.0|3.4|1.23|White|White
White|Male|42.0|3.6|0.7|White|White
White|Male|37.0|3.5|-1.64|White|White
White|Male|29.5|3.5|-0.24|White|White
White|Male|41.0|3.1|-0.05|White|White
White|Female|38.0|3.6|-1.0|White|White
White|Female|42.0|3.2|-0.22|White|White
White|Female|35.5|3.3|2.26|White|White
White|Female|36.0|3.6|-0.85|White|White
White|Female|39.0|3.5|-0.71|White|White
White|Male|28.0|2.9|-1.96|White|White
White|Female|42.0|3.3|-1.13|White|White
White|Female|43.0|3.5|0.74|White|White
White|Male|43.0|3.1|0.29|White|White
White|Male|35.0|3.2|-0.66|White|White
White|Male|40.0|3.7|-0.43|White|White
White|Female|42.0|2.5|-0.41|White|White
White|Female|42.0|2.7|-0.02|White|White
White|Female|40.0|3.7|0.21|White|White
White|Female|38.0|3.5|1.61|White|White
White|Male|40.0|3.3|-0.96|White|White
White|Female|39.0|3.5|0.98|White|White
White|Female|36.0|3.6|-0.58|White|White
White|Female|38.0|3.6|-0.28|White|White
White|Male|36.0|3.0|-1.19|White|White
White|Male|39.0|3.2|-1.34|White|White
White|Female|37.0|3.9|0.55|White|White
White|Male|31.5|2.7|0.58|White|White
White|Female|41.0|4.0|2.44|White|White
White|Male|41.0|3.0|-1.45|White|White
White|Female|36.0|3.3|1.04|White|White
White|Male|35.0|3.8|-1.11|White|White
White|Female|39.0|3.7|-1.58|White|White
White|Female|37.0|3.8|0.4|White|White
White|Male|37.0|3.1|-0.51|White|White
White|Male|36.0|3.8|-0.66|White|White
White|Male|40.0|3.3|-0.77|White|White
White|Female|45.0|3.3|0.64|White|White
White|Male|35.0|2.6|0.02|White|White
White|Female|37.0|3.6|-0.02|White|White
White|Male|40.0|3.8|0.64|White|White
White|Male|39.0|3.4|0.4|White|White
White|Male|33.0|3.9|0.59|White|White
White|Male|40.0|3.6|0.55|White|White
White|Male|38.0|3.8|0.55|White|White
White|Female|41.0|3.3|0.64|White|White
White|Male|34.0|2.9|-0.25|White|White
White|Male|40.0|3.1|1.08|White|White
Asian|Female|38.0|3.3|-0.02|NonWhite|Asian
White|Female|40.0|3.2|1.89|White|White
White|Male|32.5|3.4|-0.17|White|White
White|Female|41.0|3.4|0.17|White|White
White|Female|37.0|3.5|-0.13|White|White
White|Male|41.0|3.3|1.51|White|White
White|Female|39.0|3.6|-0.66|White|White
White|Male|38.0|3.5|0.42|White|White
White|Male|42.0|3.1|0.68|White|White
White|Female|37.0|3.6|1.27|White|White
Black|Female|32.0|2.8|-1.28|NonWhite|Black
White|Female|39.0|3.6|-0.22|White|White
White|Female|32.0|2.8|-1.09|White|White
White|Male|41.0|3.1|-0.51|White|White
White|Female|36.0|3.7|0.17|White|White
White|Male|38.0|3.4|-1.19|White|White
White|Male|34.0|3.3|1.02|White|White
White|Male|38.0|3.6|0.36|White|White
White|Male|43.0|2.9|0.59|White|White
White|Female|35.0|3.7|0.64|White|White
Asian|Male|37.0|3.6|-0.77|NonWhite|Asian
White|Female|37.0|3.9|1.36|White|White
White|Male|40.0|3.2|0.59|White|White
White|Female|45.0|3.2|1.57|White|White
White|Male|39.5|3.3|0.55|White|White
White|Male|40.0|3.3|2.15|White|White
White|Female|38.0|3.4|-1.0|White|White
White|Male|40.0|3.4|1.36|White|White
Mexican|Female|32.5|2.8|-0.92|NonWhite|Latino
White|Male|36.0|3.7|0.1|White|White
White|Female|30.0|3.5|-1.75|White|White
White|Male|37.0|3.7|0.74|White|White
Other|Female|35.5|3.0|-1.73|NonWhite|Other
Asian|Female|31.0|3.4|-0.23|NonWhite|Asian
White|Male|36.0|2.7|-0.36|White|White
White|Female|35.0|2.9|1.25|White|White
White|Female|28.5|3.2|0.57|White|White
White|Male|39.0|2.4|0.16|White|White
White|Female|41.0|3.9|1.17|White|White
White|Male|29.0|3.5|0.2|White|White
White|Male|36.5|3.1|-0.56|White|White
White|Male|39.0|3.8|-0.32|White|White
White|Male|36.0|3.0|0.36|White|White
White|Male|36.0|2.9|-0.8|White|White
White|Male|36.0|2.9|0.89|White|White
White|Male|37.0|2.8|0.77|White|White
White|Male|38.0|3.2|0.48|White|White
White|Male|31.5|3.1|0.36|White|White
White|Male|37.0|3.1|0.0|White|White
White|Male|26.7|3.3|-0.41|White|White
Black|Female|32.0|3.7|-0.85|NonWhite|Black
White|Female|31.0|3.0|0.44|White|White
White|Female|32.7|3.1|0.2|White|White
White|Male|35.0|3.2|-0.28|White|White
White|Female|31.0|3.2|2.48|White|White
White|Male|33.0|3.0|-0.4|White|White
White|Female|33.0|3.1|0.61|White|White
White|Male|34.5|2.9|0.52|White|White
White|Female|39.0|4.1|1.25|White|White
White|Male|34.0|3.1|-0.6|White|White
White|Male|34.0|2.8|1.51|White|White
White|Female|37.0|2.8|-0.23|White|White
White|Female|25.0|3.2|-0.64|White|White
White|Male|33.0|2.9|0.69|White|White
Hispanic|Female|29.0|3.1|-1.45|NonWhite|Latino
White|Female|34.0|3.0|-0.24|White|White
White|Female|34.0|2.7|1.51|White|White
White|Female|30.5|3.0|-1.09|White|White
White|Female|33.0|3.3|0.89|White|White
White|Male|34.0|2.9|-1.93|White|White
White|Female|30.0|3.4|0.73|White|White
White|Female|38.0|2.4|-0.2|White|White
White|Male|32.5|3.1|0.93|White|White
White|Female|40.0|4.0|1.17|White|White
White|Female|42.0|4.0|0.97|White|White
White|Female|35.0|3.2|0.27|White|White
White|Female|29.0|3.4|-0.52|White|White
White|Male|35.0|2.9|-0.4|White|White
White|Female|32.0|3.1|-1.17|White|White
White|Male|27.0|2.3|-1.01|White|White
White|Female|38.0|3.0|0.55|White|White
White|Male|31.0|2.7|-0.2|White|White
White|Female|38.0|3.0|0.15|White|White
White|Female|28.5|3.9|0.48|White|White
White|Male|34.0|2.6|0.0|White|White
White|Female|31.0|3.0|0.0|White|White
White|Male|33.0|2.9|-0.2|White|White
White|Female|35.0|2.7|-1.05|White|White
White|Female|32.5|2.8|0.08|White|White
White|Female|36.0|2.6|-0.72|White|White
White|Male|37.0|3.4|0.95|White|White
White|Female|33.0|3.2|-0.4|White|White
White|Female|37.0|2.9|0.24|White|White
White|Male|25.5|2.8|-0.08|White|White
White|Male|38.0|2.6|1.25|White|White
White|Male|34.0|2.7|-0.12|White|White
White|Male|35.0|2.9|1.94|White|White
White|Male|29.5|2.8|0.24|White|White
White|Female|41.0|3.0|0.2|White|White
White|Male|35.0|3.2|-1.13|White|White
White|Male|34.0|2.9|-2.06|White|White
White|Male|42.0|2.6|1.57|White|White
White|Male|30.5|3.1|0.87|White|White
White|Male|41.0|2.5|0.9|White|White
White|Male|31.5|3.5|0.2|White|White
White|Female|35.0|3.7|0.44|White|White
White|Male|31.0|3.3|0.85|White|White
White|Male|39.0|3.1|1.19|White|White
White|Male|39.0|2.9|0.98|White|White
White|Female|40.0|2.6|0.16|White|White
White|Male|40.0|3.8|1.85|White|White
White|Male|33.0|3.2|-0.24|White|White
White|Male|32.0|3.3|0.36|White|White
White|Male|39.0|3.3|0.72|White|White
White|Female|39.0|2.7|0.44|White|White
White|Male|33.0|3.3|0.24|White|White
White|Male|38.0|3.7|0.11|White|White
White|Female|40.0|3.6|-0.09|White|White
White|Male|38.0|3.4|-0.51|White|White
White|Male|33.0|3.0|-0.82|White|White
White|Male|40.0|3.2|1.73|White|White
Other|Male|42.0|3.3|1.22|NonWhite|Other
Black|Male|29.0|2.8|-1.89|NonWhite|Black
White|Female|33.0|3.5|0.05|White|White
White|Male|40.0|3.4|-1.06|White|White
White|Male|36.0|3.1|0.53|White|White
Black|Female|25.0|2.8|-2.22|NonWhite|Black
White|Male|39.0|3.6|0.18|White|White
White|Female|41.0|3.7|0.9|White|White
White|Female|36.0|3.9|-0.12|White|White
White|Male|44.0|3.2|0.75|White|White
White|Female|42.0|3.5|-1.17|White|White
White|Male|46.0|3.3|-2.08|White|White
White|Male|40.0|2.2|1.04|White|White
White|Female|41.0|3.8|1.16|White|White
Other|Female|41.0|3.4|0.5|NonWhite|Other
Other|Male|32.0|2.8|-1.13|NonWhite|Other
White|Male|37.0|3.4|-1.02|White|White
White|Female|40.0|3.5|-0.12|White|White
White|Female|36.0|3.7|0.77|White|White
White|Female|42.0|3.5|0.83|White|White
White|Male|35.5|2.9|0.06|White|White
White|Female|37.0|3.9|0.37|White|White
White|Female|48.0|2.3|0.8|White|White
White|Female|37.0|3.1|0.14|White|White
White|Female|35.0|3.9|0.14|White|White
Asian|Male|33.5|3.2|0.14|NonWhite|Asian
White|Female|47.0|3.9|-0.2|White|White
White|Female|41.0|2.8|0.33|White|White
White|Female|40.0|3.5|0.65|White|White
White|Male|44.0|3.4|-0.33|White|White
White|Male|38.0|3.0|-0.02|White|White
White|Male|39.0|3.6|0.51|White|White
Black|Female|28.0|3.4|-2.37|NonWhite|Black
White|Male|46.0|2.5|-0.27|White|White
White|Male|42.0|3.0|-0.4|White|White
Hispanic|Male|34.0|2.8|-0.26|NonWhite|Latino
White|Male|34.0|3.7|-0.96|White|White
White|Male|38.0|3.3|0.39|White|White
White|Female|33.0|3.9|0.46|White|White
White|Male|38.0|3.3|-0.13|White|White
White|Male|34.0|3.9|-0.23|White|White
White|Male|37.0|3.7|0.68|White|White
Asian|Male|40.0|2.8|0.4|NonWhite|Asian
White|Male|45.0|3.2|0.43|White|White
White|Male|41.0|3.2|-0.28|White|White
White|Male|36.0|3.7|0.89|White|White
White|Male|45.0|3.5|-0.21|White|White
Hispanic|Male|38.0|3.4|1.02|NonWhite|Latino
White|Female|44.0|4.1|1.7|White|White
White|Male|41.0|3.5|-0.1|White|White
White|Male|39.5|3.5|-0.52|White|White
White|Female|41.0|3.4|0.24|White|White
White|Female|44.0|3.6|1.62|White|White
White|Male|40.5|3.3|1.95|White|White
White|Female|42.0|3.6|1.65|White|White
White|Male|40.0|2.0|1.2|White|White
White|Female|45.0|3.4|1.87|White|White
White|Female|40.0|3.8|0.3|White|White
White|Female|36.0|3.7|0.05|White|White
White|Female|34.0|3.2|-0.55|White|White
White|Female|37.0|3.5|-1.17|White|White
Black|Female|23.0|2.8|-2.23|NonWhite|Black
White|Male|38.0|3.4|-0.3|White|White
White|Male|40.0|3.5|-0.06|White|White
White|Female|39.0|3.4|0.57|White|White
White|Male|40.0|3.2|0.82|White|White
White|Male|33.0|2.9|0.19|White|White
White|Male|38.0|3.8|1.16|White|White
White|Male|43.0|3.8|1.14|White|White
White|Female|38.0|3.5|0.48|White|White
White|Female|35.0|3.3|-0.26|White|White
White|Female|39.0|3.3|1.16|White|White
White|Female|40.0|3.8|2.25|White|White
White|Female|33.0|3.3|0.6|White|White
White|Male|37.0|3.2|1.91|White|White
Asian|Male|35.0|2.8|0.96|NonWhite|Asian
White|Male|30.0|2.6|-0.26|White|White
White|Female|38.0|3.2|0.56|White|White
Puertorican|Female|31.0|3.7|0.8|NonWhite|Latino
White|Female|40.0|3.0|1.45|White|White
White|Male|34.0|3.7|0.43|White|White
White|Female|42.0|3.9|0.5|White|White
White|Male|35.5|2.8|1.78|White|White
White|Male|32.5|2.7|1.02|White|White
White|Female|30.0|3.0|-0.33|White|White
Hispanic|Male|37.0|2.5|0.23|NonWhite|Latino
White|Female|35.0|3.7|0.0|White|White
White|Female|35.0|3.5|0.6|White|White
White|Female|37.0|3.4|0.63|White|White
Black|Male|28.0|2.7|-0.59|NonWhite|Black
Hispanic|Female|30.0|2.9|-0.99|NonWhite|Latino
White|Female|38.0|3.0|0.92|White|White
White|Female|33.0|2.7|-0.24|White|White
White|Female|47.0|2.9|0.56|White|White
White|Male|38.0|2.8|-0.79|White|White
Puertorican|Male|34.0|2.8|-0.86|NonWhite|Latino
Amerindian|Female|34.0|3.1|-0.56|NonWhite|Other
White|Male|34.0|3.4|-0.43|White|White
Black|Female|29.0|2.5|-2.01|NonWhite|Black
White|Male|40.0|3.2|-0.36|White|White
White|Male|30.0|2.7|0.06|White|White
Asian|Male|26.0|2.5|-0.5|NonWhite|Asian
White|Male|33.0|3.8|1.58|White|White
White|Male|36.0|2.3|1.65|White|White
White|Male|35.0|2.9|-0.13|White|White
White|Female|30.0|2.9|-0.43|White|White
White|Male|27.0|2.7|-0.72|White|White
White|Male|38.0|3.2|0.63|White|White
White|Male|28.5|2.1|-1.88|White|White
White|Female|37.0|3.3|-0.13|White|White
White|Male|39.0|2.4|-0.1|White|White
White|Male|41.0|2.4|1.61|White|White
Hispanic|Male|33.0|2.3|0.99|NonWhite|Latino
White|Male|45.0|2.6|-1.05|White|White
White|Male|33.0|3.4|-0.03|White|White
Hispanic|Male|27.0|3.6|-0.1|NonWhite|Latino
White|Female|40.0|3.7|1.75|White|White
White|Female|36.0|3.1|-0.43|White|White
White|Female|36.0|3.2|1.29|White|White
Asian|Male|20.0|3.2|-1.87|NonWhite|Asian
White|Male|36.0|3.8|-0.99|White|White
White|Male|36.0|3.3|-0.12|White|White
White|Female|42.0|3.4|0.99|White|White
White|Male|40.0|3.6|0.73|White|White
Puertorican|Male|26.0|3.6|-1.15|NonWhite|Latino
White|Male|37.0|3.8|0.6|White|White
White|Male|45.0|3.6|1.35|White|White
Asian|Male|23.0|3.2|-0.1|NonWhite|Asian
White|Male|30.5|2.4|-0.89|White|White
White|Female|38.0|3.0|-0.69|White|White
Black|Female|25.0|2.5|-0.89|NonWhite|Black
White|Female|35.0|3.0|0.68|White|White
Black|Female|20.0|3.0|-1.02|NonWhite|Black
Asian|Female|28.0|2.8|-1.38|NonWhite|Asian
White|Male|38.0|3.2|0.07|White|White
Puertorican|Female|20.5|2.8|-1.19|NonWhite|Latino
White|Male|44.0|3.0|1.45|White|White
White|Male|29.0|2.9|1.16|White|White
White|Male|45.0|2.6|-0.03|White|White
White|Male|36.0|2.8|-1.19|White|White
Black|Female|21.0|3.0|-1.32|NonWhite|Black
Asian|Male|28.0|2.2|-0.79|NonWhite|Asian
White|Male|35.0|3.3|0.9|White|White
White|Male|36.0|3.1|-0.59|White|White
White|Male|37.0|3.4|0.43|White|White
Puertorican|Female|29.0|3.2|-0.89|NonWhite|Latino
White|Male|33.0|3.4|1.62|White|White
White|Male|36.0|3.2|0.27|White|White
White|Female|42.0|3.4|0.92|White|White
Asian|Male|29.5|2.7|-1.38|NonWhite|Asian
Asian|Male|27.0|3.1|-1.68|NonWhite|Asian
White|Male|37.0|3.3|0.03|White|White
Puertorican|Female|22.0|3.3|-0.76|NonWhite|Latino
White|Female|33.0|3.3|0.2|White|White
Other|Male|27.0|3.3|-0.03|NonWhite|Other
Asian|Male|28.0|3.3|-1.32|NonWhite|Asian
White|Female|35.0|3.1|-0.14|White|White
White|Male|28.0|3.7|0.0|White|White
Asian|Male|34.0|2.6|-0.3|NonWhite|Asian
White|Female|22.5|3.3|-1.45|White|White
White|Male|41.0|3.6|0.05|White|White
Mexican|Male|33.0|3.1|-0.24|NonWhite|Latino
White|Male|40.0|3.0|-0.1|White|White
White|Male|40.5|3.5|0.58|White|White
White|Female|40.0|3.7|-0.43|White|White
Black|Female|28.0|3.3|1.37|NonWhite|Black
White|Female|41.0|2.4|-0.59|White|White
White|Male|47.0|2.8|-0.14|White|White
White|Male|38.0|2.5|-1.69|White|White
White|Female|26.3|3.4|-1.73|White|White
White|Female|43.0|3.3|0.87|White|White
White|Female|34.0|3.4|-1.36|White|White
White|Male|40.0|3.6|-0.08|White|White
White|Female|37.0|3.4|-0.51|White|White
White|Male|35.0|2.8|-0.96|White|White
Asian|Female|44.0|3.7|0.34|NonWhite|Asian
White|Male|38.0|2.4|1.38|White|White
White|Male|44.0|3.6|1.88|White|White
Other|Female|32.0|3.9|0.13|NonWhite|Other
White|Male|43.0|4.0|0.87|White|White
White|Female|42.0|3.4|0.67|White|White
White|Male|46.0|3.0|0.27|White|White
White|Female|43.0|3.5|0.58|White|White
White|Male|43.0|3.0|0.54|White|White
White|Male|41.0|3.7|0.75|White|White
White|Female|42.0|3.9|-1.21|White|White
White|Male|28.0|2.8|-0.76|White|White
Amerindian|Male|27.5|3.5|-1.54|NonWhite|Other
White|Male|46.0|3.3|-0.76|White|White
White|Male|45.0|3.5|0.87|White|White
White|Male|42.0|3.7|1.92|White|White
White|Male|42.0|3.6|0.81|White|White
White|Female|45.0|3.2|-0.16|White|White
White|Female|42.0|3.5|0.71|White|White
Asian|Female|45.0|3.4|-1.25|NonWhite|Asian
White|Male|44.0|3.4|-0.33|White|White
White|Female|41.0|3.5|-1.25|White|White
White|Male|41.0|3.6|2.05|White|White
Hispanic|Female|35.0|3.6|-1.36|NonWhite|Latino
Black|Male|34.0|2.7|-1.56|NonWhite|Black
Black|Female|32.0|2.7|0.71|NonWhite|Black
White|Female|47.0|3.0|0.71|White|White
White|Male|44.0|3.4|0.81|White|White
Hispanic|Male|42.5|2.3|-1.25|NonWhite|Latino
White|Female|39.5|3.0|-1.32|White|White
White|Female|41.0|3.5|1.84|White|White
White|Male|29.5|2.9|-0.33|White|White
White|Male|45.0|3.6|0.34|White|White
Asian|Male|33.0|3.9|-0.41|NonWhite|Asian
Mexican|Male|35.0|2.5|0.19|NonWhite|Latino
White|Male|43.0|3.7|-0.26|White|White
White|Male|44.0|3.2|1.08|White|White
White|Male|46.0|3.0|-1.27|White|White
White|Female|39.0|3.6|-1.73|White|White
White|Female|43.0|3.3|1.82|White|White
White|Female|42.0|3.6|1.39|White|White
White|Female|48.0|3.7|1.26|White|White
White|Male|33.0|2.5|-0.32|White|White
White|Female|40.0|3.8|-0.18|White|White
White|Female|38.5|3.4|-0.74|White|White
White|Female|40.0|3.6|0.09|White|White
Asian|Female|44.0|3.0|-0.9|NonWhite|Asian
White|Female|41.0|3.6|-0.06|White|White
Asian|Female|43.0|3.3|-0.16|NonWhite|Asian
Asian|Male|47.0|3.4|1.22|NonWhite|Asian
White|Male|43.0|3.4|0.56|White|White
White|Female|42.0|3.6|1.45|White|White
White|Male|38.0|3.9|0.6|White|White
White|Female|35.5|2.5|-0.24|White|White
White|Female|37.0|3.7|1.04|White|White
White|Female|42.0|3.5|0.69|White|White
Hispanic|Female|46.0|3.1|-0.57|NonWhite|Latino
White|Male|42.0|3.6|-0.92|White|White
White|Male|45.0|3.3|0.6|White|White
Other|Female|40.0|3.7|-0.66|NonWhite|Other
Other|Female|38.0|3.6|-0.22|NonWhite|Other
White|Male|42.0|3.1|-0.41|White|White
White|Male|43.0|3.2|-1.07|White|White
White|Male|31.0|2.6|-0.43|White|White
Asian|Female|42.0|3.7|1.22|NonWhite|Asian
White|Male|39.0|3.7|-1.5|White|White
White|Male|47.0|3.1|1.32|White|White
White|Female|41.0|3.8|-0.51|White|White
White|Male|33.0|3.6|-0.99|White|White
White|Female|42.0|3.4|-0.08|White|White
White|Female|46.0|3.3|1.04|White|White
White|Male|32.3|3.3|-0.71|White|White
White|Female|37.0|3.5|-1.69|White|White
Asian|Female|41.0|3.6|0.85|NonWhite|Asian
White|Female|39.0|3.9|-0.35|White|White
White|Male|42.0|3.4|-0.16|White|White
Black|Male|28.5|2.4|-1.54|NonWhite|Black
White|Male|44.0|3.6|0.77|White|White
White|Male|40.0|3.6|0.67|White|White
Hispanic|Male|37.0|2.5|-1.67|NonWhite|Latino
White|Male|39.0|3.7|1.37|White|White
White|Female|28.5|2.6|-0.95|White|White
White|Male|44.0|3.2|-1.69|White|White
White|Male|40.0|3.4|0.69|White|White
White|Female|46.0|3.0|0.95|White|White
White|Female|42.0|3.7|1.14|White|White
White|Male|40.0|3.7|-0.22|White|White
White|Female|41.0|3.6|0.36|White|White
White|Female|46.0|3.5|2.11|White|White
Black|Male|42.0|2.5|-0.59|NonWhite|Black
White|Male|37.0|3.0|1.72|White|White
White|Male|39.0|2.9|1.67|White|White
White|Female|31.0|2.5|0.02|White|White
White|Female|36.0|2.9|-0.78|White|White
White|Female|32.5|3.3|0.56|White|White
White|Male|35.0|2.3|0.95|White|White
White|Male|41.0|2.9|0.74|White|White
White|Male|30.3|2.9|-0.59|White|White
White|Male|37.0|3.2|-0.32|White|White
White|Male|36.0|3.8|0.99|White|White
White|Male|36.0|3.1|-0.37|White|White
White|Male|39.0|2.9|0.49|White|White
White|Female|29.3|3.2|-0.88|White|White
White|Female|35.0|3.2|-0.86|White|White
White|Female|33.5|3.3|0.03|White|White
White|Male|34.0|3.4|-0.94|White|White
White|Female|38.0|2.8|-0.58|White|White
White|Male|37.0|2.5|0.14|White|White
White|Female|34.3|2.8|-0.55|White|White
White|Female|41.0|2.8|0.66|White|White
White|Male|26.0|3.5|0.72|White|White
White|Female|36.0|2.9|-0.48|White|White
White|Male|34.0|2.8|-0.16|White|White
White|Male|38.0|2.7|1.15|White|White
White|Male|38.0|2.6|-0.78|White|White
White|Male|35.0|2.9|0.22|White|White
White|Female|35.0|3.5|1.08|White|White
White|Female|46.0|2.7|0.8|White|White
White|Female|35.0|3.0|0.53|White|White
White|Male|33.0|2.1|-0.62|White|White
White|Male|35.0|3.2|0.92|White|White
White|Female|28.0|3.3|0.37|White|White
White|Male|36.0|2.9|0.28|White|White
White|Female|35.0|2.9|0.09|White|White
White|Female|32.0|3.8|-0.39|White|White
White|Female|32.0|2.9|0.68|White|White
White|Male|40.0|3.3|0.34|White|White
White|Female|31.0|3.9|0.14|White|White
White|Male|35.0|3.6|-0.33|White|White
White|Female|32.0|3.1|-0.9|White|White
Black|Female|29.0|2.5|-0.25|NonWhite|Black
White|Male|35.0|2.8|-1.24|White|White
White|Female|40.0|3.4|1.86|White|White
Black|Female|34.0|3.3|1.75|NonWhite|Black
Black|Male|27.0|3.5|-0.93|NonWhite|Black
Black|Female|30.0|3.3|0.29|NonWhite|Black
Black|Male|31.0|2.2|0.21|NonWhite|Black
Black|Female|23.3|2.7|-1.56|NonWhite|Black
Asian|Male|30.7|1.9|-0.02|NonWhite|Asian
Black|Female|29.0|3.2|1.12|NonWhite|Black
Black|Female|33.0|2.3|0.16|NonWhite|Black
Asian|Female|29.0|2.7|0.16|NonWhite|Asian
Black|Female|39.0|3.2|1.03|NonWhite|Black
Black|Female|32.5|2.6|1.94|NonWhite|Black
Black|Male|32.0|2.9|-0.57|NonWhite|Black
Black|Male|31.0|3.1|0.62|NonWhite|Black
White|Male|37.0|3.0|-0.04|White|White
White|Female|30.5|3.0|0.77|White|White
Black|Female|27.0|2.8|-1.06|NonWhite|Black
Black|Male|36.0|2.6|0.41|NonWhite|Black
Black|Male|29.0|2.1|-0.56|NonWhite|Black
White|Female|36.0|3.3|0.55|White|White
Asian|Female|30.0|2.8|0.05|NonWhite|Asian
Black|Female|32.5|2.1|0.76|NonWhite|Black
White|Male|23.5|3.6|0.69|White|White
Black|Female|31.0|2.9|-0.9|NonWhite|Black
Black|Female|31.0|3.1|-0.62|NonWhite|Black
Black|Male|30.0|2.7|1.14|NonWhite|Black
Black|Male|31.0|2.9|-1.69|NonWhite|Black
Black|Male|29.0|2.7|-1.03|NonWhite|Black
Black|Male|28.0|2.8|-0.09|NonWhite|Black
White|Male|40.0|1.7|0.52|White|White
Hispanic|Female|29.0|3.6|-0.58|NonWhite|Latino
Hispanic|Male|29.0|2.5|0.56|NonWhite|Latino
Black|Female|34.0|3.3|-1.24|NonWhite|Black
Black|Male|30.0|3.4|0.71|NonWhite|Black
Black|Female|28.5|2.2|-0.31|NonWhite|Black
Black|Female|36.0|2.2|-0.55|NonWhite|Black
Black|Male|31.0|2.8|0.02|NonWhite|Black
Black|Female|31.0|2.2|-0.48|NonWhite|Black
White|Male|35.0|2.3|1.69|White|White
Black|Female|35.0|3.2|0.78|NonWhite|Black
Black|Female|34.0|3.2|0.97|NonWhite|Black
Asian|Male|30.0|2.8|-0.69|NonWhite|Asian
Black|Female|32.0|3.4|0.1|NonWhite|Black
White|Female|37.0|2.7|-0.64|White|White
White|Male|34.5|1.9|-0.93|White|White
White|Male|36.0|2.7|0.78|White|White
Black|Female|26.0|3.6|0.03|NonWhite|Black
