"LSAT"|"UGPA"|"female"|"male"|"white"|"nonwhite"|"U_UGPA"|"U_LSAT"
"74"|36|3.3|1|0|1|0|-0.0618250657856039|-0.0240604350243892
"76"|30|3.5|0|1|1|0|0.204416579173981|-0.000299242841799575
"78"|34|2.8|1|0|1|0|-0.408070740612541|0.0990033318876663
"81"|43|3|0|1|1|0|-0.1425689275538|-0.0150223968021799
"84"|25|2.9|0|1|1|0|-0.227642921821897|0.0788411151475265
"86"|42|3.6|0|1|1|0|0.202489324487317|0.0242966327647551
"87"|37|3.5|0|1|1|0|0.162586981866793|-0.00423786687907147
"88"|30|3.5|0|1|1|0|0.249422494030809|-0.0484871424923065
"89"|41|3.1|0|1|1|0|-0.0481249716841527|0.0451221304274843
"90"|38|3.6|1|0|1|0|0.214334935181865|-0.0682194399327861
"95"|28|2.9|0|1|1|0|-0.227305633436614|-0.0322043500333295
"96"|42|3.3|1|0|1|0|-0.0390468420549895|-0.0405285629514928
"101"|42|2.5|1|0|1|0|-0.637067108251062|0.0120093095341128
"102"|42|2.7|1|0|1|0|-0.399373710582195|0.065855523537398
"103"|40|3.7|1|0|1|0|0.25128672454547|-0.0371641050561398
"104"|38|3.5|1|0|1|0|0.141687067966155|-0.00728920279759566
"108"|38|3.6|1|0|1|0|0.190285505421048|-0.129107813238962
"109"|36|3|0|1|1|0|-0.102819901783711|0.0224901118918466
"112"|32|2.7|0|1|1|0|-0.320325212689097|0.010972838922127
"115"|36|3.3|1|0|1|0|-0.073039160128302|-0.0200383436678972
"117"|39|3.7|1|0|1|0|0.251034080097681|-0.0777162644780197
"118"|37|3.8|1|0|1|0|0.349429824142109|-0.0112216795433599
"121"|40|3.3|0|1|1|0|0.0651892783926209|-0.00273266085130024
"122"|45|3.3|1|0|1|0|-0.0362317363359648|-0.00220883282446562
"124"|37|3.6|1|0|1|0|0.235647649104265|0.00240557056600663
"129"|38|3.8|0|1|1|0|0.473444669440121|-0.0390974944779511
"131"|34|2.9|0|1|1|0|-0.2293166570675|-0.0247885850919386
"134"|40|3.2|1|0|1|0|0.0175411785248076|0.0221705945007547
"136"|41|3.4|1|0|1|0|0.0140824560865466|0.00295353222017413
"140"|38|3.5|0|1|1|0|0.109447135168361|-0.0158354359875194
"143"|32|2.8|1|0|0|1|-0.236706712497594|-0.00191313913938933
"144"|39|3.6|1|0|1|0|0.233971340441832|-0.0556498171427979
"145"|32|2.8|1|0|1|0|-0.377945644263512|-0.0216034705070948
"146"|41|3.1|0|1|1|0|-0.0811679330175115|0.0405475510731245
"149"|34|3.3|0|1|1|0|0.0373980074958571|-0.0771982553131885
"150"|38|3.6|0|1|1|0|0.269802857312017|0.0245495612086786
"152"|35|3.7|1|0|1|0|0.239931780619861|0.0318565867513805
"155"|40|3.2|0|1|1|0|-0.0373911813456451|-0.0826377428791686
"159"|38|3.4|1|0|1|0|0.0669931644499659|0.0573708809612721
"160"|40|3.4|0|1|1|0|0.156607048718911|0.0512643836633798
"162"|36|3.7|0|1|1|0|0.320273556625933|-0.00730370366563669
"166"|31|3.4|1|0|0|1|0.122026101645853|-0.0409617963014917
"169"|28|3.2|1|0|1|0|-0.0352306053535665|-0.0791976472058849
"170"|39|2.4|0|1|1|0|-0.593637240861907|0.0752491261792406
"171"|41|3.9|1|0|1|0|0.417150369602463|0.00534241110538305
"172"|29|3.5|0|1|1|0|0.284177150744906|-0.039210091242442
"173"|36|3.1|0|1|1|0|-0.0780556293205624|0.00682649798963017
"175"|36|3|0|1|1|0|-0.185627755650547|-0.0268431061110361
"176"|36|2.9|0|1|1|0|-0.26104946826364|-0.0328919580065936
"180"|32|3.1|0|1|1|0|-0.123677809407846|-0.0766141459124142
"183"|32|3.7|1|0|0|1|0.489671128306228|-0.0644373567608359
"184"|31|3|1|0|1|0|-0.321905219916586|0.0331359930764838
"186"|35|3.2|0|1|1|0|-0.0221292124748626|-0.0853529045727915
"188"|33|3|0|1|1|0|-0.152928015229046|-0.0609199487303824
"197"|29|3.1|1|0|0|1|0.00505416101615454|-0.00839294585149285
"199"|34|2.7|1|0|1|0|-0.492081581078924|-0.0177047520617894
"200"|30|3|1|0|1|0|-0.219532480051356|-0.0561292712420336
"202"|34|2.9|0|1|1|0|-0.204497355203058|0.00798361997954546
"204"|38|2.4|1|0|1|0|-0.747436250753833|-0.0115875765247722
"209"|29|3.4|1|0|1|0|0.109624852186515|-0.00623762847190213
"211"|32|3.1|1|0|1|0|-0.232918461310239|0.0159845302719981
"215"|38|3|1|0|1|0|-0.250755680643567|0.00755066778299751
"217"|34|2.6|0|1|1|0|-0.426373568754614|-0.0192971593605555
"218"|31|3|1|0|1|0|-0.201440907028019|0.0630871592812877
"220"|35|2.7|1|0|1|0|-0.440235784948002|-0.00632194835914545
"222"|36|2.6|1|0|1|0|-0.489285237184152|-0.0324447239116307
"223"|37|3.4|0|1|1|0|0.13601677879023|0.0964948010809513
"224"|33|3.2|1|0|1|0|-0.144898860225929|0.0225203510604785
"225"|37|2.9|1|0|1|0|-0.372356730622337|0.0237369301973887
"226"|26|2.8|0|1|1|0|-0.329781771283403|-0.0363082986127261
"227"|38|2.6|0|1|1|0|-0.451301542957232|0.0664693941474309
"231"|41|3|1|0|1|0|-0.24417757483962|0.01942697842524
"232"|35|3.2|0|1|1|0|0.0278194306693103|0.0667891325558463
"237"|32|3.5|0|1|1|0|0.258425922391409|0.0242358010765569
"238"|35|3.7|1|0|1|0|0.333704467193403|-0.0452274254549318
"240"|39|3.1|0|1|1|0|-0.100409333940525|-0.0593589750779548
"242"|40|2.6|1|0|1|0|-0.528715295983983|0.0702411741551822
"243"|40|3.8|0|1|1|0|0.481097033339146|0.0705268495404268
"245"|32|3.3|0|1|1|0|0.0765274987516001|0.0110675931473487
"246"|39|3.3|0|1|1|0|0.127811870305574|0.106560172452775
"247"|39|2.7|1|0|1|0|-0.53038042963895|-0.00238292182423564
"252"|33|3|0|1|1|0|-0.210809992718233|0.0385789267430555
"253"|40|3.2|0|1|1|0|0.0454454599910056|0.0440752003720858
"254"|42|3.3|0|1|0|1|0.199946790458768|0.042577559627318
"258"|36|3.1|0|1|1|0|-0.0523645526814137|0.0862551633234934
"261"|41|3.7|1|0|1|0|0.220222506626176|-0.0475889872829687
"262"|36|3.9|1|0|1|0|0.45394149220144|0.032015709079409
"264"|42|3.5|1|0|1|0|0.139478886710886|-0.0724865334214231
"265"|46|3.3|0|1|1|0|0.10355925586327|-0.0190909120771648
"266"|40|2.2|0|1|1|0|-0.76660445806728|0.00536106510725654
"267"|41|3.8|1|0|1|0|0.382609720715023|0.0219225105571929
"268"|41|3.4|1|0|0|1|0.184111328005337|0.0452097327222993
"269"|32|2.8|0|1|0|1|-0.134807818494499|-0.0817042903421431
"272"|36|3.7|1|0|1|0|0.300251807299695|0.0154373232037227
"274"|36|2.9|0|1|1|0|-0.207604942766209|0.0282462804713536
"276"|48|2.3|1|0|1|0|-0.735961469584605|0.018750996855225
"277"|37|3.1|1|0|1|0|-0.209751274231877|0.0348888941164963
"279"|34|3.2|0|1|0|1|0.236823547900381|0.00173685192307706
"280"|47|3.9|1|0|1|0|0.449558978157819|-0.0156030809149213
"281"|41|2.8|1|0|1|0|-0.33982626468557|-0.0111042244817213
"283"|44|3.4|0|1|1|0|0.135476916216552|-0.00313407373725279
"287"|46|2.5|0|1|1|0|-0.528679117410776|0.00972181807408634
"289"|34|2.8|0|1|0|1|-0.16113715493688|0.0199576208607686
"290"|34|3.7|0|1|1|0|0.35920556005984|-0.0719072385129107
"291"|38|3.3|0|1|1|0|0.0609765098068068|-0.035110703760168
"293"|38|3.3|0|1|1|0|0.0228497712716413|-0.0680742371677255
"295"|37|3.7|0|1|1|0|0.372114519170884|-0.00657174441152021
"296"|40|2.8|0|1|0|1|-0.154079032182479|-0.0469753898465167
"298"|41|3.2|0|1|1|0|0.000332637725757118|-0.0398955533573864
"301"|38|3.4|0|1|0|1|0.322792294641615|-0.00159980308127875
"303"|41|3.5|0|1|1|0|0.229350371829787|0.105084000877149
"304"|40|3.5|0|1|1|0|0.165563829886291|-0.0702275712679924
"305"|41|3.4|1|0|1|0|0.0316401505368533|-0.00738606985723283
"311"|40|3.8|1|0|1|0|0.407370438701849|-0.00890697799527343
"312"|36|3.7|1|0|1|0|0.285676573271998|-0.0440059174954721
"315"|23|2.8|1|0|0|1|-0.2365975859853|0.0805088767589356
"316"|38|3.4|0|1|1|0|0.155043559326909|0.00593319450402036
"318"|39|3.4|1|0|1|0|0.0346558201620189|0.0358612113207091
"320"|33|2.9|0|1|1|0|-0.226523212659931|0.0599555373259472
"321"|38|3.8|0|1|1|0|0.397674057355766|-0.000931925129957045
"322"|43|3.8|0|1|1|0|0.457251368514296|0.0447506941071245
"325"|39|3.3|1|0|1|0|-0.0860905337410861|-0.032895148512217
"329"|35|2.8|0|1|0|1|-0.185314510251468|0.0391138085795411
"331"|38|3.2|1|0|1|0|-0.0654961452009043|0.00406890277672775
"340"|35|3.7|1|0|1|0|0.297400356048641|-0.0177124963299858
"342"|37|3.4|1|0|1|0|0.0626283974652165|0.0702726064158938
"345"|38|3|1|0|1|0|-0.278793351747509|0.087265331796682
"348"|38|2.8|0|1|1|0|-0.25528286113299|0.0853084388036568
"350"|34|3.1|1|0|0|1|-0.00807322568174044|0.0441039331752889
"351"|34|3.4|0|1|1|0|0.101050164526147|0.0218821925756526
"352"|29|2.5|1|0|0|1|-0.432016735063191|0.0415134066452292
"353"|40|3.2|0|1|1|0|0.0150913595719477|-0.0620517547520488
"354"|30|2.7|0|1|1|0|-0.442852235603198|0.0321898365458873
"356"|33|3.8|0|1|1|0|0.395095086155709|0.01976172733981
"357"|36|2.3|0|1|1|0|-0.700963069856406|-0.0470836580122757
"359"|30|2.9|1|0|1|0|-0.422607242459903|0.0219572541746604
"360"|27|2.7|0|1|1|0|-0.34623345711004|-0.0446806426257111
"365"|41|2.4|0|1|1|0|-0.566861159961453|-0.00142516416911499
"366"|33|2.3|0|1|0|1|-0.551915716688056|0.0111027497647358
"368"|33|3.4|0|1|1|0|0.107067682589009|-0.0607100974918316
"370"|40|3.7|1|0|1|0|0.286769700366519|-0.0266894522582618
"371"|36|3.1|1|0|1|0|-0.231392438830539|0.0516813246619662
"375"|36|3.3|0|1|1|0|0.092894190696647|0.0199656829609643
"376"|42|3.4|1|0|1|0|0.0815855647811965|0.00153095541895337
"377"|40|3.6|0|1|1|0|0.307338427351494|0.0185265263595652
"379"|37|3.8|0|1|1|0|0.474943535196921|0.0404175739192476
"380"|45|3.6|0|1|1|0|0.333115123202159|0.0348241184665257
"381"|23|3.2|0|1|0|1|0.232114789704607|0.0404887684779081
"382"|30|2.4|0|1|1|0|-0.522448871298363|-0.030891074481231
"383"|38|3|1|0|1|0|-0.335079622692763|0.0465125706628941
"385"|35|3|1|0|1|0|-0.263763704634349|0.0192793349631679
"388"|38|3.2|0|1|1|0|-0.0444373643716911|0.0434476144930209
"389"|20|2.8|1|0|0|1|-0.253353946151062|-0.056042227310911
"391"|29|2.9|0|1|1|0|-0.180028017433226|0.0143330800517645
"392"|45|2.6|0|1|1|0|-0.43824110243039|-0.0167004377082402
"393"|36|2.8|0|1|1|0|-0.334210457565107|0.0465937473594579
"395"|28|2.2|0|1|0|1|-0.607333777126841|0.0445179773957515
"396"|35|3.3|0|1|1|0|0.0828758541667397|-0.0537650392206136
"397"|36|3.1|0|1|1|0|-0.0471467682615172|-0.0334684224924001
"398"|37|3.4|0|1|1|0|0.178844516772048|0.00792426017134356
"401"|36|3.2|0|1|1|0|0.0121201878285413|-0.00675178839219231
"403"|30|2.7|0|1|0|1|-0.161247103251354|-0.0192881124742001
"412"|34|2.6|0|1|0|1|-0.336623083672964|0.000794674575862986
"413"|22|3.3|1|0|1|0|0.0273491863814207|0.0526895892687173
"415"|33|3.1|0|1|0|1|0.0623381798830716|0.0135428064565003
"417"|40|3.5|0|1|1|0|0.244260434278108|0.0710137793828217
"421"|47|2.8|0|1|1|0|-0.37505405430675|0.0278632425617178
"422"|38|2.5|0|1|1|0|-0.500451035648458|-0.0473514213681301
"425"|34|3.4|1|0|1|0|0.0205971023883134|-0.0192250476609276
"428"|35|2.8|0|1|1|0|-0.282833536472002|0.0374943494202518
"430"|38|2.4|0|1|1|0|-0.562446692966552|0.102895296285515
"434"|42|3.4|1|0|1|0|0.0760697010602383|0.0541260781365654
"436"|43|3.5|1|0|1|0|0.142696535311701|-0.0621373878340469
"437"|43|3|0|1|1|0|-0.122409622984257|-0.0236270459409559
"438"|41|3.7|0|1|1|0|0.399010863175954|-0.0294910841918266
"439"|42|3.9|1|0|1|0|0.458790153380593|-0.0154154521354536
"442"|46|3.3|0|1|1|0|0.1399981378011|-0.00563663709935941
"445"|42|3.6|0|1|1|0|0.26408613517674|-0.0746167376260476
"448"|45|3.4|1|0|0|1|0.206931474850265|8.75304020314065e-06
"449"|44|3.4|0|1|1|0|0.150014511508891|0.0854224661697824
"451"|41|3.6|0|1|1|0|0.341388689333748|0.042242533210138
"453"|34|2.7|0|1|0|1|-0.20872579823609|0.00307125361463715
"467"|39|3.6|1|0|1|0|0.186901245472868|-0.00595832529172249
"468"|43|3.3|1|0|1|0|-0.0579362348129812|-0.0390744380251494
"469"|42|3.6|1|0|1|0|0.141615710235054|-0.0217180966028877
"470"|48|3.7|1|0|1|0|0.264181227997182|0.0482201119606434
"471"|33|2.5|0|1|1|0|-0.501817715746876|-0.0280487410287618
"473"|38|3.4|1|0|1|0|0.0425906833013213|0.0512137322316412
"474"|40|3.6|1|0|1|0|0.231137501461905|-0.0384347003880994
"479"|43|3.4|0|1|1|0|0.196096798383464|-0.0646303787333066
"480"|42|3.6|1|0|1|0|0.20933600791682|-0.0388575128880445
"484"|42|3.5|1|0|1|0|0.108305585300186|0.0266372319781898
"485"|46|3.1|1|0|0|1|0.00945506590663258|0.0545267185726602
"486"|42|3.6|0|1|1|0|0.312718564615653|-0.00294931472424688
"487"|45|3.3|0|1|1|0|0.0691660972240422|0.0782553724803656
"491"|43|3.2|0|1|1|0|-0.00903749182415871|-0.0153373883115951
"499"|46|3.3|1|0|1|0|-0.0427585452618921|-0.00781690084559173
"501"|37|3.5|1|0|1|0|0.0742220742671876|0.0698050741186927
"503"|39|3.9|1|0|1|0|0.48662003785957|0.0536257374139185
"506"|44|3.6|0|1|1|0|0.305825257823311|0.0314611966703579
"508"|37|2.5|0|1|0|1|-0.316387287739279|-0.0750588655213165
"509"|39|3.7|0|1|1|0|0.335511739120689|-0.0129269668131932
"511"|44|3.2|0|1|1|0|-0.0477644420741067|-0.021272336080529
"514"|42|3.7|1|0|1|0|0.333429040602277|0.0259589380574634
"515"|40|3.7|0|1|1|0|0.344382096216496|0.0374862097919151
"517"|46|3.5|1|0|1|0|0.0610207186885283|-0.041237091017911
"519"|37|3|0|1|1|0|-0.0816804046461364|0.0837157864109838
"520"|39|2.9|0|1|1|0|-0.208226062756402|-0.0532152960779923
"525"|41|2.9|0|1|1|0|-0.17790874377262|0.046981467651431
"526"|30|2.9|0|1|1|0|-0.22143179730113|-0.0730911214944832
"530"|39|2.9|0|1|1|0|-0.247259105057333|0.00452093607847085
"531"|29|3.2|1|0|1|0|-0.0455635892024831|0.00274068374182996
"532"|35|3.2|1|0|1|0|-0.0608012899566848|-0.0210624005014904
"534"|34|3.4|0|1|1|0|0.143466328515083|0.0337255973018094
"536"|37|2.5|0|1|1|0|-0.600322509816552|0.0253342537584298
"537"|34|2.8|1|0|1|0|-0.361939989296473|0.0489515396625608
"538"|41|2.8|1|0|1|0|-0.448829471228902|0.072585018204171
"541"|34|2.8|0|1|1|0|-0.279656332348922|0.097837844402538
"542"|38|2.7|0|1|1|0|-0.364483203762889|-0.0411696230615344
"545"|35|3.5|1|0|1|0|0.138792419183677|0.0292416967759787
"546"|46|2.7|1|0|1|0|-0.468096301755124|-0.0220339878679577
"549"|35|3.2|0|1|1|0|-0.000242593812616371|-0.0164373765944885
"550"|28|3.3|1|0|1|0|0.0240581659438026|-0.0167454794057424
"552"|35|2.9|1|0|1|0|-0.354588803608764|0.0499670410755254
"553"|32|3.8|1|0|1|0|0.359560251913196|0.00302985078665236
"555"|40|3.3|0|1|1|0|0.0481058909146674|0.0145542493963838
"556"|31|3.9|1|0|1|0|0.364795966848922|-0.0647012898496882
"557"|35|3.6|0|1|1|0|0.284661978269766|-0.0428153758928073
"558"|32|3.1|1|0|1|0|-0.138043519830719|0.0418709544964819
"559"|29|2.5|1|0|0|1|-0.377482828053553|0.12194239277287
"561"|40|3.4|1|0|1|0|0.0156389556074134|0.000938986882192561
"563"|27|3.5|0|1|0|1|0.40393537354412|-0.00254886603085147
"567"|31|1.9|0|1|0|1|-0.770084994202085|0.0339221742745185
"573"|32|2.9|0|1|0|1|-0.079325076720928|-0.0299300221319369
"574"|31|3.1|0|1|0|1|0.0623702926051198|-0.0749997434225965
"577"|27|2.8|1|0|0|1|-0.231156117894343|-0.0151432618988257
"582"|32|2.1|1|0|0|1|-0.814422617991584|-0.0942006082374562
"584"|31|2.9|1|0|0|1|-0.121039656380197|-0.0539774397578667
"587"|31|2.9|0|1|0|1|-0.0408670267254273|0.0609326074178392
"588"|29|2.7|0|1|0|1|-0.200318799922744|0.0401827527591335
"590"|40|1.7|0|1|1|0|-1.17955121336236|0.00144075963415563
"593"|34|3.3|1|0|0|1|0.106199036421697|-0.0197278070017404
"594"|30|3.4|0|1|0|1|0.299473185864304|0.08983696222724
"599"|35|2.3|0|1|1|0|-0.657939009058535|-0.0342190919238625
"600"|35|3.2|1|0|0|1|0.107641003555394|0.0281951288745534
"602"|30|2.8|0|1|0|1|-0.0767342743492213|-0.0858862523335212
"604"|37|2.7|1|0|1|0|-0.544262761379722|0.0445989143582724
"605"|34|1.9|0|1|1|0|-0.944289531787132|0.0677911901217291
"606"|36|2.7|0|1|1|0|-0.345362330373055|-0.031426103583419
"607"|26|3.6|1|0|0|1|0.388875703419291|0.0373850044444675
"610"|26|2.9|1|0|0|1|-0.109369565113749|0.0434717215250022
"611"|26|2.8|1|0|0|1|-0.216254073943875|-0.0660741073525056
"612"|37|1.9|0|1|0|1|-0.868680077311723|-0.0102355137023262
"614"|20|2.7|1|0|0|1|-0.29091627625406|-0.0108797049722898
"615"|32|2.4|0|1|1|0|-0.594539711286921|-0.000333810084564237
"618"|32|2|0|1|0|1|-0.716728876610104|-0.00374882057355921
"619"|23|3.5|0|1|0|1|0.439550461120136|-0.00885807760365481
"620"|29|2.7|1|0|0|1|-0.354437634438066|0.0230496933081327
"622"|39|2.5|0|1|1|0|-0.555493724398202|0.0535808519627365
"624"|33|3|1|0|1|0|-0.238176653006133|0.0387056982598301
"628"|28|2.7|1|0|0|1|-0.270280362229335|0.119659127956428
"630"|30|2.5|1|0|1|0|-0.578807900923981|0.0517472432456866
"634"|32|3.4|1|0|0|1|0.292551704677673|0.00385764565133593
"636"|29|2.6|1|0|0|1|-0.402067019462481|-0.0242769776745559
"637"|30|3.6|1|0|0|1|0.351638427985068|0.0545206126120714
"638"|36|2.9|1|0|0|1|-0.166683482349842|-0.0137791262720844
"639"|24|2.7|1|0|0|1|-0.224941559537868|-0.0168997272105608
"642"|39|3.4|1|0|0|1|0.161613731315061|-0.0658400972614265
"643"|25|3.6|1|0|0|1|0.403666327352829|-0.0457191606207587
"644"|32|3|1|0|0|1|-0.0879713282398093|0.0800539565431587
"645"|34|2.9|1|0|0|1|-0.165089498356238|-0.0345078600611405
"646"|28|3|1|0|0|1|-0.162046169907433|-0.0467696649688326
"647"|35|2.7|1|0|0|1|-0.293197927011308|0.0117580971409408
"650"|30|3.3|0|1|0|1|0.299241961288452|-0.0829089290532432
"652"|24|3.6|1|0|0|1|0.243175623411371|0.00833501795548786
"653"|39|2.9|0|1|0|1|-0.0494725654199209|-0.00372515124289561
"656"|35|2.8|1|0|1|0|-0.459631584494666|-0.106713312437724
"658"|33|2.9|1|0|0|1|-0.165942150170912|0.0436365574576295
"660"|29|2.6|0|1|0|1|-0.217521109222624|-0.0315350303012934
"663"|28|2.4|0|1|0|1|-0.422189879435975|-0.0636416156026416
"666"|29|2.4|1|0|0|1|-0.465409992424668|0.0147893709615266
"668"|32|3.2|1|0|0|1|0.0262188593502455|-0.0682332951591404
"670"|30|3.4|1|0|0|1|0.170226422207508|0.0138413455785674
"671"|40|3.7|0|1|1|0|0.405520770252414|-0.0352411465060432
"672"|46|4|1|0|1|0|0.503564883422234|-0.037556290158962
"674"|33|3.3|0|1|0|1|0.232572727823563|-0.0755093386424134
"675"|47|3.7|0|1|1|0|0.354697913114892|0.00980150547328677
"676"|36|3.6|0|1|0|1|0.47074162051806|-0.060341987121612
"680"|46|3.7|1|0|1|0|0.332568204502595|-0.0145388487158403
"685"|41|3.7|1|0|1|0|0.283249026596389|-0.0517845548378557
"689"|45|3.8|0|1|1|0|0.470691069363324|-0.0280242684470573
"692"|41|3.4|1|0|0|1|0.200991554991855|-0.0743921432556981
"693"|43|3.5|1|0|1|0|0.113827550489818|0.0596818732726763
"696"|34|3.2|0|1|0|1|0.0958060028111698|0.0815126412843949
"699"|39|3.9|1|0|1|0|0.484464105957288|0.0136867801405864
"700"|45|3.7|1|0|1|0|0.2596364203257|0.0366284281752042
"701"|34|3.6|0|1|1|0|0.274990165808431|-0.0111757557381124
"702"|45|3.5|0|1|1|0|0.169929820534323|0.00751503201503327
"703"|39|3.8|0|1|1|0|0.417834912677765|-0.0270586308693
"706"|30|3.8|0|1|0|1|0.599135994959981|0.0687440702210994
"707"|28|3.1|1|0|0|1|0.0338853441451741|-0.0428453608078596
"708"|42|3.1|0|1|1|0|-0.0559911502407151|-0.0170884875973114
"710"|42|3.6|0|1|1|0|0.296742700920189|0.0397123161711797
"712"|42|3.8|0|1|1|0|0.41536986028328|-0.0432908586018593
"715"|34|3.7|1|0|0|1|0.545562993954245|0.0350548766454574
"717"|24|3.9|1|0|0|1|0.532012221154911|-0.0401211945959528
"718"|38|3.4|0|1|0|1|0.261205152662599|0.0692499878249885
"720"|46|3.6|1|0|1|0|0.209410204590152|0.0275857931694946
"723"|41|3.7|1|0|0|1|0.479534520820143|0.0582150802489121
"724"|37|3.6|0|1|1|0|0.2596508854487|0.0459685399358377
"725"|37|3.7|0|1|1|0|0.367742302997658|-0.000887928571655399
"731"|41|3.9|0|1|1|0|0.473750079557129|0.0234834309506178
"732"|40|3.5|1|0|0|1|0.250981094478398|-0.0754957027546456
"733"|41|3.5|1|0|0|1|0.366580686400083|0.00520570229978065
"734"|44|3.9|0|1|1|0|0.485992931622405|0.0124681838193301
"736"|40|3.7|1|0|1|0|0.26462708566195|0.0164241131944656
"739"|39|3.4|1|0|1|0|0.0509260834253472|-0.031665990129179
"740"|44|3.2|1|0|1|0|0.0571132421555181|-0.028574292841859
"744"|42|3.7|1|0|1|0|0.291080872349977|-0.0292395717684768
"748"|42|3.5|0|1|1|0|0.307562528453986|-0.085776237537474
"752"|46|3.5|0|1|1|0|0.241070273161431|-0.00637705815067601
"754"|44|3.7|1|0|1|0|0.312833902484767|-0.00162927756036836
"757"|48|3.4|1|0|1|0|0.109801245450868|0.0259230089134909
"758"|41|3.4|0|1|0|1|0.299977043384316|-0.0168577818850793
"760"|48|3.7|1|0|1|0|0.261257574474242|0.106576967307217
"761"|35|3.5|1|0|1|0|0.14691888541687|0.0128799392782787
"762"|43|3.6|0|1|1|0|0.279335408428712|0.0544138759426663
"764"|44|3.2|0|1|1|0|0.00362012933384761|0.00118876100649891
"765"|43|3.5|0|1|1|0|0.212532421315448|0.0757309940034073
"767"|31|3.4|1|0|0|1|0.221729763396932|0.00783046486194181
"768"|41|3.7|0|1|1|0|0.410146676823684|-0.046866773842632
"769"|41|3.4|1|0|1|0|0.0427564028294362|-0.0209637113582515
"776"|40|3.7|1|0|1|0|0.318774596193668|0.0393169971796749
"779"|41|3.4|0|1|1|0|0.0688222158203904|-0.0204332548348087
"780"|42|3.3|1|0|1|0|-0.040412253689288|-0.0122178565258242
"783"|42|3.3|0|1|1|0|0.0905139521685098|-0.0385230482449318
"785"|41|3.7|1|0|1|0|0.293708080747606|-0.0161033152964616
"787"|43|3.4|1|0|0|1|0.243607894902538|-0.0760176758762935
"788"|32|3.1|0|1|1|0|-0.00468412074975712|0.00480140317795889
"791"|42|3.6|0|1|0|1|0.434711100390828|-0.00634173633764718
"792"|38|3.6|1|0|1|0|0.244928086994465|-0.0245521127186528
"793"|43|3.6|1|0|0|1|0.391750821109841|0.0302381628057985
"798"|41|3.6|1|0|1|0|0.201636126184228|0.0309821533147932
"799"|44|3.3|0|1|1|0|0.0861753252832452|-0.0138893340871186
"800"|45|3.6|0|1|1|0|0.237567585836646|0.104634675197683
"802"|41|3|0|1|1|0|-0.182954952836861|-0.0588804095851831
"804"|40|3.8|1|0|1|0|0.330612466404947|0.0110641808973943
"805"|47|3.5|0|1|1|0|0.200558756157343|0.002144856862293
"807"|32|3.3|0|1|1|0|0.0617026597700325|0.101764939623126
"808"|39|2.8|0|1|1|0|-0.296873386816415|0.0125583168914008
"811"|35|3.6|1|0|1|0|0.202685935672717|-0.0581687553274492
"812"|29|3.3|0|1|1|0|0.10570529060355|0.0542705557756992
"813"|39|2.4|1|0|1|0|-0.686838982478607|-0.0498210333484106
"815"|39|3.7|1|0|1|0|0.283011782004983|0.0240501090344639
"818"|30|3.4|0|1|1|0|0.134894945682915|0.00354435888058479
